iter,block,ch,status,score,phi_raw,perf_raw,phi_n,perf_n,weights,perf_rank_n,perf_max_n,phi_rank_n,phi_max_n,score_rank,score_rank_a0.3,score_rank_a0.5,score_rank_a0.7,score_rank_a0.9,score_max,score_max_a0.3,score_max_a0.5,score_max_a0.7,score_max_a0.9
92,features.1,0,active,0.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,features.1,9,active,0.0,0.0,0.0,0.0,0.0,25,0.14285714285714285,0.0,0.14285714285714285,0.0,-0.05714285714285714,-0.05714285714285714,0.0,0.05714285714285713,0.11428571428571428,0.0,0.0,0.0,0.0,0.0
92,features.1,11,protected,-0.4,4.231758e-06,0.8070916,1.0,1.0,25,1.0,0.999999999998761,1.0,0.9999997636916469,-0.39999999999999997,-0.39999999999999997,0.0,0.3999999999999999,0.8,-0.39999983458452454,-0.39999983458452454,1.1815355704936081e-07,0.4000000708916385,0.8000000236297202
92,features.1,14,active,0.0,0.0,0.0,0.0,0.0,25,0.2857142857142857,0.0,0.2857142857142857,0.0,-0.11428571428571428,-0.11428571428571428,0.0,0.11428571428571425,0.22857142857142856,0.0,0.0,0.0,0.0,0.0
92,features.1,15,active,0.0,0.0,0.0,0.0,0.0,25,0.42857142857142855,0.0,0.42857142857142855,0.0,-0.17142857142857143,-0.17142857142857143,0.0,0.1714285714285714,0.34285714285714286,0.0,0.0,0.0,0.0,0.0
92,features.1,16,active,2e-06,0.0,4.319492e-06,0.0,0.0,25,0.8571428571428571,5.351922879626858e-06,0.5714285714285714,0.0,-0.14285714285714285,-0.14285714285714285,0.14285714285714285,0.4285714285714285,0.7142857142857142,1.6055768638880573e-06,1.6055768638880573e-06,2.675961439813429e-06,3.7463460157388e-06,4.816730591664172e-06
92,features.1,17,active,0.0,0.0,1.319355e-06,0.0,0.0,25,0.7142857142857143,1.6347029259112168e-06,0.7142857142857143,0.0,-0.2857142857142857,-0.2857142857142857,0.0,0.2857142857142857,0.5714285714285715,4.90410877773365e-07,4.90410877773365e-07,8.173514629556084e-07,1.1442920481378516e-06,1.4712326333200951e-06
92,features.1,23,active,0.0,0.0,3.028161e-07,0.0,0.0,25,0.5714285714285714,3.751942158729255e-07,0.8571428571428571,0.0,-0.4285714285714286,-0.4285714285714286,-0.14285714285714285,0.1428571428571428,0.42857142857142855,1.1255826476187764e-07,1.1255826476187764e-07,1.8759710793646274e-07,2.626359511110478e-07,3.3767479428563296e-07
92,features.2,27,active,6e-06,0.0,2.537676e-05,0.0,0.0,49,0.0,1.8743909113658326e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.623172734097498e-06,5.623172734097498e-06,9.371954556829163e-06,1.3120736379560829e-05,1.6869518202292495e-05
92,features.2,55,active,-0.014515,1.276731e-07,0.0009544989,0.021,0.0007,49,0.5,0.0007050167409348887,0.5,0.02103765330485978,-0.19999999999999998,-0.19999999999999998,0.0,0.19999999999999996,0.4,-0.014514852291121379,-0.014514852291121379,-0.010166318281962445,-0.005817784272803513,-0.0014692502636445778
92,features.2,72,protected,-0.4,6.068789e-06,1.353867,1.0,1.0,49,1.0,0.9999999999992613,1.0,0.9999998352225072,-0.39999999999999997,-0.39999999999999997,0.0,0.3999999999999999,0.8,-0.39999988465597663,-0.39999988465597663,8.238837700957902e-08,0.4000000494327306,0.8000000164770844
92,features.3,32,active,0.0,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
