layer,channel,baseline_acc,pruned_acc,delta_acc,delta_acc_abs,perf,phi
features.6.conv.1.0,0,0.827492596248766,0.8268509378084896,-0.0006416584402764158,0.0006416584402764158,6.977047206646604e-08,4.883580206893612e-09
features.6.conv.1.0,1,0.827492596248766,0.8279368213228036,0.00044422507403751865,0.00044422507403751865,1.8226228348794399e-07,1.1585191472818224e-08
features.6.conv.1.0,2,0.827492596248766,0.8268509378084896,-0.0006416584402764158,0.0006416584402764158,1.0672447814386032e-07,2.4626865879895377e-08
features.6.conv.1.0,3,0.827492596248766,0.8268015794669299,-0.0006910167818361401,0.0006910167818361401,3.459736944932956e-06,2.6922311491262008e-08
features.6.conv.1.0,4,0.827492596248766,0.8034057255676209,-0.024086870681145123,0.024086870681145123,5.965976157540355e-08,3.3985397607239065e-08
features.6.conv.1.0,5,0.827492596248766,0.8279861796643633,0.000493583415597243,0.000493583415597243,5.892607291002605e-09,4.7162423300051166e-08
features.6.conv.1.0,6,0.827492596248766,0.827492596248766,0.0,0.0,0.0,0.0
features.6.conv.1.0,7,0.827492596248766,0.8270483711747285,-0.00044422507403751865,0.00044422507403751865,1.2834521889715234e-08,3.175982499215024e-08
features.6.conv.1.0,8,0.827492596248766,0.8268509378084896,-0.0006416584402764158,0.0006416584402764158,7.000907231713428e-08,4.354984817211971e-09
features.6.conv.1.0,9,0.827492596248766,0.8271964461994077,-0.00029615004935834577,0.00029615004935834577,1.782438552311305e-08,2.8832720655458392e-09
features.6.conv.1.0,10,0.827492596248766,0.8270977295162882,-0.00039486673247779436,0.00039486673247779436,1.6451806583717143e-09,8.699766240738427e-09
features.6.conv.1.0,11,0.827492596248766,0.826604146100691,-0.0008884501480750373,0.0008884501480750373,1.3242591911932776e-08,2.5082092847128482e-08
features.6.conv.1.0,12,0.827492596248766,0.8270977295162882,-0.00039486673247779436,0.00039486673247779436,1.9837987963455816e-07,9.841492243367612e-08
features.6.conv.1.0,13,0.827492596248766,0.8274432379072063,-4.9358341559724295e-05,4.9358341559724295e-05,1.0277455331220152e-08,4.659427510489422e-09
