layer,channel,baseline_acc,pruned_acc,delta_acc,delta_acc_abs,perf,phi
features.2.conv.1.0,0,0.827492596248766,0.8268509378084896,-0.0006416584402764158,0.0006416584402764158,2.5473454456914624e-09,1.775262319370086e-07
features.2.conv.1.0,1,0.827492596248766,0.8276406712734452,0.00014807502467917288,0.00014807502467917288,2.844045221550573e-09,9.568796599523921e-08
features.2.conv.1.0,2,0.827492596248766,0.8268509378084896,-0.0006416584402764158,0.0006416584402764158,1.390624447594746e-06,5.625414800647377e-09
features.2.conv.1.0,3,0.827492596248766,0.7975814412635736,-0.02991115498519248,0.02991115498519248,7.104338237695629e-07,4.2258096755176666e-07
features.2.conv.1.0,4,0.827492596248766,0.827492596248766,0.0,0.0,9.818019179874682e-07,6.7876739784367154e-09
features.2.conv.1.0,5,0.827492596248766,0.8261599210266535,-0.001332675222112556,0.001332675222112556,2.523337343518506e-07,9.504048215092098e-09
features.2.conv.1.0,6,0.827492596248766,0.8274432379072063,-4.9358341559724295e-05,4.9358341559724295e-05,3.4231931067552075e-08,8.096514392263998e-08
features.2.conv.1.0,7,0.827492596248766,0.8269002961500493,-0.0005923000987166915,0.0005923000987166915,4.774628692416627e-09,3.9046144095777885e-10
features.2.conv.1.0,8,0.827492596248766,0.8244817374136229,-0.003010858835143182,0.003010858835143182,3.071015441946656e-08,1.519780568060014e-07
features.2.conv.1.0,9,0.827492596248766,0.8273445212240869,-0.00014807502467917288,0.00014807502467917288,1.0506972358825807e-07,8.910976401210745e-10
features.2.conv.1.0,10,0.827492596248766,0.8283810463968411,0.0008884501480750373,0.0008884501480750373,8.212139412933084e-09,4.2573315539584655e-08
features.2.conv.1.0,11,0.827492596248766,0.8258144126357354,-0.001678183613030626,0.001678183613030626,1.0957794671639933e-08,6.0569902871066e-08
features.2.conv.1.0,12,0.827492596248766,0.827492596248766,0.0,0.0,3.165326234011445e-06,3.6798484259747966e-09
features.2.conv.1.0,13,0.827492596248766,0.8279861796643633,0.000493583415597243,0.000493583415597243,3.122582938885899e-07,1.7523852591239123e-08
features.2.conv.1.0,14,0.827492596248766,0.8278381046396841,0.00034550839091807006,0.00034550839091807006,3.625301587817376e-07,5.358256505161307e-09
features.2.conv.1.0,15,0.827492596248766,0.826604146100691,-0.0008884501480750373,0.0008884501480750373,5.6833817652091065e-09,1.601462571443335e-07
features.2.conv.1.0,16,0.827492596248766,0.8280848963474827,0.0005923000987166915,0.0005923000987166915,9.013126245349667e-09,2.2907547858608268e-08
features.2.conv.1.0,17,0.827492596248766,0.8278874629812438,0.00039486673247779436,0.00039486673247779436,5.5280477084806996e-08,9.697956926402185e-08
features.2.conv.1.0,18,0.827492596248766,0.8267028627838104,-0.0007897334649555887,0.0007897334649555887,1.2093735790585924e-08,4.063504377427307e-08
features.2.conv.1.0,19,0.827492596248766,0.7998025666337611,-0.027690029615004885,0.027690029615004885,4.6516404950125445e-07,3.6897819910564074e-08
features.2.conv.1.0,20,0.827492596248766,0.7993089832181639,-0.028183613030602128,0.028183613030602128,5.783468282061222e-07,3.1997632277125376e-07
features.2.conv.1.0,21,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,1.4288977467913358e-07,4.109603768398529e-09
features.2.conv.1.0,22,0.827492596248766,0.8268509378084896,-0.0006416584402764158,0.0006416584402764158,1.3711857036469155e-06,3.243687096698977e-09
features.2.conv.1.0,23,0.827492596248766,0.8269002961500493,-0.0005923000987166915,0.0005923000987166915,2.433821236991207e-06,3.822137273346016e-09
features.2.conv.1.0,24,0.827492596248766,0.8262092793682132,-0.0012833168805528317,0.0012833168805528317,1.6370125877074318e-07,2.136690158138776e-09
features.2.conv.1.0,25,0.827492596248766,0.8279368213228036,0.00044422507403751865,0.00044422507403751865,2.302672186260679e-08,2.109633641111941e-07
features.2.conv.1.0,26,0.827492596248766,0.8270483711747285,-0.00044422507403751865,0.00044422507403751865,7.014074299149797e-08,2.4282320154611625e-08
features.2.conv.1.0,27,0.827492596248766,0.8273938795656466,-9.871668311944859e-05,9.871668311944859e-05,1.34732158763029e-09,4.5445599283766576e-08
features.2.conv.1.0,28,0.827492596248766,0.8278381046396841,0.00034550839091807006,0.00034550839091807006,3.2491701063008804e-07,1.67764611092025e-07
features.2.conv.1.0,29,0.827492596248766,0.8274432379072063,-4.9358341559724295e-05,4.9358341559724295e-05,2.8955100788152777e-06,4.091148309015581e-09
features.2.conv.1.0,30,0.827492596248766,0.824629812438302,-0.002862783810464009,0.002862783810464009,1.145159345128377e-08,1.713009396553389e-07
features.2.conv.1.0,31,0.827492596248766,0.8278874629812438,0.00039486673247779436,0.00039486673247779436,3.257877096984885e-07,1.163107921087203e-08
features.2.conv.1.0,32,0.827492596248766,0.8272458045409674,-0.0002467917077986215,0.0002467917077986215,1.3873464865810092e-07,1.1366139140989162e-08
features.2.conv.1.0,33,0.827492596248766,0.8276406712734452,0.00014807502467917288,0.00014807502467917288,1.222382817189782e-08,1.1569503044484009e-07
features.2.conv.1.0,34,0.827492596248766,0.8259624876604146,-0.0015301085883514531,0.0015301085883514531,2.8697160203705607e-08,1.6105200018046165e-07
