layer,block,channel,baseline_eo,pruned_eo,delta_eo,delta_eo_abs,baseline_acc,pruned_acc,delta_acc,delta_acc_abs,phi,perf,perf_conv1_only,perf_unified
features.3.conv.1.0,features.3,0,0.2289326251189245,0.2378504028638478,0.0089177777449232,0.0089177777449232,0.827492596248766,0.8235439289239882,-0.0039486673247778,0.0039486673247778,3.4392950709616343e-08,5.0308454291325695e-08,5.0308454291325695e-08,3.684704132922434e-07
features.3.conv.1.0,features.3,1,0.2289326251189245,0.2301200405333861,0.0011874154144616,0.0011874154144616,0.827492596248766,0.8277393879565647,0.0002467917077986,0.0002467917077986,3.118128866219649e-09,6.063274895495852e-07,6.063274895495852e-07,6.126752889468179e-07
features.3.conv.1.0,features.3,2,0.2289326251189245,0.2293335180026135,0.0004008928836889,0.0004008928836889,0.827492596248766,0.8267028627838104,-0.0007897334649555,0.0007897334649555,8.009926943941537e-09,3.3468317894858046e-08,3.3468317894858046e-08,5.8975345051948125e-08
features.3.conv.1.0,features.3,3,0.2289326251189245,0.2285439512993084,-0.0003886738196161,0.0003886738196161,0.827492596248766,0.8270977295162882,-0.0003948667324777,0.0003948667324777,8.871576806512849e-10,1.2984133945792564e-07,1.2984133945792564e-07,1.590033269494029e-07
features.3.conv.1.0,features.3,4,0.2289326251189245,0.2282256115888047,-0.0007070135301198,0.0007070135301198,0.827492596248766,0.8269990128331688,-0.0004935834155972,0.0004935834155972,1.4654017999049527e-09,7.71761321516351e-09,7.71761321516351e-09,1.803666416222427e-08
features.3.conv.1.0,features.3,5,0.2289326251189245,0.2305387733294935,0.0016061482105689,0.0016061482105689,0.827492596248766,0.8267028627838104,-0.0007897334649555,0.0007897334649555,1.153945938803247e-09,1.1044900816159497e-07,1.1044900816159497e-07,1.2362069812255072e-07
features.3.conv.1.0,features.3,6,0.2289326251189245,0.274752809741643,0.0458201846227185,0.0458201846227185,0.827492596248766,0.8227541954590326,-0.0047384007897334,0.0047384007897334,7.657109080128066e-08,6.515467134704522e-07,6.515467134704522e-07,9.804022420567549e-07
features.3.conv.1.0,features.3,7,0.2289326251189245,0.225329161494702,-0.0036034636242225,0.0036034636242225,0.827492596248766,0.8273445212240869,-0.0001480750246791,0.0001480750246791,1.6675983260938665e-08,7.971625137770388e-08,7.971625137770388e-08,1.0233414315941047e-07
features.3.conv.1.0,features.3,8,0.2289326251189245,0.226261549169673,-0.0026710759492515,0.0026710759492515,0.827492596248766,0.8276900296150049,0.0001974333662388,0.0001974333662388,2.830899958894406e-09,1.5656593177482137e-07,1.5656593177482137e-07,1.6458218232706656e-07
features.3.conv.1.0,features.3,9,0.2289326251189245,0.2289909188493934,5.829373046886688e-05,5.829373046886688e-05,0.827492596248766,0.8272951628825271,-0.0001974333662388,0.0001974333662388,9.210847196072793e-09,1.0751870860303825e-07,1.0751870860303825e-07,1.1372233577056079e-07
features.3.conv.1.0,features.3,10,0.2289326251189245,0.1904115374291464,-0.0385210876897781,0.0385210876897781,0.827492596248766,0.8,-0.0274925962487659,0.0274925962487659,1.722801670211993e-07,1.0060149179480504e-05,1.0060149179480504e-05,1.142710434187677e-05
