layer,block,channel,baseline_eo,pruned_eo,delta_eo,delta_eo_abs,baseline_acc,pruned_acc,delta_acc,delta_acc_abs,phi,perf,perf_conv1_only,perf_unified
features.6.conv.1.0,features.6,0,0.2289326251189245,0.232208743715998,0.0032761185970734,0.0032761185970734,0.827492596248766,0.8268509378084896,-0.0006416584402764,0.0006416584402764,4.883580206893612e-09,6.977047206646604e-08,6.977047206646604e-08,7.571529880845418e-08
features.6.conv.1.0,features.6,1,0.2289326251189245,0.2281514664330746,-0.0007811586858498,0.0007811586858498,0.827492596248766,0.8272458045409674,-0.0002467917077986,0.0002467917077986,1.1585191472818224e-08,1.82262283487944e-07,1.82262283487944e-07,1.858853729830301e-07
features.6.conv.1.0,features.6,2,0.2289326251189245,0.233431533759705,0.0044989086407804,0.0044989086407804,0.827492596248766,0.8268509378084896,-0.0006416584402764,0.0006416584402764,2.4626865879895377e-08,1.0672447814386032e-07,1.0672447814386032e-07,1.122547954590658e-07
features.6.conv.1.0,features.6,3,0.2289326251189245,0.2274014002065643,-0.0015312249123601,0.0015312249123601,0.827492596248766,0.8273938795656466,-9.87166831194486e-05,9.87166831194486e-05,2.6922311491262008e-08,3.459736944932956e-06,3.459736944932956e-06,3.4749268346123685e-06
features.6.conv.1.0,features.6,4,0.2289326251189245,0.2257036395279278,-0.0032289855909966,0.0032289855909966,0.827492596248766,0.827492596248766,0.0,0.0,3.3985397607239065e-08,5.965976157540355e-08,5.965976157540355e-08,6.626411397370191e-08
features.6.conv.1.0,features.6,5,0.2289326251189245,0.2294700153318722,0.0005373902129477,0.0005373902129477,0.827492596248766,0.8271964461994077,-0.0002961500493583,0.0002961500493583,4.7162423300051166e-08,5.892607291002605e-09,5.892607291002605e-09,9.908855957974083e-09
features.6.conv.1.0,features.6,6,0.2289326251189245,0.2289326251189245,0.0,0.0,0.827492596248766,0.827492596248766,0.0,0.0,0.0,0.0,0.0,0.0
features.6.conv.1.0,features.6,7,0.2289326251189245,0.2274944121407864,-0.0014382129781381,0.0014382129781381,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,3.175982499215024e-08,1.2834521889715234e-08,1.2834521889715234e-08,2.4105217155678815e-08
features.6.conv.1.0,features.6,8,0.2289326251189245,0.2285868191899412,-0.0003458059289833,0.0003458059289833,0.827492596248766,0.8268509378084896,-0.0006416584402764,0.0006416584402764,4.354984817211971e-09,7.000907231713428e-08,7.000907231713428e-08,8.595886036300016e-08
features.6.conv.1.0,features.6,9,0.2289326251189245,0.2296466975503728,0.0007140724314482,0.0007140724314482,0.827492596248766,0.8271964461994077,-0.0002961500493583,0.0002961500493583,2.883272065545839e-09,1.782438552311305e-08,1.782438552311305e-08,1.886596126543516e-08
features.6.conv.1.0,features.6,10,0.2289326251189245,0.2296977856641374,0.0007651605452128,0.0007651605452128,0.827492596248766,0.8270977295162882,-0.0003948667324777,0.0003948667324777,8.699766240738427e-09,1.6451806583717143e-09,1.6451806583717143e-09,5.479262377150462e-09
