layer,channel,baseline_acc,pruned_acc,delta_acc,delta_acc_abs,perf,phi
features.3.conv.1.0,0,0.827492596248766,0.8273938795656466,-9.871668311944859e-05,9.871668311944859e-05,5.0308454291325695e-08,3.4392950709616343e-08
features.3.conv.1.0,1,0.827492596248766,0.827492596248766,0.0,0.0,6.063274895495852e-07,3.118128866219649e-09
features.3.conv.1.0,2,0.827492596248766,0.8270483711747285,-0.00044422507403751865,0.00044422507403751865,3.3468317894858046e-08,8.009926943941537e-09
features.3.conv.1.0,3,0.827492596248766,0.8266535044422507,-0.000839091806515313,0.000839091806515313,1.2984133945792564e-07,8.871576806512849e-10
features.3.conv.1.0,4,0.827492596248766,0.8269990128331688,-0.000493583415597243,0.000493583415597243,7.71761321516351e-09,1.4654017999049527e-09
features.3.conv.1.0,5,0.827492596248766,0.8267028627838104,-0.0007897334649555887,0.0007897334649555887,1.1044900816159497e-07,1.153945938803247e-09
features.3.conv.1.0,6,0.827492596248766,0.8254195459032576,-0.0020730503455084204,0.0020730503455084204,6.515467134704522e-07,7.657109080128066e-08
features.3.conv.1.0,7,0.827492596248766,0.8272458045409674,-0.0002467917077986215,0.0002467917077986215,7.971625137770388e-08,1.6675983260938665e-08
features.3.conv.1.0,8,0.827492596248766,0.828035538005923,0.0005429417571569672,0.0005429417571569672,1.5656593177482137e-07,2.830899958894406e-09
features.3.conv.1.0,9,0.827492596248766,0.8276900296150049,0.00019743336623889718,0.00019743336623889718,1.0751870860303825e-07,9.210847196072793e-09
features.3.conv.1.0,10,0.827492596248766,0.824629812438302,-0.002862783810464009,0.002862783810464009,1.0060149179480504e-05,1.722801670211993e-07
features.3.conv.1.0,11,0.827492596248766,0.8267522211253702,-0.0007403751233958644,0.0007403751233958644,1.002446538223012e-06,1.4770491496562954e-08
features.3.conv.1.0,12,0.827492596248766,0.8272458045409674,-0.0002467917077986215,0.0002467917077986215,1.258172517282219e-07,6.963603027543286e-09
features.3.conv.1.0,13,0.827492596248766,0.8276406712734452,0.00014807502467917288,0.00014807502467917288,5.16299849095958e-07,2.8585834144223557e-08
features.3.conv.1.0,14,0.827492596248766,0.8276900296150049,0.00019743336623889718,0.00019743336623889718,9.238045883819268e-09,3.87955445546595e-08
features.3.conv.1.0,15,0.827492596248766,0.8277887462981244,0.00029615004935834577,0.00029615004935834577,6.2136029654880084e-09,1.9739674783636477e-08
features.3.conv.1.0,16,0.827492596248766,0.8280848963474827,0.0005923000987166915,0.0005923000987166915,1.4792580493860896e-08,3.627474987055734e-09
features.3.conv.1.0,17,0.827492596248766,0.8267522211253702,-0.0007403751233958644,0.0007403751233958644,1.39227537943043e-07,2.0231074593368703e-09
features.3.conv.1.0,18,0.827492596248766,0.826604146100691,-0.0008884501480750373,0.0008884501480750373,1.2772212585332454e-06,1.3928030284660052e-08
features.3.conv.1.0,19,0.827492596248766,0.8267522211253702,-0.0007403751233958644,0.0007403751233958644,6.825663945164706e-08,2.409201060871169e-09
features.3.conv.1.0,20,0.827492596248766,0.8260118460019743,-0.0014807502467917288,0.0014807502467917288,2.5676794734863506e-07,1.5299772115895394e-08
features.3.conv.1.0,21,0.827492596248766,0.8280848963474827,0.0005923000987166915,0.0005923000987166915,2.7682017389452085e-07,7.252644707023137e-09
features.3.conv.1.0,22,0.827492596248766,0.8276406712734452,0.00014807502467917288,0.00014807502467917288,3.4982758023716094e-08,3.207318410858306e-09
features.3.conv.1.0,23,0.827492596248766,0.8273938795656466,-9.871668311944859e-05,9.871668311944859e-05,1.220798253598332e-07,9.432372216622298e-09
features.3.conv.1.0,24,0.827492596248766,0.8274432379072063,-4.9358341559724295e-05,4.9358341559724295e-05,1.6617800469020951e-09,1.2652564329584948e-08
features.3.conv.1.0,25,0.827492596248766,0.827147087857848,-0.00034550839091807006,0.00034550839091807006,7.769896910758689e-06,2.7699240234824174e-08
features.3.conv.1.0,26,0.827492596248766,0.8274432379072063,-4.9358341559724295e-05,4.9358341559724295e-05,3.9765339465702716e-08,1.417647776946751e-09
features.3.conv.1.0,27,0.827492596248766,0.8276406712734452,0.00014807502467917288,0.00014807502467917288,4.554377142085286e-08,1.090818546600758e-08
features.3.conv.1.0,28,0.827492596248766,0.8270977295162882,-0.00039486673247779436,0.00039486673247779436,2.0318557503173903e-08,3.8726875040140385e-09
features.3.conv.1.0,29,0.827492596248766,0.8272951628825271,-0.00019743336623889718,0.00019743336623889718,2.7215625664211984e-07,5.122511304023192e-09
features.3.conv.1.0,30,0.827492596248766,0.8272458045409674,-0.0002467917077986215,0.0002467917077986215,1.5457223412340684e-07,1.0180717602281676e-08
features.3.conv.1.0,31,0.827492596248766,0.8275913129318855,9.871668311944859e-05,9.871668311944859e-05,1.4488949773294737e-07,8.829070807792052e-09
features.3.conv.1.0,32,0.827492596248766,0.8265054294175715,-0.000987166831194486,0.000987166831194486,4.5023035966096365e-08,1.734145715914792e-09
features.3.conv.1.0,33,0.827492596248766,0.8271964461994077,-0.00029615004935834577,0.00029615004935834577,8.095030779031731e-08,1.0684574114350198e-08
features.3.conv.1.0,34,0.827492596248766,0.8271964461994077,-0.00029615004935834577,0.00029615004935834577,7.665490642239092e-08,8.222355241116475e-09
features.3.conv.1.0,35,0.827492596248766,0.827492596248766,0.0,0.0,2.628017625738721e-07,5.445040529572508e-10
features.3.conv.1.0,36,0.827492596248766,0.8270977295162882,-0.00039486673247779436,0.00039486673247779436,6.082844095089969e-08,5.186048479544071e-09
features.3.conv.1.0,37,0.827492596248766,0.8263079960513326,-0.001184600197433383,0.001184600197433383,8.230471593151378e-08,2.148824895797929e-09
features.3.conv.1.0,38,0.827492596248766,0.8272458045409674,-0.0002467917077986215,0.0002467917077986215,2.2620996631417256e-08,3.644301971306163e-09
features.3.conv.1.0,39,0.827492596248766,0.827492596248766,0.0,0.0,4.062022895823248e-08,7.405395408000004e-09
features.3.conv.1.0,40,0.827492596248766,0.827492596248766,0.0,0.0,3.892253062076634e-07,3.5054881664109416e-08
features.3.conv.1.0,41,0.827492596248766,0.8259624876604146,-0.0015301085883514531,0.0015301085883514531,1.0971060504516573e-07,7.928254497358012e-09
features.3.conv.1.0,42,0.827492596248766,0.8276900296150049,0.00019743336623889718,0.00019743336623889718,4.351695679361001e-07,7.2534573902771635e-09
features.3.conv.1.0,43,0.827492596248766,0.8267028627838104,-0.0007897334649555887,0.0007897334649555887,2.829115430813545e-07,1.3852518243595568e-08
features.3.conv.1.0,44,0.827492596248766,0.8270977295162882,-0.00039486673247779436,0.00039486673247779436,1.5821868828425067e-06,2.417808175891878e-09
features.3.conv.1.0,45,0.827492596248766,0.8281342546890424,0.0006416584402764158,0.0006416584402764158,6.744122060808877e-07,6.293976895221931e-09
features.3.conv.1.0,46,0.827492596248766,0.8277887462981244,0.00029615004935834577,0.00029615004935834577,3.765919132092677e-07,6.199830870912137e-09
features.3.conv.1.0,47,0.827492596248766,0.8269990128331688,-0.000493583415597243,0.000493583415597243,2.523240993923537e-07,1.0818051343619572e-08
features.3.conv.1.0,48,0.827492596248766,0.8269496544916091,-0.0005429417571569672,0.0005429417571569672,5.708870389753429e-07,1.8305178484112614e-09
features.3.conv.1.0,49,0.827492596248766,0.8276900296150049,0.00019743336623889718,0.00019743336623889718,1.1315506753817315e-08,2.95893993751406e-08
features.3.conv.1.0,50,0.827492596248766,0.8272951628825271,-0.00019743336623889718,0.00019743336623889718,7.831030046645537e-09,1.5721187685002747e-09
features.3.conv.1.0,51,0.827492596248766,0.8255676209279368,-0.0019249753208292475,0.0019249753208292475,1.3320605773969876e-07,1.2310954389249673e-07
features.3.conv.1.0,52,0.827492596248766,0.8270483711747285,-0.00044422507403751865,0.00044422507403751865,3.054016417536332e-08,3.6757723531621878e-09
features.3.conv.1.0,53,0.827492596248766,0.8276900296150049,0.00019743336623889718,0.00019743336623889718,1.814518668652454e-07,1.6745328457190567e-09
features.3.conv.1.0,54,0.827492596248766,0.8276406712734452,0.00014807502467917288,0.00014807502467917288,7.132913992791147e-08,5.9450715461650824e-09
features.3.conv.1.0,55,0.827492596248766,0.8281342546890424,0.0006416584402764158,0.0006416584402764158,8.963288422592086e-08,4.6454118773908704e-08
features.3.conv.1.0,56,0.827492596248766,0.8281836130306022,0.0006910167818361401,0.0006910167818361401,1.023643463327062e-07,1.4358153777038753e-08
features.3.conv.1.0,57,0.827492596248766,0.8232971372161896,-0.004195459032576454,0.004195459032576454,1.0342535006202525e-06,2.0638371012182688e-08
features.3.conv.1.0,58,0.827492596248766,0.8274432379072063,-4.9358341559724295e-05,4.9358341559724295e-05,2.208069282971792e-09,3.62842200729574e-08
features.3.conv.1.0,59,0.827492596248766,0.827492596248766,0.0,0.0,1.161553342399202e-07,1.2755681844112132e-08
features.3.conv.1.0,60,0.827492596248766,0.8275913129318855,9.871668311944859e-05,9.871668311944859e-05,6.991139400724934e-08,2.7352493603416406e-09
features.3.conv.1.0,61,0.827492596248766,0.8278381046396841,0.00034550839091807006,0.00034550839091807006,2.5747617371507662e-08,6.283843223542362e-09
features.3.conv.1.0,62,0.827492596248766,0.8273938795656466,-9.871668311944859e-05,9.871668311944859e-05,9.063819916832472e-09,3.8084866815779606e-08
features.3.conv.1.0,63,0.827492596248766,0.8272951628825271,-0.00019743336623889718,0.00019743336623889718,5.099859734514212e-08,6.6780714291780904e-09
features.3.conv.1.0,64,0.827492596248766,0.8269496544916091,-0.0005429417571569672,0.0005429417571569672,7.425708190567093e-07,2.0634123576446228e-10
features.3.conv.1.0,65,0.827492596248766,0.8272458045409674,-0.0002467917077986215,0.0002467917077986215,2.5689267602047042e-08,9.933129874184488e-10
features.3.conv.1.0,66,0.827492596248766,0.8258144126357354,-0.001678183613030626,0.001678183613030626,1.59438329205841e-07,9.63281081567402e-08
features.3.conv.1.0,67,0.827492596248766,0.8268509378084896,-0.0006416584402764158,0.0006416584402764158,4.6577531520597414e-07,7.644260779926525e-10
features.3.conv.1.0,68,0.827492596248766,0.827492596248766,0.0,0.0,4.635223760374174e-09,6.2807066214531915e-09
features.3.conv.1.0,69,0.827492596248766,0.827147087857848,-0.00034550839091807006,0.00034550839091807006,7.408900728478329e-07,1.7064982316128408e-08
