================================================================================
Channel Pruning Log
  iteration  : 18
  alpha      : 0.3000
  timestamp  : 2026-05-22 14:26:02
  remove_target  : 29557
  accum_removed  : 29811
  selected_channels : 155
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 776060
  model_sparsity : 66.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       86    89.6%
  features.3                144          0      129    89.6%
  features.4                144          0      129    89.6%
  features.5                192          4      172    89.6%
  features.6                192          0      172    89.6%
  features.7                192          0      172    89.6%
  features.8                384         65      209    54.4%
features.8                       265    -0.087520 9.810772e-08 3.832121e-07      137
features.15                      432    -0.087506 1.723381e-07 4.920333e-07      329
features.15                      789    -0.087359 1.677808e-07 3.252090e-07      329
features.11                      125    -0.086728 2.056709e-07 1.377963e-06      169
features.5                        12    -0.086372 2.685046e-08 3.699206e-07       73
features.8                       300    -0.085501 9.091634e-08 1.608631e-08      137
features.15                      579    -0.085397 1.625142e-07 2.596097e-07      329
features.11                      366    -0.085269 1.918162e-07 2.104824e-07      169
features.11                       76    -0.085007 1.904960e-07 1.293373e-07      169
features.15                      664    -0.084737 1.606703e-07 2.347466e-07      329
features.11                       82    -0.084539 1.955390e-07 7.992266e-07      169
features.5                        89    -0.083972 2.868453e-08 9.154346e-06       73
features.5                        20    -0.083855 3.001430e-08 1.381102e-05       73
features.8                        81    -0.083777 8.978943e-08 6.709776e-08      137
features.8                       135    -0.083563 1.002326e-07 8.429265e-07      137
features.15                      816    -0.083397 1.542755e-07 8.109584e-08      329
features.8                       339    -0.083324 9.360100e-08 3.791552e-07      137
features.8                       256    -0.082928 8.839310e-08 3.107618e-08      137
features.15                      400    -0.082825 1.750801e-07 9.309033e-07      329
features.8                        90    -0.082717 8.989931e-08 1.568805e-07      137
features.8                       113    -0.082112 9.020749e-08 2.258886e-07      137
features.11                       99    -0.082005 1.894598e-07 7.513528e-07      169
features.8                       118    -0.081609 8.789222e-08 9.639041e-08      137
features.8                        28    -0.081302 8.946534e-08 2.343993e-07      137
features.5                       185    -0.081241 2.543011e-08 9.429884e-07       73
features.8                       229    -0.081197 9.077885e-08 3.380103e-07      137
features.8                       309    -0.081076 8.693763e-08 6.808773e-08      137
features.15                      235    -0.080795 1.628769e-07 6.003855e-07      329
features.8                        22    -0.080105 9.026879e-08 3.851648e-07      137
features.8                       177    -0.079774 8.715371e-08 1.841750e-07      137
features.16                      668    -0.079584 5.025757e-07 1.118851e-07      329
features.8                        35    -0.079539 8.479296e-08 3.068600e-08      137
features.8                       262    -0.079182 8.590946e-08 1.393973e-07      137
features.8                       345    -0.078862 8.642552e-08 2.015646e-07      137
