target_layer,score_name,delta_metric,num_points,pearson,pearson_p,spearman,spearman_p
features.17.conv.2,phi,delta_eo_abs,320,0.5765096575503804,9.744886000817533e-30,0.4909438812879033,8.152029316313625e-21
features.17.conv.2,importance_channel,delta_eo_abs,320,0.09420157981658042,0.09251504580524765,0.09718783874842529,0.08258914199114173
