layer,channel,baseline_eo,pruned_eo,delta_eo,delta_eo_abs,phi,perf
features.1.conv.1,0,0.22893262511892457,0.32203103979950065,0.09309841468057609,0.09309841468057609,9.177610849064877e-08,2.1083210413053166e-06
features.1.conv.1,1,0.22893262511892457,0.23764929906697008,0.008716673948045511,0.008716673948045511,3.8280109748711766e-08,6.311883566922916e-07
features.1.conv.1,2,0.22893262511892457,0.28513081393238926,0.056198188813464695,0.056198188813464695,4.4620623640412305e-08,2.632878704389441e-06
features.1.conv.1,3,0.22893262511892457,0.3243839018113959,0.09545127669247136,0.09545127669247136,1.769597872680606e-07,2.6354932742833626e-06
features.1.conv.1,4,0.22893262511892457,0.22935842559099412,0.00042580047206955407,0.00042580047206955407,2.6799824581758003e-08,1.2020501571896602e-06
features.1.conv.1,5,0.22893262511892457,0.2586592053904697,0.02972658027154515,0.02972658027154515,8.618192737230856e-08,3.507168912619818e-06
features.1.conv.1,6,0.22893262511892457,0.26345190142333935,0.03451927630441479,0.03451927630441479,9.632163511241743e-08,1.1745430583687266e-06
features.1.conv.1,7,0.22893262511892457,0.26884437551479656,0.039911750395872,0.039911750395872,7.404000967881075e-08,2.2245687887334498e-06
features.1.conv.1,8,0.22893262511892457,0.2259822300570309,-0.002950395061893679,0.002950395061893679,2.8327743706313413e-08,8.49906655275845e-07
features.1.conv.1,9,0.22893262511892457,0.2811703860024601,0.05223776088353552,0.05223776088353552,7.990488626319348e-08,3.856781859212788e-06
features.1.conv.1,10,0.22893262511892457,0.3087950414151604,0.07986241629623583,0.07986241629623583,1.5184775747911772e-07,2.348578163946513e-06
features.1.conv.1,11,0.22893262511892457,0.26098379294773866,0.03205116782881409,0.03205116782881409,8.035960519237051e-08,2.5596973500796594e-06
features.1.conv.1,12,0.22893262511892457,0.24764937308304233,0.018716747964117764,0.018716747964117764,5.084963916601737e-08,1.2124830846005352e-06
features.1.conv.1,13,0.22893262511892457,0.21858499480343932,-0.010347630315485246,0.010347630315485246,1.1606518768303431e-07,4.013330453744857e-06
features.1.conv.1,14,0.22893262511892457,0.25949880598466585,0.030566180865741283,0.030566180865741283,7.092694431776181e-08,2.2541341877513332e-06
features.1.conv.1,15,0.22893262511892457,0.264966695649581,0.03603407053065641,0.03603407053065641,6.342603597886409e-08,2.0337779460533056e-06
