layer,block,channels,phi_deo_spearman,phi_deo_spearman_p,phi_deo_pearson,phi_deo_pearson_p,perf_deo_spearman,perf_deo_spearman_p,perf_deo_pearson,perf_deo_pearson_p,phi_dacc_spearman,phi_dacc_spearman_p,phi_dacc_pearson,phi_dacc_pearson_p,perf_dacc_spearman,perf_dacc_spearman_p,perf_dacc_pearson,perf_dacc_pearson_p,phi_perf_spearman,phi_perf_pearson,corr_group,phi_perf_rho_selection
features.4.conv.1.0,features.4,144,0.4561289285427217,9.173402678706945e-09,0.4016610683751617,6.047832807440903e-07,0.3546459287838598,1.2930515496097455e-05,0.3053660133032883,0.00019784305248381418,0.5519749264589281,7.443159625926695e-13,0.5314173505019448,7.239404563716322e-12,0.5290915109889169,9.27528615158918e-12,0.5718679073749517,7.067988457585686e-14,0.4277831364038261,0.5633725577298057,high,0.4277831364038261
features.11.conv.1.0,features.11,384,0.17815583567868165,0.00045174649730735165,0.14088935743845465,0.005680713156773162,0.39110406564714656,1.7445908480422571e-15,0.25918001944008306,2.596720803445082e-07,0.15490362374877265,0.002334734705746135,0.12238113867365855,0.016422952601971307,0.33426373190648945,1.7776644724133764e-11,0.21347490347148718,2.4612575793101733e-05,0.16981346003865588,0.2353308588402454,medium,0.16981346003865588
features.10.conv.1.0,features.10,384,0.18504055905287864,0.00026661267161820116,0.11610327515416685,0.022879950416779673,0.3689535640628947,7.919635801493702e-14,0.4730116537796918,8.380828213839342e-23,0.19764918983266555,9.658232810070777e-05,0.24498657851956793,1.1778148347214351e-06,0.30360094359823203,1.2484137511905987e-09,0.17321975016739732,0.000651680456740841,0.03843064160036907,-0.008754490496158174,low,0.03843064160036907
features.9.conv.1.0,features.9,384,0.09259133181016412,0.06992563717744504,0.057590994212094446,0.2602485650558166,0.2815814092326668,1.978750823897847e-08,0.45787425688657757,2.6875235842704483e-21,0.1688992922920678,0.0008910288339109928,0.18880536142769094,0.00019821944557796035,0.29383206313265314,4.379158930290973e-09,0.2816822954275909,1.9549007327161358e-08,-0.03813410792025868,-0.04046000660416981,low,-0.03813410792025868
features.13.conv.1.0,features.13,576,0.14462378230312609,0.0004981450829832095,0.11838629148419422,0.004439606521059187,0.40873726868086313,1.3255179143182474e-24,0.33022520256595284,4.0329115862990956e-16,0.10858107927214886,0.009107303793076428,0.09226399010261035,0.026811568094763264,0.36101874099603487,3.580639401634863e-19,0.24973322988802715,1.2235427082114713e-09,-0.19890378578014728,-0.09557895716182513,medium,-0.19890378578014728
features.17.conv.1.0,features.17,960,0.2529953620859534,1.7430228780219655e-15,0.27404692517554147,5.332474389416829e-18,0.3613766732022393,5.47115618615639e-31,0.041495631065610716,0.198941427835691,0.08364653334215191,0.009518109159362784,0.04866355978186261,0.13188410041505993,0.26480929924830204,7.211192561385483e-17,0.020956190109173815,0.5166428180802067,0.40521209604177083,0.01852738697202552,high,0.40521209604177083
