================================================================================
Channel Pruning Log
  iteration  : 13
  alpha      : 0.3000
  timestamp  : 2026-05-21 05:09:24
  remove_target  : 50107
  accum_removed  : 50457
  selected_channels : 113
  gamma             : 0.0100
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 960921
  model_sparsity : 58.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       86    89.6%
  features.3                144          0      126    87.5%
  features.4                144          0      129    89.6%
  features.5                192          9      172    89.6%
  features.6                192          1      103    53.6%
  features.7                192          0      172    89.6%
  features.8                384          1      190    49.5%
features.17                      385    -0.245335 6.833404e-07 2.292239e-08      489
features.17                      461    -0.243602 6.593328e-07 3.622230e-09      489
features.17                      649    -0.243249 6.624848e-07 7.714878e-09      489
features.17                      231    -0.242996 6.613423e-07 7.254372e-09      489
features.17                      508    -0.240686 6.534636e-07 5.597508e-09      489
features.17                      483    -0.239800 6.485537e-07 3.078906e-09      489
features.17                      102    -0.239613 6.470933e-07 2.122467e-09      489
features.17                      446    -0.239294 6.500294e-07 5.910621e-09      489
features.17                      900    -0.235675 6.763009e-07 4.184356e-08      489
features.17                      524    -0.235556 6.357842e-07 1.734909e-09      489
features.17                      705    -0.233515 6.488669e-07 2.027200e-08      489
features.17                      304    -0.232965 6.314515e-07 4.369927e-09      489
features.17                      937    -0.230429 6.230725e-07 2.820296e-09      489
features.17                      305    -0.230121 6.303863e-07 1.094691e-08      489
features.17                      118    -0.229506 6.267955e-07 9.014846e-09      489
features.17                      571    -0.227893 6.152731e-07 1.850635e-09      489
features.17                      791    -0.227125 6.389659e-07 2.755445e-08      489
features.17                      853    -0.227084 6.287112e-07 1.743123e-08      489
features.17                        7    -0.226941 6.165932e-07 5.723881e-09      489
features.17                      894    -0.226257 6.124161e-07 3.393737e-09      489
features.17                      448    -0.224596 6.203386e-07 1.575924e-08      489
features.17                      941    -0.224153 6.098675e-07 6.501021e-09      489
features.17                       32    -0.223428 6.201965e-07 1.875405e-08      489
features.17                      568    -0.222493 6.028025e-07 3.911074e-09      489
features.17                      537    -0.219817 6.003921e-07 8.691378e-09      489
features.17                      406    -0.218561 5.902098e-07 1.906409e-09      489
features.17                      641    -0.218080 5.917032e-07 4.687804e-09      489
features.17                      157    -0.213336 5.894469e-07 1.517795e-08      489
features.17                      412    -0.213191 5.771475e-07 3.293596e-09      489
features.17                      653    -0.212978 5.813114e-07 8.022617e-09      489
features.17                      729    -0.212753 5.793070e-07 6.624687e-09      489
features.17                       31    -0.212184 5.752473e-07 4.104576e-09      489
features.17                      878    -0.212019 5.789804e-07 8.271100e-09      489
features.17                      209    -0.211718 5.733010e-07 3.413328e-09      489
features.17                      939    -0.211390 5.718643e-07 2.860012e-09      489
features.17                       55    -0.211039 5.882374e-07 2.013890e-08      489
features.17                      931    -0.210834 5.776899e-07 1.016599e-08      489
features.17                      644    -0.210575 5.782791e-07 1.144900e-08      489
features.17                       22    -0.208496 5.850281e-07 2.376750e-08      489
features.17                      751    -0.208153 5.681526e-07 7.851790e-09      489
