================================================================================
Channel Pruning Log
  iteration  : 15
  alpha      : 0.3000
  timestamp  : 2026-05-21 07:35:18
  remove_target  : 40509
  accum_removed  : 40835
  selected_channels : 187
  gamma             : 0.0100
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 874564
  model_sparsity : 61.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       86    89.6%
  features.3                144          3      129    89.6%
  features.4                144          0      129    89.6%
  features.5                192          0      172    89.6%
  features.6                192         36      172    89.6%
  features.7                192          0      172    89.6%
  features.8                384         68      258    67.2%
features.6                       145    -0.116664 1.361825e-08 4.853911e-08       73
features.15                      675    -0.114697 2.778535e-07 1.160564e-09      329
features.8                       194    -0.114635 6.600462e-08 8.824222e-08      137
features.8                       119    -0.113803 6.345607e-08 1.374972e-08      137
features.8                        63    -0.113528 6.825880e-08 1.905855e-07      137
features.8                       105    -0.113300 6.581998e-08 1.080666e-07      137
features.8                        83    -0.111419 6.346912e-08 6.137763e-08      137
features.8                        28    -0.111112 6.223338e-08 2.334765e-08      137
features.8                        34    -0.111052 6.338260e-08 6.555004e-08      137
features.8                       356    -0.110565 6.316299e-08 6.734319e-08      137
features.8                       342    -0.109553 6.329683e-08 9.213414e-08      137
features.15                      369    -0.109235 2.659837e-07 8.960852e-09      329
features.8                        82    -0.109031 6.070518e-08 9.971738e-09      137
features.8                       338    -0.108764 6.148026e-08 4.291569e-08      137
features.6                       162    -0.108409 1.264579e-08 1.592532e-08       73
features.15                      221    -0.107134 2.809462e-07 1.246006e-07      329
features.6                       167    -0.106638 1.246244e-08 9.231515e-08       73
features.3                       142    -0.106242 3.745089e-08 1.765243e-06       57
features.8                        40    -0.106184 5.939209e-08 1.940739e-08      137
features.6                        74    -0.105965 1.236219e-08 2.071658e-08       73
features.15                      280    -0.105661 2.605206e-07 2.735511e-08      329
features.15                      454    -0.104965 2.570961e-07 1.732271e-08      329
features.16                      867    -0.104390 5.133563e-07 5.740775e-08      329
features.8                       354    -0.104383 6.192754e-08 1.455073e-07      137
features.8                       262    -0.104061 5.891555e-08 4.439591e-08      137
features.15                      806    -0.103882 2.766444e-07 1.452008e-07      329
features.8                        57    -0.103812 6.328567e-08 2.052852e-07      137
features.6                        13    -0.103789 1.211609e-08 4.564201e-08       73
features.8                        55    -0.103708 5.952625e-08 7.316552e-08      137
features.15                      505    -0.103478 2.731397e-07 1.306268e-07      329
features.6                        37    -0.103324 1.206051e-08 4.130455e-08       73
features.8                       344    -0.103256 5.735554e-08 4.649563e-09      137
features.8                        32    -0.102864 5.749184e-08 1.725327e-08      137
features.8                       195    -0.102640 5.940887e-08 9.011165e-08      137
features.8                       215    -0.102139 5.784232e-08 4.411315e-08      137
features.8                        77    -0.102098 5.817745e-08 5.688769e-08      137
features.15                      207    -0.101843 2.599751e-07 7.751198e-08      329
features.8                       135    -0.101754 6.466333e-08 2.951408e-07      137
features.15                      357    -0.101621 2.506639e-07 2.690788e-08      329
features.15                      401    -0.100988 2.490736e-07 2.657238e-08      329
features.16                      285    -0.100898 5.006651e-07 1.468497e-07      329
features.6                       161    -0.100701 1.175802e-08 5.225474e-08       73
features.8                       249    -0.100394 5.843523e-08 9.978925e-08      137
features.8                       102    -0.099917 5.651600e-08 4.072643e-08      137
features.15                       99    -0.099652 2.584229e-07 9.915350e-08      329
features.8                       370    -0.099386 5.709478e-08 7.188233e-08      137
features.8                       118    -0.099217 5.677955e-08 6.397102e-08      137
features.15                      732    -0.098685 2.417425e-07 1.644949e-08      329
features.8                       229    -0.098623 5.530106e-08 2.295499e-08      137
features.8                       152    -0.098060 5.493231e-08 2.093940e-08      137
features.8                       167    -0.097959 7.106510e-08 5.986642e-07      137
features.15                      201    -0.097942 2.435690e-07 3.735967e-08      329
features.15                       38    -0.097845 2.473779e-07 6.067196e-08      329
features.8                         4    -0.097278 5.773717e-08 1.364990e-07      137
features.15                      365    -0.096979 2.435909e-07 5.093283e-08      329
features.8                       237    -0.096201 5.520549e-08 6.745332e-08      137
features.8                       126    -0.095738 5.490705e-08 6.596366e-08      137
features.16                      767    -0.095589 4.683056e-07 1.645745e-08      329
features.8                        81    -0.095577 5.328299e-08 1.118253e-08      137
features.15                      100    -0.094479 2.749765e-07 2.668721e-07      329
features.16                      858    -0.094472 4.648271e-07 5.690011e-08      329
features.15                      254    -0.094343 2.386184e-07 5.905228e-08      329
features.15                      356    -0.094072 2.407384e-07 7.505824e-08      329
features.16                      438    -0.093986 4.633070e-07 7.436573e-08      329
features.8                       348    -0.093701 5.310263e-08 4.185821e-08      137
features.15                      348    -0.092906 2.356413e-07 6.193955e-08      329
features.8                       295    -0.092689 5.251055e-08 4.073492e-08      137
features.8                       223    -0.092635 5.213382e-08 2.835113e-08      137
features.8                       352    -0.092009 5.412291e-08 1.117364e-07      137
features.15                      125    -0.091934 2.340950e-07 6.659526e-08      329
features.8                       330    -0.091103 5.280255e-08 8.252424e-08      137
features.15                       57    -0.090984 2.250370e-07 2.761840e-08      329
features.8                       241    -0.090955 5.077376e-08 1.305507e-08      137
features.15                      292    -0.090950 2.254385e-07 3.040351e-08      329
features.8                       192    -0.090595 6.400962e-08 4.925224e-07      137
features.8                         8    -0.090401 5.086768e-08 2.735014e-08      137
features.15                      413    -0.090281 2.190994e-07 3.180104e-09      329
features.16                      704    -0.090127 4.434413e-07 5.414899e-08      329
features.16                      894    -0.088842 4.566199e-07 4.509586e-07      329
features.8                       276    -0.088407 5.018789e-08 4.253099e-08      137
features.15                      312    -0.088312 2.350957e-07 1.229467e-07      329
features.15                      450    -0.088287 2.204080e-07 3.856945e-08      329
features.8                        37    -0.088106 5.221137e-08 1.207046e-07      137
