================================================================================
Channel Pruning Log
  iteration  : 18
  alpha      : 0.3000
  timestamp  : 2026-05-21 11:14:38
  remove_target  : 29484
  accum_removed  : 29554
  selected_channels : 98
  gamma             : 0.0100
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 775591
  model_sparsity : 66.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       86    89.6%
  features.3                144          0      129    89.6%
  features.4                144          0      129    89.6%
  features.5                192          0      172    89.6%
  features.6                192          0      172    89.6%
  features.7                192          0      172    89.6%
  features.8                384         14      272    70.8%
features.15                      208    -0.135344 1.695226e-07 5.977017e-07      329
features.16                      714    -0.135107 4.764682e-07 2.938483e-08      329
features.15                      428    -0.134392 1.679253e-07 5.744257e-07      329
features.16                      475    -0.134386 4.742417e-07 4.260781e-08      329
features.15                      664    -0.133123 1.580524e-07 1.781003e-07      329
features.16                      586    -0.132904 4.689904e-07 4.113364e-08      329
features.15                      171    -0.132571 1.556078e-07 9.299701e-08      329
features.8                       254    -0.132554 7.932743e-08 6.296614e-08      137
features.15                      924    -0.132447 1.551611e-07 7.871860e-08      329
features.8                       379    -0.132040 8.060430e-08 1.703782e-07      137
features.15                       71    -0.131983 2.000126e-07 2.219534e-06      329
features.16                      948    -0.131595 4.639045e-07 2.103650e-08      329
features.15                      264    -0.131588 1.537338e-07 5.830600e-08      329
features.16                      776    -0.131307 4.629039e-07 2.162962e-08      329
features.15                      273    -0.130453 1.616762e-07 4.950019e-07      329
features.16                      874    -0.130142 4.592331e-07 3.981727e-08      329
features.16                      382    -0.129791 4.575003e-07 1.879923e-08      329
features.15                      884    -0.129672 1.566573e-07 3.009500e-07      329
features.8                       256    -0.129332 7.687937e-08 2.611302e-08      137
features.8                        59    -0.128743 7.803244e-08 1.281250e-07      137
features.16                      517    -0.128593 4.531868e-07 1.479620e-08      329
features.15                      846    -0.128412 1.507563e-07 9.149884e-08      329
features.8                       232    -0.127731 7.693943e-08 9.454447e-08      137
features.16                      396    -0.127400 4.501578e-07 6.438809e-08      329
