target_layer,score_name,delta_metric,num_points,pearson,pearson_p,spearman,spearman_p
features.17.conv.1.0,phi,delta_eo_abs,960,0.546348316813938,8.335218136547858e-76,0.44269402814995834,2.4352446497713136e-47
features.17.conv.1.0,importance_channel,delta_eo_abs,960,0.02406626146593975,0.45639129879136964,0.20994073455424003,5.0433663142502535e-11
