layer,block,channels,phi_deo_spearman,phi_deo_spearman_p,phi_deo_pearson,phi_deo_pearson_p,perf_deo_spearman,perf_deo_spearman_p,perf_deo_pearson,perf_deo_pearson_p,phi_dacc_spearman,phi_dacc_spearman_p,phi_dacc_pearson,phi_dacc_pearson_p,perf_dacc_spearman,perf_dacc_spearman_p,perf_dacc_pearson,perf_dacc_pearson_p,phi_perf_spearman
features.1.conv.1,features.1,16,0.3323529411764706,0.2084998279822084,0.5005485270520492,0.04829461674864016,0.16176470588235295,0.5494831434036929,0.12537495539561813,0.6436136865035758,-0.08823529411764705,0.7452220943671326,-0.2533075331676442,0.34384090312664345,-0.09117647058823529,0.7370049501736589,-0.23655104796059812,0.377741604758407,0.5735294117647058
features.2.conv.1.0,features.2,96,0.3083016820401519,0.002243390706433906,0.466125729120651,1.6997258800992505e-06,0.03908030385241454,0.7054040077407013,-0.08274107743525635,0.42287144943074567,0.32353061446559744,0.0013028353037920239,0.3842735458017754,0.00011095968200088002,-0.09071319748480466,0.3794146332435414,-0.07018979718338127,0.4967914603315307,-0.5132257189365166
features.3.conv.1.0,features.3,144,0.20195321919459852,0.015208180609882289,0.3937850707475019,1.0448124692750792e-06,0.2262920987058918,0.006385292018453439,0.28272860308631054,0.0005958382175949575,0.07082003280450808,0.3989525317406256,0.3542157680456227,1.326930732896745e-05,0.17332059440064818,0.03775817286611731,0.39556669678307504,9.244037551202403e-07,0.17597058114299494
features.6.conv.1.0,features.6,192,0.06993462279250198,0.3350983381257969,0.08080697708843501,0.26519088746401837,0.39942998399479157,9.511748503835956e-09,0.15104039363260502,0.036508074009505745,0.0833950090564423,0.2501381855180545,0.1835988506896698,0.01079969428948228,0.23008682574032632,0.001324841929482353,0.5060459789300511,7.019593289513558e-14,-0.17056567560968997
features.10.conv.1.0,features.10,384,0.18504055905287864,0.00026661267161820116,0.11610327515416685,0.022879950416779673,0.2777838413140552,3.112459004713878e-08,0.4465031544673348,3.25361627420163e-20,0.19764918983266555,9.658232810070777e-05,0.24498657851956793,1.1778148347214351e-06,0.2350160200146601,3.2286759952709184e-06,0.1558142458868796,0.0021979595458496257,-0.07128588231554185
features.16.conv.1.0,features.16,960,0.3490793206996137,6.806426242993369e-29,0.30091442955737535,1.525612360066134e-21,0.4069155596753934,1.3886562193165013e-39,0.24867982046597426,5.360019962265597e-15,0.22983954307000512,5.646333823457047e-13,0.2023701594312268,2.489670233413225e-10,0.3016519523633729,1.2042765617338848e-21,0.15833638647884213,8.19704192129859e-07,0.036561931800187214
