layer,block,channel,baseline_eo,pruned_eo,delta_eo,delta_eo_abs,baseline_acc,pruned_acc,delta_acc,delta_acc_abs,phi,perf
features.1.conv.1,features.1,0,0.22893262511892457,0.32203103979950065,0.09309841468057609,0.09309841468057609,0.827492596248766,0.7766535044422508,-0.050839091806515246,0.050839091806515246,9.177610849064877e-08,2.1083210413053166e-06
features.1.conv.1,features.1,1,0.22893262511892457,0.24462151765283063,0.015688892533906068,0.015688892533906068,0.827492596248766,0.822507403751234,-0.004985192497532043,0.004985192497532043,3.8280109748711766e-08,6.311883566922916e-07
features.1.conv.1,features.1,2,0.22893262511892457,0.27223260634955304,0.043299981230628476,0.043299981230628476,0.827492596248766,0.7725567620927937,-0.05493583415597236,0.05493583415597236,4.462062364041231e-08,2.632878704389441e-06
features.1.conv.1,features.1,3,0.22893262511892457,0.3204616027086284,0.09152897758970382,0.09152897758970382,0.827492596248766,0.8002467917077987,-0.027245804540967367,0.027245804540967367,1.769597872680606e-07,2.6354932742833626e-06
features.1.conv.1,features.1,4,0.22893262511892457,0.2969730051688134,0.06804038004988885,0.06804038004988885,0.827492596248766,0.8232971372161896,-0.004195459032576454,0.004195459032576454,2.6799824581758006e-08,1.2020501571896602e-06
features.1.conv.1,features.1,5,0.22893262511892457,0.25605613260954674,0.027123507490622173,0.027123507490622173,0.827492596248766,0.8213721618953603,-0.0061204343534057015,0.0061204343534057015,8.618192737230856e-08,3.507168912619818e-06
features.1.conv.1,features.1,6,0.22893262511892457,0.25965559713616454,0.030722972017239975,0.030722972017239975,0.827492596248766,0.8120434353405726,-0.015449160908193482,0.015449160908193482,9.632163511241745e-08,1.1745430583687266e-06
features.1.conv.1,features.1,7,0.22893262511892457,0.2913053620261714,0.062372736907246845,0.062372736907246845,0.827492596248766,0.8139190523198421,-0.013573543928923959,0.013573543928923959,7.404000967881076e-08,2.2245687887334498e-06
features.1.conv.1,features.1,8,0.22893262511892457,0.24678529851660677,0.017852673397682206,0.017852673397682206,0.827492596248766,0.7407699901283317,-0.08672260612043436,0.08672260612043436,2.8327743706313413e-08,8.49906655275845e-07
features.1.conv.1,features.1,9,0.22893262511892457,0.2811703860024601,0.05223776088353552,0.05223776088353552,0.827492596248766,0.8101184600197433,-0.01737413622902273,0.01737413622902273,7.990488626319349e-08,3.856781859212788e-06
features.1.conv.1,features.1,10,0.22893262511892457,0.3087006330033493,0.07976800788442476,0.07976800788442476,0.827492596248766,0.8150542941757157,-0.0124383020730503,0.0124383020730503,1.5184775747911774e-07,2.348578163946513e-06
features.1.conv.1,features.1,11,0.22893262511892457,0.2829664717379757,0.05403384661905111,0.05403384661905111,0.827492596248766,0.8159921026653505,-0.011500493583415539,0.011500493583415539,8.035960519237052e-08,2.55969735007966e-06
features.1.conv.1,features.1,12,0.22893262511892457,0.2489213327741739,0.01998870765524932,0.01998870765524932,0.827492596248766,0.8122408687068114,-0.015251727541954585,0.015251727541954585,5.0849639166017375e-08,1.2124830846005352e-06
features.1.conv.1,features.1,13,0.22893262511892457,0.21743144725258712,-0.011501177866337448,0.011501177866337448,0.827492596248766,0.8228529121421521,-0.004639684106613973,0.004639684106613973,1.1606518768303432e-07,4.013330453744857e-06
features.1.conv.1,features.1,14,0.22893262511892457,0.25949880598466585,0.030566180865741283,0.030566180865741283,0.827492596248766,0.8073543928923989,-0.02013820335636718,0.02013820335636718,7.092694431776182e-08,2.254134187751333e-06
features.1.conv.1,features.1,15,0.22893262511892457,0.264966695649581,0.03603407053065641,0.03603407053065641,0.827492596248766,0.7734945705824284,-0.0539980256663376,0.0539980256663376,6.342603597886409e-08,2.0337779460533056e-06
