================================================================================
Channel Pruning Log
  iteration  : 15
  alpha      : 0.3000
  timestamp  : 2026-05-22 10:47:45
  remove_target  : 40607
  accum_removed  : 40871
  selected_channels : 143
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 875502
  model_sparsity : 61.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       86    89.6%
  features.3                144          4      129    89.6%
  features.4                144          0      129    89.6%
  features.5                192          4      152    79.2%
  features.6                192          0      172    89.6%
  features.7                192          0      172    89.6%
  features.8                384         12      109    28.4%
features.15                      268    -0.161130 1.616894e-07 5.549271e-08      329
features.16                      230    -0.161103 3.968703e-07 5.207598e-08      329
features.11                      332    -0.161007 2.793994e-07 1.937410e-07      169
features.11                       30    -0.160123 2.712945e-07 1.045604e-07      169
features.15                      481    -0.160095 1.596882e-07 2.739267e-08      329
features.15                      648    -0.159936 1.627991e-07 1.215814e-07      329
features.11                      316    -0.159928 2.723808e-07 1.234243e-07      169
features.16                      916    -0.159633 3.882817e-07 8.337120e-09      329
features.16                      379    -0.158863 3.966194e-07 9.723190e-08      329
features.11                      344    -0.158798 2.688742e-07 1.013483e-07      169
features.8                       327    -0.158631 1.725148e-07 5.033202e-07      137
features.15                      958    -0.158552 1.629592e-07 1.657398e-07      329
features.16                      909    -0.158491 3.865708e-07 1.756430e-08      329
features.16                      786    -0.158468 3.851489e-07 5.682770e-09      329
features.15                      574    -0.158326 1.738803e-07 4.868915e-07      329
features.15                      465    -0.157536 1.608332e-07 1.335179e-07      329
features.16                       20    -0.157524 3.825169e-07 2.705055e-09      329
features.11                      205    -0.157446 2.655568e-07 8.669279e-08      169
features.16                      105    -0.156927 3.820803e-07 1.151827e-08      329
features.15                      938    -0.156802 1.617226e-07 1.801166e-07      329
features.16                      856    -0.156766 3.873257e-07 6.061531e-08      329
features.15                      224    -0.156463 1.587368e-07 1.037453e-07      329
features.15                      348    -0.156364 1.586323e-07 1.035700e-07      329
features.15                      738    -0.156252 1.787243e-07 6.857331e-07      329
features.11                       39    -0.156222 2.695310e-07 1.669870e-07      169
features.15                      461    -0.156056 1.568131e-07 5.994126e-08      329
