================================================================================
Channel Pruning Log
  iteration  : 19
  alpha      : 0.3000
  timestamp  : 2026-05-22 15:38:47
  remove_target  : 26576
  accum_removed  : 26872
  selected_channels : 120
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 749188
  model_sparsity : 67.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       86    89.6%
  features.3                144          0      129    89.6%
  features.4                144          0      129    89.6%
  features.5                192          0      172    89.6%
  features.6                192          0      172    89.6%
  features.7                192          0      172    89.6%
  features.8                384         54      263    68.5%
features.8                       235    -0.059276 7.441140e-08 1.128752e-07      137
features.8                         6    -0.058690 7.438189e-08 1.556304e-07      137
features.16                      662    -0.058690 3.822923e-07 2.684942e-07      329
features.16                      879    -0.058678 4.571269e-07 7.681418e-07      329
features.16                      211    -0.058649 3.437966e-07 1.327640e-08      329
features.16                      800    -0.058194 3.622148e-07 1.538298e-07      329
features.8                        30    -0.058067 8.217317e-08 6.868660e-07      137
features.11                       56    -0.057379 2.215122e-07 1.585388e-06      169
features.16                      923    -0.056790 3.446599e-07 9.129609e-08      329
features.16                      251    -0.056384 3.504531e-07 1.457234e-07      329
features.16                      682    -0.056314 3.376904e-07 6.333602e-08      329
features.16                      926    -0.056181 3.465198e-07 1.274030e-07      329
features.16                      644    -0.055937 3.320509e-07 4.036371e-08      329
features.8                         5    -0.055768 7.087674e-08 1.601754e-07      137
features.8                       299    -0.055611 6.948758e-08 8.587526e-08      137
features.16                      912    -0.055339 3.283311e-07 3.879803e-08      329
features.8                       323    -0.055239 6.849274e-08 5.237123e-08      137
features.16                       43    -0.055204 3.249035e-07 2.117329e-08      329
features.16                      204    -0.055161 3.284314e-07 4.639121e-08      329
features.8                       249    -0.055053 7.134236e-08 2.434564e-07      137
features.8                         2    -0.054945 6.958047e-08 1.422314e-07      137
features.16                      769    -0.054919 3.808624e-07 4.055439e-07      329
features.8                        32    -0.054589 6.758097e-08 4.520918e-08      137
features.8                       282    -0.054376 7.515707e-08 5.318288e-07      137
features.8                       164    -0.053925 6.801663e-08 1.226934e-07      137
features.8                       332    -0.053918 6.833342e-08 1.429315e-07      137
features.16                      500    -0.052951 3.270554e-07 1.231333e-07      329
features.16                      407    -0.052224 3.054940e-07 7.556677e-09      329
features.8                       195    -0.052128 6.567372e-08 1.139010e-07      137
features.8                        31    -0.051850 6.604560e-08 1.581283e-07      137
features.16                      534    -0.051703 3.600689e-07 3.918791e-07      329
features.8                       105    -0.051663 6.899608e-08 3.555558e-07      137
features.16                      704    -0.051289 3.125474e-07 9.097355e-08      329
features.16                      598    -0.050978 3.115273e-07 9.625369e-08      329
features.16                      957    -0.050401 3.228630e-07 1.943037e-07      329
features.16                      440    -0.050204 3.611081e-07 4.570888e-07      329
features.8                       151    -0.050163 6.234383e-08 5.658483e-08      137
features.16                      823    -0.050108 2.926992e-07 4.453187e-09      329
features.8                        34    -0.049354 6.524027e-08 2.979595e-07      137
features.16                      285    -0.049214 3.156166e-07 1.920942e-07      329
features.16                      858    -0.049206 2.966507e-07 6.591083e-08      329
features.8                       179    -0.049043 6.134006e-08 7.941156e-08      137
features.8                       336    -0.048974 6.105276e-08 6.679748e-08      137
features.8                       117    -0.048826 6.037133e-08 3.574734e-08      137
features.16                      599    -0.048773 2.967006e-07 8.305909e-08      329
features.16                       74    -0.048712 2.930288e-07 6.092477e-08      329
