================================================================================
Channel Pruning Log
  iteration  : 15
  alpha      : 0.3000
  timestamp  : 2026-05-19 05:47:26
  remove_target  : 40552
  accum_removed  : 40810
  selected_channels : 122
  gamma             : 0.0500
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 875011
  model_sparsity : 61.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       86    89.6%
  features.3                144          0      129    89.6%
  features.4                144          0      129    89.6%
  features.5                192          0      172    89.6%
  features.6                192          0      172    89.6%
  features.7                192          0      172    89.6%
  features.8                384         15      278    72.4%
features.17                      223    -0.066178 5.651372e-07 6.698170e-09      489
features.13                      524    -0.066013 3.620065e-08 9.144158e-08      201
features.16                      916    -0.066002 2.663795e-07 3.464990e-09      329
features.15                      102    -0.065947 1.800165e-07 7.171213e-09      329
features.15                      257    -0.065734 1.796180e-07 9.067269e-09      329
features.13                       55    -0.065486 3.878392e-08 3.186703e-07      201
features.8                        22    -0.065317 7.526945e-08 3.533282e-07      137
features.16                      393    -0.065292 2.656628e-07 1.594953e-08      329
features.17                      810    -0.065222 5.523923e-07 4.920154e-09      489
features.15                       74    -0.065209 1.859034e-07 9.059141e-08      329
features.17                      431    -0.064865 5.572567e-07 7.784721e-09      489
features.15                      677    -0.064692 1.860793e-07 1.073093e-07      329
features.17                      266    -0.064604 5.680819e-07 1.254635e-08      489
features.17                      621    -0.064600 5.774243e-07 1.598521e-08      489
features.17                      310    -0.064331 5.869890e-07 2.030920e-08      489
features.16                      784    -0.064260 2.754919e-07 9.747281e-08      329
features.16                      945    -0.064140 2.735611e-07 8.901313e-08      329
features.8                         3    -0.064072 8.501999e-08 6.403277e-07      137
features.16                      139    -0.063631 2.566423e-07 2.354452e-09      329
features.17                      510    -0.063510 5.343749e-07 3.500439e-09      489
features.8                        29    -0.063450 6.294763e-08 7.614938e-08      137
features.17                      334    -0.063338 5.321984e-07 3.223509e-09      489
features.15                      322    -0.063311 1.728373e-07 7.042459e-09      329
features.15                       20    -0.063128 1.788557e-07 7.591601e-08      329
features.17                      437    -0.063117 5.760849e-07 1.998712e-08      489
features.16                      169    -0.062862 2.552281e-07 1.216172e-08      329
features.15                      601    -0.062423 1.718608e-07 2.225774e-08      329
features.17                      157    -0.062267 6.263568e-07 4.100082e-08      489
features.17                      426    -0.062240 5.784354e-07 2.350977e-08      489
features.15                      276    -0.062143 1.733007e-07 4.551377e-08      329
features.15                      654    -0.062132 1.729757e-07 4.238627e-08      329
features.16                      919    -0.062125 2.630947e-07 7.532405e-08      329
features.17                      355    -0.062109 6.134680e-07 3.675441e-08      489
features.13                      175    -0.062079 3.312373e-08 1.298162e-08      201
features.16                      642    -0.061925 2.599278e-07 6.155444e-08      329
features.16                      427    -0.061866 2.494404e-07 1.808425e-09      329
features.13                       27    -0.061852 3.456339e-08 1.368108e-07      201
features.15                      564    -0.061795 1.742840e-07 6.589958e-08      329
features.16                      619    -0.061635 2.502582e-07 1.200059e-08      329
features.15                       66    -0.061616 1.751826e-07 8.055565e-08      329
features.16                      316    -0.061489 2.572166e-07 5.598709e-08      329
features.17                      245    -0.061400 6.427580e-07 4.964429e-08      489
features.17                      587    -0.061335 5.935480e-07 3.179305e-08      489
features.8                       134    -0.061291 6.324678e-08 1.376588e-07      137
features.16                      734    -0.061141 2.468144e-07 3.502193e-09      329
features.17                       18    -0.061119 5.601981e-07 2.021792e-08      489
features.13                      373    -0.060837 3.339859e-08 8.714194e-08      201
features.15                      233    -0.060768 1.684988e-07 3.429360e-08      329
features.15                      927    -0.060746 1.654003e-07 2.173445e-09      329
