layer,channels,phi_deo_spearman,phi_deo_spearman_p,phi_deo_pearson,phi_deo_pearson_p,perf_deo_spearman,perf_deo_spearman_p,perf_deo_pearson,perf_deo_pearson_p,phi_perf_spearman,phi_perf_spearman_p,corr_group,phi_perf_rho
features.1.conv.1,16,0.6029411764705882,0.013424125397891343,0.7037884149042555,0.0023456054900145846,0.4205882352941176,0.10476751392918707,0.3229237338706042,0.2224902657181395,0.5735294117647058,0.020191038046523092,high,0.5735294117647058
features.2.conv.1.0,96,0.2277807921866522,0.02561634453164349,0.38603285080779026,0.00010254657598121177,0.11333423765599566,0.2715741308311984,-0.03975116718845971,0.7005854049341854,-0.5132257189365166,8.952190064098674e-08,high,-0.5132257189365166
features.3.conv.1.0,144,0.09735953701470944,0.24568570266042983,0.34077953568483527,2.921288418639553e-05,0.3383329314363797,3.359768733105821e-05,0.6192135441306021,1.3105289619795148e-16,0.17597058114299494,0.03488118729879139,medium,0.17597058114299494
features.6.conv.1.0,192,0.2782482936177335,9.314076967708704e-05,0.23955983799741812,0.0008180086632099006,0.1818991018683794,0.011566177123663436,0.01789472598802718,0.8054057594859826,-0.17056567560968997,0.0180128623200035,medium,-0.17056567560968997
features.10.conv.1.0,384,0.37263652884024434,4.284196046927996e-14,0.32787321447422185,4.4882700789260164e-11,0.12838796496741417,0.011798733344095477,0.024499785492992386,0.6322214571704692,-0.07128588231554185,0.16327763142233864,low,-0.07128588231554185
features.16.conv.1.0,960,0.5165857232789343,1.3215091221175472e-66,0.40966698949251,3.7915069789609095e-40,0.21576336258315149,1.4165071468658627e-11,0.08523674418020011,0.008233704066907096,0.036561931800187214,0.2577469141284855,low,0.036561931800187214
