iter,block,ch,status,score,phi_raw,perf_raw,phi_n,perf_n,weights,perf_rank_n,perf_max_n,phi_rank_n,phi_max_n,score_rank,score_rank_a0.3,score_rank_a0.5,score_rank_a0.7,score_rank_a0.9,score_max,score_max_a0.3,score_max_a0.5,score_max_a0.7,score_max_a0.9
63,features.1,0,active,-0.076923,0.0,0.0,0.1538,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,features.1,1,active,0.192308,2.73991e-09,0.001839612,0.2692,0.6538,25,0.6538461538461539,0.026045988227193183,0.2692307692307692,0.0026910063417513526,0.19230769230769232,0.0076923076923077205,0.19230769230769232,0.3769230769230769,0.5615384615384615,0.011677490942720916,0.0059300920289320075,0.011677490942720916,0.017424889856509824,0.02317228877029873
63,features.1,2,active,-0.173077,4.57365e-07,0.001171591,0.8846,0.5385,25,0.5384615384615384,0.016587870373255605,0.8846153846153846,0.44920165826436176,-0.17307692307692307,-0.4576923076923076,-0.17307692307692307,0.11153846153846142,0.3961538461538462,-0.21630689394555308,-0.3094647996730765,-0.21630689394555308,-0.12314898821802962,-0.029991082490506124
63,features.1,3,active,-0.115385,7.48452e-08,0.0003360375,0.6923,0.4615,25,0.46153846153846156,0.00475775803207167,0.6923076923076923,0.07350931521460499,-0.11538461538461536,-0.3461538461538461,-0.11538461538461536,0.11538461538461536,0.3461538461538462,-0.03437577859126666,-0.05002919324060199,-0.03437577859126666,-0.01872236394193133,-0.003068949292595995
63,features.1,4,active,0.326923,9.262493e-09,0.05741075,0.3077,0.9615,25,0.9615384615384616,0.8128451644228952,0.3076923076923077,0.009097170127276996,0.3269230769230769,0.07307692307692304,0.3269230769230769,0.5807692307692307,0.8346153846153846,0.40187399714780914,0.23748553023777466,0.40187399714780914,0.5662624640578435,0.730650930967878
63,features.1,5,active,-0.096154,6.511464e-07,0.003491036,0.9231,0.7308,25,0.7307692307692307,0.04942753284752849,0.9230769230769231,0.6395243244517386,-0.0961538461538462,-0.42692307692307696,-0.0961538461538462,0.2346153846153845,0.5653846153846154,-0.29504839580210507,-0.4328387672619584,-0.29504839580210507,-0.15725802434225167,-0.019467652882398205
63,features.1,6,active,0.019231,4.00695e-08,0.001398946,0.5385,0.5769,25,0.5769230769230769,0.01980685657979998,0.5384615384615384,0.03935431405075562,0.019230769230769218,-0.20384615384615382,0.019230769230769218,0.24230769230769225,0.46538461538461534,-0.009773728735477822,-0.02160596286158894,-0.009773728735477822,0.002058505390633295,0.013890739516744422
63,features.1,7,active,0.173077,1.598661e-08,0.004037328,0.4231,0.7692,25,0.7692307692307693,0.05716216112817126,0.4230769230769231,0.015701270805648943,0.1730769230769231,-0.06538461538461537,0.1730769230769231,0.4115384615384615,0.6500000000000001,0.020730445161261157,0.006157758774497117,0.020730445161261157,0.035303131548025196,0.04987581793478924
63,features.1,8,active,0.096154,1.395996e-07,0.01354994,0.7308,0.9231,25,0.9230769230769231,0.1918456596930081,0.7307692307692307,0.1371079374526726,0.0961538461538462,-0.23461538461538456,0.0961538461538462,0.42692307692307696,0.7576923076923078,0.027368861120167745,-0.03842185830896839,0.027368861120167745,0.09315958054930387,0.15895029997844004
63,features.1,9,active,-0.076923,0.0,0.0,0.1923,0.0385,25,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,-0.015384615384615385,0.0,0.015384615384615384,0.03076923076923077,0.0,0.0,0.0,0.0,0.0
63,features.1,10,active,-0.057692,2.069022e-08,8.596359e-05,0.4615,0.3462,25,0.34615384615384615,0.0012171080929605058,0.46153846153846156,0.020320927779463805,-0.05769230769230771,-0.21923076923076926,-0.05769230769230771,0.10384615384615378,0.2653846153846154,-0.00955190984325165,-0.013859517017736512,-0.00955190984325165,-0.005244302668766788,-0.0009366954942819248
63,features.1,11,protected,0.173077,6.402882e-08,0.07062938,0.6538,1.0,25,1.0,0.9999999999858415,0.6538461538461539,0.06288599285190238,0.17307692307692307,-0.1576923076923077,0.17307692307692307,0.5038461538461538,0.8346153846153846,0.4685570035669696,0.25597980499942075,0.4685570035669696,0.6811342021345183,0.8937114007020672
63,features.1,12,active,0.019231,1.697125e-07,0.004343778,0.7692,0.8077,25,0.8076923076923077,0.06150100708711444,0.7692307692307693,0.16668336323984234,0.019230769230769218,-0.2961538461538461,0.019230769230769218,0.33461538461538454,0.6500000000000001,-0.05259117807636395,-0.0982280521417553,-0.05259117807636395,-0.006954304010972606,0.03868257005441876
63,features.1,13,active,-0.019231,1.113754e-08,2.271917e-05,0.3462,0.3077,25,0.3076923076923077,0.0003216674137544224,0.34615384615384615,0.01093875009453207,-0.019230769230769218,-0.14999999999999997,-0.019230769230769218,0.11153846153846153,0.24230769230769234,-0.005308541340388824,-0.007560624842046121,-0.005308541340388824,-0.003056457838731526,-0.0008043743370742264
63,features.1,14,active,0.0,0.0,0.0,0.0769,0.0769,25,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,-0.03076923076923077,0.0,0.030769230769230767,0.06153846153846154,0.0,0.0,0.0,0.0,0.0
63,features.1,15,active,0.0,0.0,0.0,0.1154,0.1154,25,0.11538461538461539,0.0,0.11538461538461539,0.0,0.0,-0.046153846153846156,0.0,0.04615384615384615,0.09230769230769231,0.0,0.0,0.0,0.0,0.0
