================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 68
  prune_ratio  : 0.821222 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:55:31
  t_score      : 61.2s (그룹별 점수 pass)
  t_greedy     : 3.9s (greedy 선택)
  total_params        : 2192320
  active_before/after : 739254 / 731091
  sparsity_all        : 66.65% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 82.12% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.439,0.561)                  -         0
  features.1.conv.0.0              Y       288        52        51        51        1      (0.467,0.533)      (0.467,0.533)       101
  features.1.conv.1                Y       512        93        91        91        2      (0.440,0.560)      (0.440,0.560)       175
  features.2.conv.0.0              Y      1536       281       274       274        7      (0.421,0.579)      (0.421,0.579)       542
  features.2.conv.1.0              Y       864       158       154       154        4      (0.418,0.582)      (0.418,0.582)       302
  features.2.conv.2                Y      2304       422       411       411       11      (0.438,0.562)      (0.438,0.562)       805
  features.3.conv.0.0              Y      3456       633       617       617       16      (0.425,0.575)      (0.425,0.575)      1202
  features.3.conv.1.0              Y      1296       237       231       231        6      (0.436,0.564)      (0.436,0.564)       456
  features.3.conv.2                Y      3456       633       617       617       16      (0.430,0.570)      (0.430,0.570)      1215
  features.4.conv.0.0              Y      3456       633       617       617       16      (0.420,0.580)      (0.420,0.580)      1211
  features.4.conv.1.0              Y      1296       237       231       231        6      (0.414,0.586)      (0.414,0.586)       448
  features.4.conv.2                Y      4608       844       823       823       21      (0.412,0.588)      (0.412,0.588)      1596
  features.5.conv.0.0              Y      6144      1126      1098      1098       28      (0.437,0.563)      (0.437,0.563)      2160
  features.5.conv.1.0              Y      1728       316       308       308        8      (0.423,0.577)      (0.423,0.577)       601
  features.5.conv.2                Y      6144      1126      1098      1098       28      (0.420,0.580)      (0.420,0.580)      2163
  features.6.conv.0.0              Y      6144      1126      1098      1098       28      (0.423,0.577)      (0.423,0.577)      2173
  features.6.conv.1.0              Y      1728       316       308       308        8      (0.422,0.578)      (0.422,0.578)       577
  features.6.conv.2                Y      6144      1126      1098      1098       28      (0.416,0.584)      (0.416,0.584)      2151
  features.7.conv.0.0              Y      6144      1126      1098      1098       28      (0.427,0.573)      (0.427,0.573)      2169
  features.7.conv.1.0              Y      1728       316       308       308        8      (0.422,0.578)      (0.422,0.578)       602
  features.7.conv.2                Y     12288      2253      2196      2196       57      (0.419,0.581)      (0.419,0.581)      4263
  features.8.conv.0.0              Y     24576      4506      4393      4393      113      (0.435,0.565)      (0.435,0.565)      8649
  features.8.conv.1.0              Y      3456       633       617       617       16      (0.423,0.577)      (0.423,0.577)      1199
  features.8.conv.2                Y     24576      4506      4393      4393      113      (0.422,0.578)      (0.422,0.578)      8651
  features.9.conv.0.0              Y     24576      4506      4393      4393      113      (0.434,0.566)      (0.434,0.566)      8648
  features.9.conv.1.0              Y      3456       633       617       617       16      (0.423,0.577)      (0.423,0.577)       619
  features.9.conv.2                Y     24576      4506      4393      4393      113      (0.424,0.576)      (0.424,0.576)      8658
  features.10.conv.0.0             Y     24576      4506      4393      4393      113      (0.429,0.571)      (0.429,0.571)      8634
  features.10.conv.1.0             Y      3456       633       617       617       16      (0.430,0.570)      (0.430,0.570)      1217
  features.10.conv.2               Y     24576      4506      4393      4393      113      (0.424,0.576)      (0.424,0.576)      8596
  features.11.conv.0.0             Y     24576      4506      4393      4393      113      (0.430,0.570)      (0.430,0.570)      8667
  features.11.conv.1.0             Y      3456       633       617       617       16      (0.431,0.569)      (0.431,0.569)      1210
  features.11.conv.2               Y     36864      6759      6590      6590      169      (0.431,0.569)      (0.431,0.569)     13001
  features.12.conv.0.0             Y     55296     10139      9885      9885      254      (0.432,0.568)      (0.432,0.568)     19405
  features.12.conv.1.0             Y      5184       950       926       926       24      (0.429,0.571)      (0.429,0.571)      1826
  features.12.conv.2               Y     55296     10139      9885      9885      254      (0.430,0.570)      (0.430,0.570)     19491
  features.13.conv.0.0             Y     55296     10139      9885      9885      254      (0.433,0.567)      (0.433,0.567)     19471
  features.13.conv.1.0             Y      5184       950       926       926       24      (0.431,0.569)      (0.431,0.569)      1831
  features.13.conv.2               Y     55296     10139      9885      9885      254      (0.434,0.566)      (0.434,0.566)     19516
  features.14.conv.0.0             Y     55296     10139      9885      9885      254      (0.431,0.569)      (0.431,0.569)     19552
  features.14.conv.1.0             Y      5184       950       926       926       24      (0.434,0.566)      (0.434,0.566)      1826
  features.14.conv.2               Y     92160     16898     16476     16476      422      (0.437,0.563)      (0.437,0.563)     32668
  features.15.conv.0.0             Y    153600     28164     27460     27460      704      (0.434,0.566)      (0.434,0.566)     54453
  features.15.conv.1.0             Y      8640      1584      1544      1544       40      (0.434,0.566)      (0.434,0.566)      3056
  features.15.conv.2               Y    153600     28164     27460     27460      704      (0.437,0.563)      (0.437,0.563)     54303
  features.16.conv.0.0             Y    153600     28164     27460     27460      704      (0.433,0.567)      (0.433,0.567)     54332
  features.16.conv.1.0             Y      8640      1584      1544      1544       40      (0.447,0.553)      (0.447,0.553)      2981
  features.16.conv.2               Y    153600     28164     27460     27460      704      (0.437,0.563)      (0.437,0.563)     54099
  features.17.conv.0.0             Y    153600     28164     27460     27460      704      (0.438,0.562)      (0.438,0.562)     54441
  features.17.conv.1.0             Y      8640      1584      1544      1544       40      (0.438,0.562)      (0.438,0.562)      3046
  features.17.conv.2               Y    307200     56328     54920     54920     1408      (0.429,0.571)      (0.429,0.571)    109163
  features.18.0                    N    409600    409600    409600    409600        0      (0.435,0.565)                  -         0
