================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 17
  prune_ratio  : 0.349753 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 23:10:33
  t_score      : 61.9s (그룹별 점수 pass)
  t_greedy     : 10.2s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1599650 / 1569983
  sparsity_all        : 28.39% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 34.98% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.321,0.679)                  -         0
  features.1.conv.0.0              Y       288       192       187       187        5      (0.370,0.630)      (0.370,0.630)       317
  features.1.conv.1                Y       512       341       332       332        9      (0.397,0.603)      (0.397,0.603)       649
  features.2.conv.0.0              Y      1536      1024       998       998       26      (0.398,0.602)      (0.398,0.602)      1945
  features.2.conv.1.0              Y       864       576       561       561       15      (0.416,0.584)      (0.416,0.584)      1091
  features.2.conv.2                Y      2304      1536      1498      1498       38      (0.402,0.598)      (0.402,0.598)      2940
  features.3.conv.0.0              Y      3456      2304      2247      2247       57      (0.399,0.601)      (0.399,0.601)      4412
  features.3.conv.1.0              Y      1296       864       842       842       22      (0.382,0.618)      (0.382,0.618)      1632
  features.3.conv.2                Y      3456      2304      2247      2247       57      (0.391,0.609)      (0.391,0.609)      4405
  features.4.conv.0.0              Y      3456      2304      2247      2247       57      (0.411,0.589)      (0.411,0.589)      4435
  features.4.conv.1.0              Y      1296       864       842       842       22      (0.397,0.603)      (0.397,0.603)      1629
  features.4.conv.2                Y      4608      3073      2996      2996       77      (0.412,0.588)      (0.412,0.588)      5887
  features.5.conv.0.0              Y      6144      4097      3995      3995      102      (0.410,0.590)      (0.410,0.590)      7833
