================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 75
  prune_ratio  : 0.850257 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 02:17:52
  t_score      : 60.9s (그룹별 점수 pass)
  t_greedy     : 3.6s (greedy 선택)
  total_params        : 2192320
  active_before/after : 686267 / 679446
  sparsity_all        : 69.01% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 85.03% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.419,0.581)                  -         0
  features.1.conv.0.0              Y       288        44        43        43        1      (0.393,0.607)      (0.393,0.607)        81
  features.1.conv.1                Y       512        78        76        76        2      (0.373,0.627)      (0.373,0.627)       132
  features.2.conv.0.0              Y      1536       235       230       230        5      (0.426,0.574)      (0.426,0.574)       430
  features.2.conv.1.0              Y       864       132       129       129        3      (0.409,0.591)      (0.409,0.591)       197
  features.2.conv.2                Y      2304       353       345       345        8      (0.418,0.582)      (0.418,0.582)       673
  features.3.conv.0.0              Y      3456       530       517       517       13      (0.425,0.575)      (0.425,0.575)      1025
  features.3.conv.1.0              Y      1296       199       194       194        5      (0.417,0.583)      (0.417,0.583)       370
  features.3.conv.2                Y      3456       530       517       517       13      (0.409,0.591)      (0.409,0.591)      1030
  features.4.conv.0.0              Y      3456       530       517       517       13      (0.424,0.576)      (0.424,0.576)      1020
  features.4.conv.1.0              Y      1296       199       194       194        5      (0.414,0.586)      (0.414,0.586)       377
  features.4.conv.2                Y      4608       707       690       690       17      (0.418,0.582)      (0.418,0.582)      1370
  features.5.conv.0.0              Y      6144       943       920       920       23      (0.425,0.575)      (0.425,0.575)      1808
  features.5.conv.1.0              Y      1728       265       258       258        7      (0.414,0.586)      (0.414,0.586)       510
  features.5.conv.2                Y      6144       943       920       920       23      (0.418,0.582)      (0.418,0.582)      1813
  features.6.conv.0.0              Y      6144       943       920       920       23      (0.421,0.579)      (0.421,0.579)      1805
  features.6.conv.1.0              Y      1728       265       258       258        7      (0.419,0.581)      (0.419,0.581)       506
  features.6.conv.2                Y      6144       943       920       920       23      (0.414,0.586)      (0.414,0.586)      1813
  features.7.conv.0.0              Y      6144       943       920       920       23      (0.425,0.575)      (0.425,0.575)      1802
  features.7.conv.1.0              Y      1728       265       258       258        7      (0.417,0.583)      (0.417,0.583)       513
