================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 6
  prune_ratio  : 0.140932 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 22:34:11
  t_score      : 62.1s (그룹별 점수 pass)
  t_greedy     : 12.3s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1980732 / 1941536
  sparsity_all        : 11.44% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 14.09% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.370,0.630)                  -         0
  features.1.conv.0.0              Y       288       253       247       247        6      (0.405,0.595)      (0.405,0.595)       451
  features.1.conv.1                Y       512       451       439       439       12      (0.404,0.596)      (0.404,0.596)       825
  features.2.conv.0.0              Y      1536      1353      1319      1319       34      (0.409,0.591)      (0.409,0.591)      2571
  features.2.conv.1.0              Y       864       761       742       742       19      (0.415,0.585)      (0.415,0.585)      1467
  features.2.conv.2                Y      2304      2030      1979      1979       51      (0.400,0.600)      (0.400,0.600)      3905
  features.3.conv.0.0              Y      3456      3045      2968      2968       77      (0.417,0.583)      (0.417,0.583)      5877
  features.3.conv.1.0              Y      1296      1141      1113      1113       28      (0.417,0.583)      (0.417,0.583)      2203
  features.3.conv.2                Y      3456      3045      2968      2968       77      (0.418,0.582)      (0.418,0.582)      5884
  features.4.conv.0.0              Y      3456      3045      2968      2968       77      (0.428,0.572)      (0.428,0.572)      5885
  features.4.conv.1.0              Y      1296      1141      1113      1113       28      (0.418,0.582)      (0.418,0.582)      2190
  features.4.conv.2                Y      4608      4060      3958      3958      102      (0.428,0.572)      (0.428,0.572)      7861
  features.5.conv.0.0              Y      6144      5413      5278      5278      135      (0.433,0.567)      (0.433,0.567)     10454
  features.5.conv.1.0              Y      1728      1522      1484      1484       38      (0.428,0.572)      (0.428,0.572)      2902
  features.5.conv.2                Y      6144      5413      5278      5278      135      (0.423,0.577)      (0.423,0.577)     10486
  features.6.conv.0.0              Y      6144      5413      5278      5278      135      (0.430,0.570)      (0.430,0.570)     10436
  features.6.conv.1.0              Y      1728      1522      1484      1484       38      (0.394,0.606)      (0.394,0.606)      1486
  features.6.conv.2                Y      6144      5413      5278      5278      135      (0.421,0.579)      (0.421,0.579)     10472
  features.7.conv.0.0              Y      6144      5413      5278      5278      135      (0.424,0.576)      (0.424,0.576)     10471
  features.7.conv.1.0              Y      1728      1522      1484      1484       38      (0.430,0.570)      (0.430,0.570)      2895
  features.7.conv.2                Y     12288     10826     10556     10556      270      (0.431,0.569)      (0.431,0.569)     20880
  features.8.conv.0.0              Y     24576     21653     21112     21112      541      (0.430,0.570)      (0.430,0.570)     41861
  features.8.conv.1.0              Y      3456      3045      2968      2968       77      (0.446,0.554)      (0.446,0.554)      5842
  features.8.conv.2                Y     24576     21653     21112     21112      541      (0.429,0.571)      (0.429,0.571)     41717
  features.9.conv.0.0              Y     24576     21653     21112     21112      541      (0.426,0.574)      (0.426,0.574)     41901
  features.9.conv.1.0              Y      3456      3045      2968      2968       77      (0.441,0.559)      (0.441,0.559)      5861
  features.9.conv.2                Y     24576     21653     21112     21112      541      (0.430,0.570)      (0.430,0.570)     41768
  features.10.conv.0.0             Y     24576     21653     21112     21112      541      (0.427,0.573)      (0.427,0.573)     41848
  features.10.conv.1.0             Y      3456      3045      2968      2968       77      (0.434,0.566)      (0.434,0.566)      5885
  features.10.conv.2               Y     24576     21653     21112     21112      541      (0.433,0.567)      (0.433,0.567)     41796
  features.11.conv.0.0             Y     24576     21653     21112     21112      541      (0.426,0.574)      (0.426,0.574)     41809
  features.11.conv.1.0             Y      3456      3045      2968      2968       77      (0.434,0.566)      (0.434,0.566)      5881
  features.11.conv.2               Y     36864     32480     31668     31668      812      (0.433,0.567)      (0.433,0.567)     62681
  features.12.conv.0.0             Y     55296     48721     47503     47503     1218      (0.421,0.579)      (0.421,0.579)     94303
  features.12.conv.1.0             Y      5184      4567      4453      4453      114      (0.426,0.574)      (0.426,0.574)      8758
  features.12.conv.2               Y     55296     48721     47503     47503     1218      (0.439,0.561)      (0.439,0.561)     92296
  features.13.conv.0.0             Y     55296     48721     47503     47503     1218      (0.429,0.571)      (0.429,0.571)     94129
  features.13.conv.1.0             Y      5184      4567      4453      4453      114      (0.438,0.562)      (0.438,0.562)      8689
  features.13.conv.2               Y     55296     48721     47503     47503     1218      (0.444,0.556)      (0.444,0.556)     47503
  features.14.conv.0.0             Y     55296     48721     47503     47503     1218      (0.429,0.571)      (0.429,0.571)     93936
  features.14.conv.1.0             Y      5184      4567      4453      4453      114      (0.427,0.573)      (0.427,0.573)      8741
  features.14.conv.2               Y     92160     81201     79171     79171     2030      (0.435,0.565)      (0.435,0.565)    155236
  features.15.conv.0.0             Y    153600    135336    131952    131952     3384      (0.414,0.586)      (0.414,0.586)    261031
  features.15.conv.1.0             Y      8640      7612      7422      7422      190      (0.437,0.563)      (0.437,0.563)      7468
  features.15.conv.2               Y    153600    135336    131952    131952     3384      (0.437,0.563)      (0.437,0.563)    131952
  features.16.conv.0.0             Y    153600    135336    131952    131952     3384      (0.420,0.580)      (0.420,0.580)    260505
  features.16.conv.1.0             Y      8640      7612      7422      7422      190      (0.453,0.547)      (0.453,0.547)      7422
  features.16.conv.2               Y    153600    135336    131952    131952     3384      (0.448,0.552)      (0.448,0.552)    131952
  features.17.conv.0.0             Y    153600    135336    131952    131952     3384      (0.429,0.571)      (0.429,0.571)    259986
  features.17.conv.1.0             Y      8640      7612      7422      7422      190      (0.440,0.560)      (0.440,0.560)     14447
  features.17.conv.2               Y    307200    270672    263905    263905     6767      (0.458,0.542)      (0.458,0.542)    263905
  features.18.0                    N    409600    409600    409600    409600        0      (0.392,0.608)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.441,0.559)                  -         0
