================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 82
  prune_ratio  : 0.874577 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 02:39:57
  t_score      : 61.4s (그룹별 점수 pass)
  t_greedy     : 3.3s (greedy 선택)
  total_params        : 2192320
  active_before/after : 641891 / 636168
  sparsity_all        : 70.98% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 87.46% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.424,0.576)                  -         0
  features.1.conv.0.0              Y       288        37        36        36        1      (0.442,0.558)      (0.442,0.558)        64
  features.1.conv.1                Y       512        65        64        64        1      (0.423,0.577)      (0.423,0.577)       108
  features.2.conv.0.0              Y      1536       197       192       192        5      (0.438,0.562)      (0.438,0.562)       378
  features.2.conv.1.0              Y       864       111       108       108        3      (0.430,0.570)      (0.430,0.570)       182
  features.2.conv.2                Y      2304       296       288       288        8      (0.435,0.565)      (0.435,0.565)       567
  features.3.conv.0.0              Y      3456       444       433       433       11      (0.433,0.567)      (0.433,0.567)       859
  features.3.conv.1.0              Y      1296       166       162       162        4      (0.424,0.576)      (0.424,0.576)       268
  features.3.conv.2                Y      3456       444       433       433       11      (0.423,0.577)      (0.423,0.577)       851
  features.4.conv.0.0              Y      3456       444       433       433       11      (0.432,0.568)      (0.432,0.568)       854
  features.4.conv.1.0              Y      1296       166       162       162        4      (0.431,0.569)      (0.431,0.569)       162
  features.4.conv.2                Y      4608       592       577       577       15      (0.413,0.587)      (0.413,0.587)      1099
  features.5.conv.0.0              Y      6144       790       770       770       20      (0.437,0.563)      (0.437,0.563)      1520
  features.5.conv.1.0              Y      1728       222       216       216        6      (0.428,0.572)      (0.428,0.572)       416
  features.5.conv.2                Y      6144       790       770       770       20      (0.421,0.579)      (0.421,0.579)      1483
  features.6.conv.0.0              Y      6144       790       770       770       20      (0.431,0.569)      (0.431,0.569)      1527
  features.6.conv.1.0              Y      1728       222       216       216        6      (0.423,0.577)      (0.423,0.577)       428
  features.6.conv.2                Y      6144       790       770       770       20      (0.419,0.581)      (0.419,0.581)      1498
  features.7.conv.0.0              Y      6144       790       770       770       20      (0.424,0.576)      (0.424,0.576)      1508
  features.7.conv.1.0              Y      1728       222       216       216        6      (0.418,0.582)      (0.418,0.582)       426
  features.7.conv.2                Y     12288      1580      1541      1541       39      (0.412,0.588)      (0.412,0.588)      3034
  features.8.conv.0.0              Y     24576      3161      3082      3082       79      (0.428,0.572)      (0.428,0.572)      6060
  features.8.conv.1.0              Y      3456       444       433       433       11      (0.407,0.593)      (0.407,0.593)       801
  features.8.conv.2                Y     24576      3161      3082      3082       79      (0.414,0.586)      (0.414,0.586)      5922
  features.9.conv.0.0              Y     24576      3161      3082      3082       79      (0.428,0.572)      (0.428,0.572)      6095
  features.9.conv.1.0              Y      3456       444       433       433       11      (0.413,0.587)      (0.413,0.587)       851
  features.9.conv.2                Y     24576      3161      3082      3082       79      (0.416,0.584)      (0.416,0.584)      3086
  features.10.conv.0.0             Y     24576      3161      3082      3082       79      (0.426,0.574)      (0.426,0.574)      6059
  features.10.conv.1.0             Y      3456       444       433       433       11      (0.416,0.584)      (0.416,0.584)       856
  features.10.conv.2               Y     24576      3161      3082      3082       79      (0.416,0.584)      (0.416,0.584)      4202
  features.11.conv.0.0             Y     24576      3161      3082      3082       79      (0.421,0.579)      (0.421,0.579)      6063
  features.11.conv.1.0             Y      3456       444       433       433       11      (0.414,0.586)      (0.414,0.586)       841
  features.11.conv.2               Y     36864      4742      4623      4623      119      (0.417,0.583)      (0.417,0.583)      8941
  features.12.conv.0.0             Y     55296      7113      6935      6935      178      (0.432,0.568)      (0.432,0.568)     13688
  features.12.conv.1.0             Y      5184       666       650       650       16      (0.423,0.577)      (0.423,0.577)      1290
  features.12.conv.2               Y     55296      7113      6935      6935      178      (0.419,0.581)      (0.419,0.581)     13737
  features.13.conv.0.0             Y     55296      7113      6935      6935      178      (0.431,0.569)      (0.431,0.569)     13778
  features.13.conv.1.0             Y      5184       666       650       650       16      (0.419,0.581)      (0.419,0.581)      1236
  features.13.conv.2               Y     55296      7113      6935      6935      178      (0.418,0.582)      (0.418,0.582)     13691
  features.14.conv.0.0             Y     55296      7113      6935      6935      178      (0.425,0.575)      (0.425,0.575)     13777
  features.14.conv.1.0             Y      5184       666       650       650       16      (0.417,0.583)      (0.417,0.583)      1263
  features.14.conv.2               Y     92160     11855     11559     11559      296      (0.415,0.585)      (0.415,0.585)     22844
  features.15.conv.0.0             Y    153600     19759     19265     19265      494      (0.429,0.571)      (0.429,0.571)     38051
  features.15.conv.1.0             Y      8640      1111      1083      1083       28      (0.417,0.583)      (0.417,0.583)      2003
  features.15.conv.2               Y    153600     19759     19265     19265      494      (0.417,0.583)      (0.417,0.583)     38073
  features.16.conv.0.0             Y    153600     19759     19265     19265      494      (0.424,0.576)      (0.424,0.576)     38045
  features.16.conv.1.0             Y      8640      1111      1083      1083       28      (0.416,0.584)      (0.416,0.584)      2139
  features.16.conv.2               Y    153600     19759     19265     19265      494      (0.417,0.583)      (0.417,0.583)     37760
  features.17.conv.0.0             Y    153600     19759     19265     19265      494      (0.417,0.583)      (0.417,0.583)     38274
  features.17.conv.1.0             Y      8640      1111      1083      1083       28      (0.415,0.585)      (0.415,0.585)      2148
  features.17.conv.2               Y    307200     39518     38530     38530      988      (0.410,0.590)      (0.410,0.590)     76282
  features.18.0                    N    409600    409600    409600    409600        0      (0.414,0.586)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.413,0.587)                  -         0
