================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 46
  prune_ratio  : 0.687959 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 00:44:57
  t_score      : 61.9s (그룹별 점수 pass)
  t_greedy     : 5.7s (greedy 선택)
  total_params        : 2192320
  active_before/after : 982460 / 968214
  sparsity_all        : 55.84% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 68.80% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.434,0.566)                  -         0
  features.1.conv.0.0              Y       288        92        89        89        3      (0.398,0.602)      (0.398,0.602)        91
  features.1.conv.1                Y       512       163       159       159        4      (0.419,0.581)      (0.419,0.581)       308
  features.2.conv.0.0              Y      1536       491       479       479       12      (0.450,0.550)      (0.450,0.550)       933
  features.2.conv.1.0              Y       864       276       269       269        7      (0.402,0.598)      (0.402,0.598)       271
  features.2.conv.2                Y      2304       737       718       718       19      (0.433,0.567)      (0.433,0.567)      1358
  features.3.conv.0.0              Y      3456      1106      1078      1078       28      (0.457,0.543)      (0.457,0.543)      2099
  features.3.conv.1.0              Y      1296       414       404       404       10      (0.413,0.587)      (0.413,0.587)       730
  features.3.conv.2                Y      3456      1106      1078      1078       28      (0.437,0.563)      (0.437,0.563)      2080
  features.4.conv.0.0              Y      3456      1106      1078      1078       28      (0.460,0.540)      (0.460,0.540)      2120
  features.4.conv.1.0              Y      1296       414       404       404       10      (0.465,0.535)      (0.465,0.535)       791
  features.4.conv.2                Y      4608      1474      1437      1437       37      (0.468,0.532)      (0.468,0.532)      2802
  features.5.conv.0.0              Y      6144      1966      1917      1917       49      (0.454,0.546)      (0.454,0.546)      3760
  features.5.conv.1.0              Y      1728       553       539       539       14      (0.462,0.538)      (0.462,0.538)      1003
  features.5.conv.2                Y      6144      1966      1917      1917       49      (0.465,0.535)      (0.465,0.535)      3754
  features.6.conv.0.0              Y      6144      1966      1917      1917       49      (0.459,0.541)      (0.459,0.541)      3750
  features.6.conv.1.0              Y      1728       553       539       539       14      (0.474,0.526)      (0.474,0.526)      1059
  features.6.conv.2                Y      6144      1966      1917      1917       49      (0.467,0.533)      (0.467,0.533)      3711
  features.7.conv.0.0              Y      6144      1966      1917      1917       49      (0.461,0.539)      (0.461,0.539)      3740
  features.7.conv.1.0              Y      1728       553       539       539       14      (0.462,0.538)      (0.462,0.538)      1050
  features.7.conv.2                Y     12288      3932      3834      3834       98      (0.463,0.537)      (0.463,0.537)      7536
  features.8.conv.0.0              Y     24576      7865      7668      7668      197      (0.455,0.545)      (0.455,0.545)     14986
  features.8.conv.1.0              Y      3456      1106      1078      1078       28      (0.462,0.538)      (0.462,0.538)      2091
  features.8.conv.2                Y     24576      7865      7668      7668      197      (0.465,0.535)      (0.465,0.535)     14999
  features.9.conv.0.0              Y     24576      7865      7668      7668      197      (0.449,0.551)      (0.449,0.551)     15048
  features.9.conv.1.0              Y      3456      1106      1078      1078       28      (0.470,0.530)      (0.470,0.530)      2078
  features.9.conv.2                Y     24576      7865      7668      7668      197      (0.463,0.537)      (0.463,0.537)     15050
  features.10.conv.0.0             Y     24576      7865      7668      7668      197      (0.453,0.547)      (0.453,0.547)     15004
  features.10.conv.1.0             Y      3456      1106      1078      1078       28      (0.463,0.537)      (0.463,0.537)      2106
  features.10.conv.2               Y     24576      7865      7668      7668      197      (0.465,0.535)      (0.465,0.535)     14882
  features.11.conv.0.0             Y     24576      7865      7668      7668      197      (0.454,0.546)      (0.454,0.546)     15013
  features.11.conv.1.0             Y      3456      1106      1078      1078       28      (0.458,0.542)      (0.458,0.542)      2114
  features.11.conv.2               Y     36864     11798     11503     11503      295      (0.461,0.539)      (0.461,0.539)     22517
  features.12.conv.0.0             Y     55296     17697     17254     17254      443      (0.454,0.546)      (0.454,0.546)     33914
  features.12.conv.1.0             Y      5184      1659      1617      1617       42      (0.454,0.546)      (0.454,0.546)      3173
  features.12.conv.2               Y     55296     17697     17254     17254      443      (0.464,0.536)      (0.464,0.536)     33786
  features.13.conv.0.0             Y     55296     17697     17254     17254      443      (0.454,0.546)      (0.454,0.546)     33843
  features.13.conv.1.0             Y      5184      1659      1617      1617       42      (0.460,0.540)      (0.460,0.540)      3151
  features.13.conv.2               Y     55296     17697     17254     17254      443      (0.466,0.534)      (0.466,0.534)     33558
  features.14.conv.0.0             Y     55296     17697     17254     17254      443      (0.453,0.547)      (0.453,0.547)     33841
  features.14.conv.1.0             Y      5184      1659      1617      1617       42      (0.466,0.534)      (0.466,0.534)      3143
  features.14.conv.2               Y     92160     29495     28757     28757      738      (0.464,0.536)      (0.464,0.536)     56075
  features.15.conv.0.0             Y    153600     49158     47929     47929     1229      (0.444,0.556)      (0.444,0.556)     94315
  features.15.conv.1.0             Y      8640      2765      2696      2696       69      (0.458,0.542)      (0.458,0.542)      5263
  features.15.conv.2               Y    153600     49158     47929     47929     1229      (0.459,0.541)      (0.459,0.541)     93593
  features.16.conv.0.0             Y    153600     49158     47929     47929     1229      (0.444,0.556)      (0.444,0.556)     94464
  features.16.conv.1.0             Y      8640      2765      2696      2696       69      (0.449,0.551)      (0.449,0.551)      5290
  features.16.conv.2               Y    153600     49158     47929     47929     1229      (0.465,0.535)      (0.465,0.535)     93520
  features.17.conv.0.0             Y    153600     49158     47929     47929     1229      (0.460,0.540)      (0.460,0.540)     94388
  features.17.conv.1.0             Y      8640      2765      2696      2696       69      (0.472,0.528)      (0.472,0.528)      5340
  features.17.conv.2               Y    307200     98317     95859     95859     2458      (0.474,0.526)      (0.474,0.526)    190226
  features.18.0                    N    409600    409600    409600    409600        0      (0.436,0.564)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.468,0.532)                  -         0
