================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 33
  prune_ratio  : 0.566337 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 00:02:48
  t_score      : 60.7s (그룹별 점수 pass)
  t_greedy     : 7.3s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1204394 / 1184611
  sparsity_all        : 45.97% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 56.64% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.418,0.582)                  -         0
  features.1.conv.0.0              Y       288       128       124       124        4      (0.477,0.523)      (0.477,0.523)       236
  features.1.conv.1                Y       512       227       222       222        5      (0.431,0.569)      (0.431,0.569)       439
  features.2.conv.0.0              Y      1536       683       666       666       17      (0.417,0.583)      (0.417,0.583)      1322
  features.2.conv.1.0              Y       864       384       374       374       10      (0.390,0.610)      (0.390,0.610)       711
  features.2.conv.2                Y      2304      1024       999       999       25      (0.425,0.575)      (0.425,0.575)      1945
  features.3.conv.0.0              Y      3456      1537      1498      1498       39      (0.433,0.567)      (0.433,0.567)      2927
  features.3.conv.1.0              Y      1296       576       562       562       14      (0.428,0.572)      (0.428,0.572)      1106
  features.3.conv.2                Y      3456      1537      1498      1498       39      (0.419,0.581)      (0.419,0.581)      2930
  features.4.conv.0.0              Y      3456      1537      1498      1498       39      (0.443,0.557)      (0.443,0.557)      2925
  features.4.conv.1.0              Y      1296       576       562       562       14      (0.441,0.559)      (0.441,0.559)      1091
  features.4.conv.2                Y      4608      2049      1998      1998       51      (0.442,0.558)      (0.442,0.558)      3899
  features.5.conv.0.0              Y      6144      2732      2664      2664       68      (0.427,0.573)      (0.427,0.573)      5193
  features.5.conv.1.0              Y      1728       768       749       749       19      (0.435,0.565)      (0.435,0.565)      1476
  features.5.conv.2                Y      6144      2732      2664      2664       68      (0.428,0.572)      (0.428,0.572)      5204
  features.6.conv.0.0              Y      6144      2732      2664      2664       68      (0.432,0.568)      (0.432,0.568)      5222
  features.6.conv.1.0              Y      1728       768       749       749       19      (0.412,0.588)      (0.412,0.588)       751
  features.6.conv.2                Y      6144      2732      2664      2664       68      (0.428,0.572)      (0.428,0.572)      5186
  features.7.conv.0.0              Y      6144      2732      2664      2664       68      (0.436,0.564)      (0.436,0.564)      5204
  features.7.conv.1.0              Y      1728       768       749       749       19      (0.444,0.556)      (0.444,0.556)      1451
  features.7.conv.2                Y     12288      5465      5328      5328      137      (0.441,0.559)      (0.441,0.559)     10401
