================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 61
  prune_ratio  : 0.786557 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:33:10
  t_score      : 61.2s (그룹별 점수 pass)
  t_greedy     : 4.3s (greedy 선택)
  total_params        : 2192320
  active_before/after : 802523 / 792773
  sparsity_all        : 63.84% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 78.66% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.457,0.543)                  -         0
  features.1.conv.0.0              Y       288        63        61        61        2      (0.473,0.527)      (0.473,0.527)       120
  features.1.conv.1                Y       512       112       109       109        3      (0.460,0.540)      (0.460,0.540)       121
  features.2.conv.0.0              Y      1536       336       327       327        9      (0.445,0.555)      (0.445,0.555)       640
  features.2.conv.1.0              Y       864       189       184       184        5      (0.450,0.550)      (0.450,0.550)       362
  features.2.conv.2                Y      2304       504       491       491       13      (0.454,0.546)      (0.454,0.546)       970
  features.3.conv.0.0              Y      3456       756       737       737       19      (0.453,0.547)      (0.453,0.547)      1441
  features.3.conv.1.0              Y      1296       283       276       276        7      (0.446,0.554)      (0.446,0.554)       532
  features.3.conv.2                Y      3456       756       737       737       19      (0.446,0.554)      (0.446,0.554)      1428
  features.4.conv.0.0              Y      3456       756       737       737       19      (0.457,0.543)      (0.457,0.543)      1448
  features.4.conv.1.0              Y      1296       283       276       276        7      (0.459,0.541)      (0.459,0.541)       545
  features.4.conv.2                Y      4608      1008       983       983       25      (0.460,0.540)      (0.460,0.540)       983
  features.5.conv.0.0              Y      6144      1345      1311      1311       34      (0.458,0.542)      (0.458,0.542)      2596
  features.5.conv.1.0              Y      1728       378       368       368       10      (0.453,0.547)      (0.453,0.547)       719
  features.5.conv.2                Y      6144      1345      1311      1311       34      (0.459,0.541)      (0.459,0.541)      1311
  features.6.conv.0.0              Y      6144      1345      1311      1311       34      (0.452,0.548)      (0.452,0.548)      2554
  features.6.conv.1.0              Y      1728       378       368       368       10      (0.463,0.537)      (0.463,0.537)       722
  features.6.conv.2                Y      6144      1345      1311      1311       34      (0.460,0.540)      (0.460,0.540)      1311
  features.7.conv.0.0              Y      6144      1345      1311      1311       34      (0.447,0.553)      (0.447,0.553)      2586
  features.7.conv.1.0              Y      1728       378       368       368       10      (0.459,0.541)      (0.459,0.541)       719
  features.7.conv.2                Y     12288      2690      2622      2622       68      (0.464,0.536)      (0.464,0.536)      5096
  features.8.conv.0.0              Y     24576      5380      5245      5245      135      (0.449,0.551)      (0.449,0.551)     10230
  features.8.conv.1.0              Y      3456       756       737       737       19      (0.462,0.538)      (0.462,0.538)      1425
  features.8.conv.2                Y     24576      5380      5245      5245      135      (0.463,0.537)      (0.463,0.537)     10158
  features.9.conv.0.0              Y     24576      5380      5245      5245      135      (0.445,0.555)      (0.445,0.555)     10184
  features.9.conv.1.0              Y      3456       756       737       737       19      (0.464,0.536)      (0.464,0.536)      1345
  features.9.conv.2                Y     24576      5380      5245      5245      135      (0.466,0.534)      (0.466,0.534)     10021
  features.10.conv.0.0             Y     24576      5380      5245      5245      135      (0.442,0.558)      (0.442,0.558)     10324
  features.10.conv.1.0             Y      3456       756       737       737       19      (0.463,0.537)      (0.463,0.537)      1421
  features.10.conv.2               Y     24576      5380      5245      5245      135      (0.467,0.533)      (0.467,0.533)      5245
  features.11.conv.0.0             Y     24576      5380      5245      5245      135      (0.448,0.552)      (0.448,0.552)     10204
  features.11.conv.1.0             Y      3456       756       737       737       19      (0.462,0.538)      (0.462,0.538)      1436
  features.11.conv.2               Y     36864      8070      7868      7868      202      (0.466,0.534)      (0.466,0.534)      7868
  features.12.conv.0.0             Y     55296     12105     11802     11802      303      (0.450,0.550)      (0.450,0.550)     23218
  features.12.conv.1.0             Y      5184      1134      1106      1106       28      (0.460,0.540)      (0.460,0.540)      2173
  features.12.conv.2               Y     55296     12105     11802     11802      303      (0.466,0.534)      (0.466,0.534)     23201
  features.13.conv.0.0             Y     55296     12105     11802     11802      303      (0.453,0.547)      (0.453,0.547)     22763
  features.13.conv.1.0             Y      5184      1134      1106      1106       28      (0.467,0.533)      (0.467,0.533)      1114
  features.13.conv.2               Y     55296     12105     11802     11802      303      (0.465,0.535)      (0.465,0.535)     23267
  features.14.conv.0.0             Y     55296     12105     11802     11802      303      (0.452,0.548)      (0.452,0.548)     22844
  features.14.conv.1.0             Y      5184      1134      1106      1106       28      (0.458,0.542)      (0.458,0.542)      2143
  features.14.conv.2               Y     92160     20175     19670     19670      505      (0.461,0.539)      (0.461,0.539)     19670
  features.15.conv.0.0             Y    153600     33625     32784     32784      841      (0.444,0.556)      (0.444,0.556)     64228
  features.15.conv.1.0             Y      8640      1891      1844      1844       47      (0.458,0.542)      (0.458,0.542)      3526
