================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 56
  prune_ratio  : 0.757753 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:17:10
  t_score      : 61.3s (그룹별 점수 pass)
  t_greedy     : 4.9s (greedy 선택)
  total_params        : 2192320
  active_before/after : 855084 / 844035
  sparsity_all        : 61.50% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 75.78% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.425,0.575)                  -         0
  features.1.conv.0.0              Y       288        71        69        69        2      (0.449,0.551)      (0.449,0.551)       129
  features.1.conv.1                Y       512       127       124       124        3      (0.436,0.564)      (0.436,0.564)       243
  features.2.conv.0.0              Y      1536       381       372       372        9      (0.433,0.567)      (0.433,0.567)       727
  features.2.conv.1.0              Y       864       214       209       209        5      (0.435,0.565)      (0.435,0.565)       405
  features.2.conv.2                Y      2304       572       558       558       14      (0.445,0.555)      (0.445,0.555)      1081
  features.3.conv.0.0              Y      3456       858       837       837       21      (0.452,0.548)      (0.452,0.548)      1640
  features.3.conv.1.0              Y      1296       322       313       313        9      (0.440,0.560)      (0.440,0.560)       619
  features.3.conv.2                Y      3456       858       837       837       21      (0.444,0.556)      (0.445,0.555)      1628
  features.4.conv.0.0              Y      3456       858       837       837       21      (0.446,0.554)      (0.446,0.554)      1643
  features.4.conv.1.0              Y      1296       322       313       313        9      (0.440,0.560)      (0.440,0.560)       612
  features.4.conv.2                Y      4608      1144      1116      1116       28      (0.438,0.562)      (0.438,0.562)      2204
  features.5.conv.0.0              Y      6144      1526      1488      1488       38      (0.452,0.548)      (0.452,0.548)      2910
  features.5.conv.1.0              Y      1728       429       418       418       11      (0.443,0.557)      (0.443,0.557)       826
  features.5.conv.2                Y      6144      1526      1488      1488       38      (0.443,0.557)      (0.443,0.557)      2907
  features.6.conv.0.0              Y      6144      1526      1488      1488       38      (0.443,0.557)      (0.443,0.557)      2911
  features.6.conv.1.0              Y      1728       429       418       418       11      (0.436,0.564)      (0.436,0.564)       826
  features.6.conv.2                Y      6144      1526      1488      1488       38      (0.436,0.564)      (0.436,0.564)      2925
  features.7.conv.0.0              Y      6144      1526      1488      1488       38      (0.446,0.554)      (0.446,0.554)      2900
  features.7.conv.1.0              Y      1728       429       418       418       11      (0.441,0.559)      (0.441,0.559)       820
  features.7.conv.2                Y     12288      3053      2976      2976       77      (0.443,0.557)      (0.443,0.557)      5861
  features.8.conv.0.0              Y     24576      6106      5953      5953      153      (0.448,0.552)      (0.448,0.552)     11718
  features.8.conv.1.0              Y      3456       858       837       837       21      (0.442,0.558)      (0.442,0.558)      1655
  features.8.conv.2                Y     24576      6106      5953      5953      153      (0.441,0.559)      (0.441,0.559)     11699
  features.9.conv.0.0              Y     24576      6106      5953      5953      153      (0.442,0.558)      (0.442,0.558)     11686
  features.9.conv.1.0              Y      3456       858       837       837       21      (0.442,0.558)      (0.442,0.558)      1638
  features.9.conv.2                Y     24576      6106      5953      5953      153      (0.441,0.559)      (0.441,0.559)     11718
  features.10.conv.0.0             Y     24576      6106      5953      5953      153      (0.442,0.558)      (0.442,0.558)     11610
  features.10.conv.1.0             Y      3456       858       837       837       21      (0.444,0.556)      (0.444,0.556)      1655
  features.10.conv.2               Y     24576      6106      5953      5953      153      (0.443,0.557)      (0.443,0.557)     11692
  features.11.conv.0.0             Y     24576      6106      5953      5953      153      (0.442,0.558)      (0.442,0.558)     11659
  features.11.conv.1.0             Y      3456       858       837       837       21      (0.440,0.560)      (0.440,0.560)      1638
  features.11.conv.2               Y     36864      9159      8930      8930      229      (0.440,0.560)      (0.440,0.560)     17618
  features.12.conv.0.0             Y     55296     13738     13395     13395      343      (0.441,0.559)      (0.441,0.559)     26370
  features.12.conv.1.0             Y      5184      1288      1255      1255       33      (0.439,0.561)      (0.439,0.561)      2484
  features.12.conv.2               Y     55296     13738     13395     13395      343      (0.440,0.560)      (0.440,0.560)     26468
  features.13.conv.0.0             Y     55296     13738     13395     13395      343      (0.438,0.562)      (0.438,0.562)     26366
  features.13.conv.1.0             Y      5184      1288      1255      1255       33      (0.440,0.560)      (0.440,0.560)      2470
  features.13.conv.2               Y     55296     13738     13395     13395      343      (0.440,0.560)      (0.440,0.560)     26456
  features.14.conv.0.0             Y     55296     13738     13395     13395      343      (0.431,0.569)      (0.431,0.569)     26461
  features.14.conv.1.0             Y      5184      1288      1255      1255       33      (0.431,0.569)      (0.431,0.569)      2457
  features.14.conv.2               Y     92160     22897     22325     22325      572      (0.433,0.567)      (0.433,0.567)     44144
  features.15.conv.0.0             Y    153600     38163     37209     37209      954      (0.426,0.574)      (0.426,0.574)     73543
  features.15.conv.1.0             Y      8640      2146      2093      2093       53      (0.429,0.571)      (0.429,0.571)      4139
  features.15.conv.2               Y    153600     38163     37209     37209      954      (0.428,0.572)      (0.428,0.572)     73632
  features.16.conv.0.0             Y    153600     38163     37209     37209      954      (0.419,0.581)      (0.419,0.581)     73365
  features.16.conv.1.0             Y      8640      2146      2093      2093       53      (0.423,0.577)      (0.423,0.577)      4125
  features.16.conv.2               Y    153600     38163     37209     37209      954      (0.427,0.573)      (0.427,0.573)     73796
  features.17.conv.0.0             Y    153600     38163     37209     37209      954      (0.431,0.569)      (0.431,0.569)     73795
  features.17.conv.1.0             Y      8640      2146      2093      2093       53      (0.431,0.569)      (0.431,0.569)      4083
  features.17.conv.2               Y    307200     76326     74418     74418     1908      (0.421,0.579)      (0.421,0.579)    144962
  features.18.0                    N    409600    409600    409600    409600        0      (0.425,0.575)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.424,0.576)                  -         0
