================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 7
  prune_ratio  : 0.162408 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 22:37:31
  t_score      : 62.1s (그룹별 점수 pass)
  t_greedy     : 12.5s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1941536 / 1903324
  sparsity_all        : 13.18% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 16.24% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.411,0.589)                  -         0
  features.1.conv.0.0              Y       288       247       241       241        6      (0.437,0.563)      (0.437,0.563)       461
  features.1.conv.1                Y       512       439       428       428       11      (0.450,0.550)      (0.450,0.550)       822
  features.2.conv.0.0              Y      1536      1319      1286      1286       33      (0.429,0.571)      (0.429,0.571)      2550
  features.2.conv.1.0              Y       864       742       723       723       19      (0.456,0.544)      (0.456,0.544)      1411
  features.2.conv.2                Y      2304      1979      1929      1929       50      (0.458,0.542)      (0.458,0.542)      3819
  features.3.conv.0.0              Y      3456      2968      2894      2894       74      (0.440,0.560)      (0.440,0.560)      5723
  features.3.conv.1.0              Y      1296      1113      1085      1085       28      (0.447,0.553)      (0.447,0.553)      2150
  features.3.conv.2                Y      3456      2968      2894      2894       74      (0.453,0.547)      (0.453,0.547)      5733
  features.4.conv.0.0              Y      3456      2968      2894      2894       74      (0.444,0.556)      (0.444,0.556)      5730
  features.4.conv.1.0              Y      1296      1113      1085      1085       28      (0.441,0.559)      (0.441,0.559)      2126
  features.4.conv.2                Y      4608      3958      3859      3859       99      (0.445,0.555)      (0.445,0.555)      7643
  features.5.conv.0.0              Y      6144      5278      5146      5146      132      (0.436,0.564)      (0.436,0.564)     10213
  features.5.conv.1.0              Y      1728      1484      1447      1447       37      (0.438,0.562)      (0.438,0.562)      2859
  features.5.conv.2                Y      6144      5278      5146      5146      132      (0.430,0.570)      (0.430,0.570)     10200
  features.6.conv.0.0              Y      6144      5278      5146      5146      132      (0.437,0.563)      (0.437,0.563)     10190
  features.6.conv.1.0              Y      1728      1484      1447      1447       37      (0.431,0.569)      (0.431,0.569)      2843
  features.6.conv.2                Y      6144      5278      5146      5146      132      (0.438,0.562)      (0.438,0.562)     10205
  features.7.conv.0.0              Y      6144      5278      5146      5146      132      (0.444,0.556)      (0.444,0.556)     10183
  features.7.conv.1.0              Y      1728      1484      1447      1447       37      (0.451,0.549)      (0.451,0.549)      2849
  features.7.conv.2                Y     12288     10556     10292     10292      264      (0.451,0.549)      (0.451,0.549)     20383
