================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 29
  prune_ratio  : 0.520119 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 23:49:49
  t_score      : 60.7s (그룹별 점수 pass)
  t_greedy     : 7.9s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1288727 / 1266849
  sparsity_all        : 42.21% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 52.01% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.476,0.524)                  -         0
  features.1.conv.0.0              Y       288       141       138       138        3      (0.421,0.579)      (0.421,0.579)       265
  features.1.conv.1                Y       512       251       245       245        6      (0.455,0.545)      (0.455,0.545)       484
  features.2.conv.0.0              Y      1536       755       737       737       18      (0.462,0.538)      (0.462,0.538)      1454
  features.2.conv.1.0              Y       864       425       414       414       11      (0.421,0.579)      (0.421,0.579)       803
  features.2.conv.2                Y      2304      1133      1105      1105       28      (0.448,0.552)      (0.448,0.552)      2168
  features.3.conv.0.0              Y      3456      1700      1658      1658       42      (0.457,0.543)      (0.457,0.543)      3243
  features.3.conv.1.0              Y      1296       637       621       621       16      (0.447,0.553)      (0.447,0.553)      1205
  features.3.conv.2                Y      3456      1700      1658      1658       42      (0.440,0.560)      (0.440,0.560)      3237
  features.4.conv.0.0              Y      3456      1700      1658      1658       42      (0.467,0.533)      (0.467,0.533)      3260
  features.4.conv.1.0              Y      1296       637       621       621       16      (0.457,0.543)      (0.457,0.543)      1172
  features.4.conv.2                Y      4608      2267      2211      2211       56      (0.473,0.527)      (0.473,0.527)      4332
  features.5.conv.0.0              Y      6144      3023      2948      2948       75      (0.462,0.538)      (0.462,0.538)      5780
  features.5.conv.1.0              Y      1728       850       829       829       21      (0.466,0.534)      (0.466,0.534)      1624
  features.5.conv.2                Y      6144      3023      2948      2948       75      (0.474,0.526)      (0.474,0.526)      5781
  features.6.conv.0.0              Y      6144      3023      2948      2948       75      (0.465,0.535)      (0.465,0.535)      5770
  features.6.conv.1.0              Y      1728       850       829       829       21      (0.451,0.549)      (0.451,0.549)      1626
  features.6.conv.2                Y      6144      3023      2948      2948       75      (0.463,0.537)      (0.463,0.537)      5784
  features.7.conv.0.0              Y      6144      3023      2948      2948       75      (0.463,0.537)      (0.463,0.537)      5789
  features.7.conv.1.0              Y      1728       850       829       829       21      (0.462,0.538)      (0.462,0.538)      1609
  features.7.conv.2                Y     12288      6047      5896      5896      151      (0.466,0.534)      (0.466,0.534)     11488
  features.8.conv.0.0              Y     24576     12095     11793     11793      302      (0.463,0.537)      (0.463,0.537)     23071
  features.8.conv.1.0              Y      3456      1700      1658      1658       42      (0.456,0.544)      (0.456,0.544)      3246
  features.8.conv.2                Y     24576     12095     11793     11793      302      (0.462,0.538)      (0.462,0.538)     23071
  features.9.conv.0.0              Y     24576     12095     11793     11793      302      (0.461,0.539)      (0.461,0.539)     23040
  features.9.conv.1.0              Y      3456      1700      1658      1658       42      (0.470,0.530)      (0.470,0.530)      3234
  features.9.conv.2                Y     24576     12095     11793     11793      302      (0.463,0.537)      (0.463,0.537)     23099
  features.10.conv.0.0             Y     24576     12095     11793     11793      302      (0.462,0.538)      (0.462,0.538)     23029
  features.10.conv.1.0             Y      3456      1700      1658      1658       42      (0.469,0.531)      (0.469,0.531)      3241
  features.10.conv.2               Y     24576     12095     11793     11793      302      (0.473,0.527)      (0.473,0.527)     22968
  features.11.conv.0.0             Y     24576     12095     11793     11793      302      (0.462,0.538)      (0.462,0.538)     23103
  features.11.conv.1.0             Y      3456      1700      1658      1658       42      (0.462,0.538)      (0.462,0.538)      3246
  features.11.conv.2               Y     36864     18143     17690     17690      453      (0.469,0.531)      (0.469,0.531)     34569
  features.12.conv.0.0             Y     55296     27215     26535     26535      680      (0.456,0.544)      (0.456,0.544)     51977
  features.12.conv.1.0             Y      5184      2551      2487      2487       64      (0.454,0.546)      (0.454,0.546)      4877
  features.12.conv.2               Y     55296     27215     26535     26535      680      (0.470,0.530)      (0.470,0.530)     51887
  features.13.conv.0.0             Y     55296     27215     26535     26535      680      (0.460,0.540)      (0.460,0.540)     51968
  features.13.conv.1.0             Y      5184      2551      2487      2487       64      (0.453,0.547)      (0.453,0.547)      4806
  features.13.conv.2               Y     55296     27215     26535     26535      680      (0.463,0.537)      (0.463,0.537)     51952
  features.14.conv.0.0             Y     55296     27215     26535     26535      680      (0.452,0.548)      (0.452,0.548)     52020
  features.14.conv.1.0             Y      5184      2551      2487      2487       64      (0.457,0.543)      (0.457,0.543)      4845
  features.14.conv.2               Y     92160     45359     44225     44225     1134      (0.454,0.546)      (0.454,0.546)     86750
  features.15.conv.0.0             Y    153600     75599     73709     73709     1890      (0.447,0.553)      (0.447,0.553)    144856
  features.15.conv.1.0             Y      8640      4252      4146      4146      106      (0.458,0.542)      (0.458,0.542)      8109
  features.15.conv.2               Y    153600     75599     73709     73709     1890      (0.454,0.546)      (0.454,0.546)    144261
  features.16.conv.0.0             Y    153600     75599     73709     73709     1890      (0.443,0.557)      (0.443,0.557)    144437
  features.16.conv.1.0             Y      8640      4252      4146      4146      106      (0.445,0.555)      (0.445,0.555)      8143
  features.16.conv.2               Y    153600     75599     73709     73709     1890      (0.455,0.545)      (0.455,0.545)    144515
  features.17.conv.0.0             Y    153600     75599     73709     73709     1890      (0.455,0.545)      (0.455,0.545)    145673
  features.17.conv.1.0             Y      8640      4252      4146      4146      106      (0.460,0.540)      (0.460,0.540)      8192
  features.17.conv.2               Y    307200    151199    147419    147419     3780      (0.464,0.536)      (0.464,0.536)    291218
  features.18.0                    N    409600    409600    409600    409600        0      (0.439,0.561)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.457,0.543)                  -         0
