================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 71
  prune_ratio  : 0.834298 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 02:05:11
  t_score      : 60.5s (그룹별 점수 pass)
  t_greedy     : 3.7s (greedy 선택)
  total_params        : 2192320
  active_before/after : 715395 / 707830
  sparsity_all        : 67.71% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 83.43% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.488,0.512)                  -         0
  features.1.conv.0.0              Y       288        48        47        47        1      (0.452,0.548)      (0.452,0.548)        92
  features.1.conv.1                Y       512        87        84        84        3      (0.455,0.545)      (0.455,0.545)       148
  features.2.conv.0.0              Y      1536       261       254       254        7      (0.453,0.547)      (0.453,0.547)       486
  features.2.conv.1.0              Y       864       146       143       143        3      (0.449,0.551)      (0.449,0.551)       274
  features.2.conv.2                Y      2304       391       381       381       10      (0.462,0.538)      (0.462,0.538)       749
  features.3.conv.0.0              Y      3456       587       572       572       15      (0.469,0.531)      (0.469,0.531)      1109
  features.3.conv.1.0              Y      1296       220       214       214        6      (0.476,0.524)      (0.476,0.524)       408
  features.3.conv.2                Y      3456       587       572       572       15      (0.475,0.525)      (0.475,0.525)      1110
  features.4.conv.0.0              Y      3456       587       572       572       15      (0.459,0.541)      (0.459,0.541)      1116
  features.4.conv.1.0              Y      1296       220       214       214        6      (0.480,0.520)      (0.480,0.520)       411
  features.4.conv.2                Y      4608       783       763       763       20      (0.460,0.540)      (0.460,0.540)      1509
  features.5.conv.0.0              Y      6144      1044      1018      1018       26      (0.472,0.528)      (0.472,0.528)      1987
  features.5.conv.1.0              Y      1728       293       286       286        7      (0.470,0.530)      (0.470,0.530)       554
  features.5.conv.2                Y      6144      1044      1018      1018       26      (0.459,0.541)      (0.459,0.541)      2013
  features.6.conv.0.0              Y      6144      1044      1018      1018       26      (0.455,0.545)      (0.455,0.545)      2005
  features.6.conv.1.0              Y      1728       293       286       286        7      (0.461,0.539)      (0.461,0.539)       564
  features.6.conv.2                Y      6144      1044      1018      1018       26      (0.456,0.544)      (0.456,0.544)      2007
  features.7.conv.0.0              Y      6144      1044      1018      1018       26      (0.445,0.555)      (0.445,0.555)      2022
  features.7.conv.1.0              Y      1728       293       286       286        7      (0.451,0.549)      (0.451,0.549)       560
  features.7.conv.2                Y     12288      2088      2036      2036       52      (0.453,0.547)      (0.453,0.547)      4020
  features.8.conv.0.0              Y     24576      4176      4072      4072      104      (0.452,0.548)      (0.452,0.548)      8022
  features.8.conv.1.0              Y      3456       587       572       572       15      (0.447,0.553)      (0.447,0.553)      1121
  features.8.conv.2                Y     24576      4176      4072      4072      104      (0.453,0.547)      (0.453,0.547)      8008
  features.9.conv.0.0              Y     24576      4176      4072      4072      104      (0.455,0.545)      (0.455,0.545)      8050
  features.9.conv.1.0              Y      3456       587       572       572       15      (0.454,0.546)      (0.454,0.546)      1126
  features.9.conv.2                Y     24576      4176      4072      4072      104      (0.456,0.544)      (0.456,0.544)      8030
