================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 45
  prune_ratio  : 0.679957 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 00:41:41
  t_score      : 60.8s (그룹별 점수 pass)
  t_greedy     : 5.9s (greedy 선택)
  total_params        : 2192320
  active_before/after : 997057 / 982460
  sparsity_all        : 55.19% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 68.00% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.442,0.558)                  -         0
  features.1.conv.0.0              Y       288        94        92        92        2      (0.487,0.513)      (0.487,0.513)       172
  features.1.conv.1                Y       512       168       163       163        5      (0.464,0.536)      (0.464,0.536)       318
  features.2.conv.0.0              Y      1536       504       491       491       13      (0.436,0.564)      (0.436,0.564)       959
  features.2.conv.1.0              Y       864       283       276       276        7      (0.446,0.554)      (0.447,0.553)       512
  features.2.conv.2                Y      2304       756       737       737       19      (0.462,0.538)      (0.462,0.538)      1395
  features.3.conv.0.0              Y      3456      1134      1106      1106       28      (0.434,0.566)      (0.434,0.566)      2204
  features.3.conv.1.0              Y      1296       425       414       414       11      (0.428,0.572)      (0.428,0.572)       809
  features.3.conv.2                Y      3456      1134      1106      1106       28      (0.423,0.577)      (0.423,0.577)      2171
  features.4.conv.0.0              Y      3456      1134      1106      1106       28      (0.433,0.567)      (0.433,0.567)      2137
  features.4.conv.1.0              Y      1296       425       414       414       11      (0.429,0.571)      (0.429,0.571)       805
  features.4.conv.2                Y      4608      1512      1474      1474       38      (0.422,0.578)      (0.422,0.578)      2867
