================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 54
  prune_ratio  : 0.745171 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:10:29
  t_score      : 60.6s (그룹별 점수 pass)
  t_greedy     : 4.8s (greedy 선택)
  total_params        : 2192320
  active_before/after : 878043 / 866417
  sparsity_all        : 60.48% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 74.52% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.427,0.573)                  -         0
  features.1.conv.0.0              Y       288        75        73        73        2      (0.486,0.514)      (0.486,0.514)        77
  features.1.conv.1                Y       512       133       130       130        3      (0.427,0.573)      (0.427,0.573)       250
  features.2.conv.0.0              Y      1536       401       391       391       10      (0.432,0.568)      (0.432,0.568)       768
  features.2.conv.1.0              Y       864       225       220       220        5      (0.395,0.605)      (0.395,0.605)       222
  features.2.conv.2                Y      2304       602       587       587       15      (0.430,0.570)      (0.430,0.570)      1122
  features.3.conv.0.0              Y      3456       903       880       880       23      (0.433,0.567)      (0.433,0.567)      1720
  features.3.conv.1.0              Y      1296       338       330       330        8      (0.405,0.595)      (0.405,0.595)       618
  features.3.conv.2                Y      3456       903       880       880       23      (0.411,0.589)      (0.411,0.589)      1723
  features.4.conv.0.0              Y      3456       903       880       880       23      (0.420,0.580)      (0.420,0.580)      1728
  features.4.conv.1.0              Y      1296       338       330       330        8      (0.409,0.591)      (0.409,0.591)       650
  features.4.conv.2                Y      4608      1204      1174      1174       30      (0.400,0.600)      (0.400,0.600)      1176
  features.5.conv.0.0              Y      6144      1605      1565      1565       40      (0.414,0.586)      (0.414,0.586)      3044
  features.5.conv.1.0              Y      1728       451       440       440       11      (0.402,0.598)      (0.402,0.598)       869
  features.5.conv.2                Y      6144      1605      1565      1565       40      (0.398,0.602)      (0.398,0.602)      3004
