================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 47
  prune_ratio  : 0.695760 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 00:48:12
  t_score      : 63.1s (그룹별 점수 pass)
  t_greedy     : 5.8s (greedy 선택)
  total_params        : 2192320
  active_before/after : 968214 / 954338
  sparsity_all        : 56.47% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 69.58% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.416,0.584)                  -         0
  features.1.conv.0.0              Y       288        89        87        87        2      (0.429,0.571)      (0.429,0.571)       121
  features.1.conv.1                Y       512       159       155       155        4      (0.442,0.558)      (0.442,0.558)       304
  features.2.conv.0.0              Y      1536       479       467       467       12      (0.446,0.554)      (0.446,0.554)       912
  features.2.conv.1.0              Y       864       269       262       262        7      (0.450,0.550)      (0.450,0.550)       513
  features.2.conv.2                Y      2304       718       700       700       18      (0.441,0.559)      (0.441,0.559)      1339
  features.3.conv.0.0              Y      3456      1078      1051      1051       27      (0.451,0.549)      (0.451,0.549)      2083
  features.3.conv.1.0              Y      1296       404       394       394       10      (0.457,0.543)      (0.457,0.543)       778
  features.3.conv.2                Y      3456      1078      1051      1051       27      (0.453,0.547)      (0.453,0.547)      2056
  features.4.conv.0.0              Y      3456      1078      1051      1051       27      (0.445,0.555)      (0.445,0.555)      2062
  features.4.conv.1.0              Y      1296       404       394       394       10      (0.454,0.546)      (0.454,0.546)       763
  features.4.conv.2                Y      4608      1437      1401      1401       36      (0.444,0.556)      (0.444,0.556)      2769
  features.5.conv.0.0              Y      6144      1917      1869      1869       48      (0.440,0.560)      (0.440,0.560)      3679
  features.5.conv.1.0              Y      1728       539       525       525       14      (0.446,0.554)      (0.446,0.554)      1021
  features.5.conv.2                Y      6144      1917      1869      1869       48      (0.449,0.551)      (0.449,0.551)      3675
  features.6.conv.0.0              Y      6144      1917      1869      1869       48      (0.435,0.565)      (0.435,0.565)      3671
  features.6.conv.1.0              Y      1728       539       525       525       14      (0.452,0.548)      (0.452,0.548)       975
  features.6.conv.2                Y      6144      1917      1869      1869       48      (0.448,0.552)      (0.448,0.552)      3682
  features.7.conv.0.0              Y      6144      1917      1869      1869       48      (0.437,0.563)      (0.437,0.563)      3663
  features.7.conv.1.0              Y      1728       539       525       525       14      (0.443,0.557)      (0.443,0.557)      1032
  features.7.conv.2                Y     12288      3834      3738      3738       96      (0.440,0.560)      (0.440,0.560)      7338
  features.8.conv.0.0              Y     24576      7668      7477      7477      191      (0.438,0.562)      (0.438,0.562)     14659
  features.8.conv.1.0              Y      3456      1078      1051      1051       27      (0.438,0.562)      (0.438,0.562)      2051
  features.8.conv.2                Y     24576      7668      7477      7477      191      (0.439,0.561)      (0.439,0.561)     14643
  features.9.conv.0.0              Y     24576      7668      7477      7477      191      (0.436,0.564)      (0.436,0.564)     14650
  features.9.conv.1.0              Y      3456      1078      1051      1051       27      (0.437,0.563)      (0.437,0.563)      2048
  features.9.conv.2                Y     24576      7668      7477      7477      191      (0.437,0.563)      (0.437,0.563)     14702
  features.10.conv.0.0             Y     24576      7668      7477      7477      191      (0.442,0.558)      (0.442,0.558)     14653
  features.10.conv.1.0             Y      3456      1078      1051      1051       27      (0.433,0.567)      (0.433,0.567)      2054
  features.10.conv.2               Y     24576      7668      7477      7477      191      (0.437,0.563)      (0.437,0.563)     14702
  features.11.conv.0.0             Y     24576      7668      7477      7477      191      (0.434,0.566)      (0.434,0.566)     14643
  features.11.conv.1.0             Y      3456      1078      1051      1051       27      (0.444,0.556)      (0.444,0.556)      2061
  features.11.conv.2               Y     36864     11503     11215     11215      288      (0.439,0.561)      (0.439,0.561)     21977
  features.12.conv.0.0             Y     55296     17254     16823     16823      431      (0.433,0.567)      (0.433,0.567)     33001
