================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 22
  prune_ratio  : 0.427070 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 23:27:00
  t_score      : 60.9s (그룹별 점수 pass)
  t_greedy     : 9.5s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1458554 / 1432426
  sparsity_all        : 34.66% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 42.71% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.376,0.624)                  -         0
  features.1.conv.0.0              Y       288       169       165       165        4      (0.400,0.600)      (0.400,0.600)       289
  features.1.conv.1                Y       512       300       293       293        7      (0.401,0.599)      (0.401,0.599)       572
  features.2.conv.0.0              Y      1536       902       880       880       22      (0.417,0.583)      (0.417,0.583)      1727
  features.2.conv.1.0              Y       864       507       495       495       12      (0.396,0.604)      (0.396,0.604)       963
  features.2.conv.2                Y      2304      1353      1320      1320       33      (0.388,0.612)      (0.388,0.612)      2552
  features.3.conv.0.0              Y      3456      2030      1980      1980       50      (0.412,0.588)      (0.412,0.588)      3877
  features.3.conv.1.0              Y      1296       761       742       742       19      (0.407,0.593)      (0.407,0.593)      1459
  features.3.conv.2                Y      3456      2030      1980      1980       50      (0.404,0.596)      (0.404,0.596)      3872
  features.4.conv.0.0              Y      3456      2030      1980      1980       50      (0.427,0.573)      (0.427,0.573)      3868
  features.4.conv.1.0              Y      1296       761       742       742       19      (0.416,0.584)      (0.416,0.584)      1412
  features.4.conv.2                Y      4608      2707      2640      2640       67      (0.417,0.583)      (0.417,0.583)      5205
  features.5.conv.0.0              Y      6144      3610      3520      3520       90      (0.409,0.591)      (0.409,0.591)      6905
  features.5.conv.1.0              Y      1728      1015       990       990       25      (0.391,0.609)      (0.391,0.609)      1947
  features.5.conv.2                Y      6144      3610      3520      3520       90      (0.416,0.584)      (0.416,0.584)      6902
