================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 28
  prune_ratio  : 0.507814 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 23:46:34
  t_score      : 60.4s (그룹별 점수 pass)
  t_greedy     : 8.0s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1311202 / 1288727
  sparsity_all        : 41.22% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 50.78% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.417,0.583)                  -         0
  features.1.conv.0.0              Y       288       145       141       141        4      (0.456,0.544)      (0.456,0.544)       270
  features.1.conv.1                Y       512       258       251       251        7      (0.460,0.540)      (0.460,0.540)       483
  features.2.conv.0.0              Y      1536       775       755       755       20      (0.476,0.524)      (0.476,0.524)      1481
  features.2.conv.1.0              Y       864       436       425       425       11      (0.494,0.506)      (0.494,0.506)       788
  features.2.conv.2                Y      2304      1163      1133      1133       30      (0.459,0.541)      (0.459,0.541)      2204
  features.3.conv.0.0              Y      3456      1744      1700      1700       44      (0.470,0.530)      (0.470,0.530)      3338
  features.3.conv.1.0              Y      1296       654       637       637       17      (0.461,0.539)      (0.461,0.539)      1252
  features.3.conv.2                Y      3456      1744      1700      1700       44      (0.453,0.547)      (0.453,0.547)      3296
  features.4.conv.0.0              Y      3456      1744      1700      1700       44      (0.484,0.516)      (0.484,0.516)      3320
  features.4.conv.1.0              Y      1296       654       637       637       17      (0.487,0.513)      (0.487,0.513)      1222
  features.4.conv.2                Y      4608      2326      2267      2267       59      (0.482,0.518)      (0.482,0.518)      4417
  features.5.conv.0.0              Y      6144      3101      3023      3023       78      (0.465,0.535)      (0.465,0.535)      5891
  features.5.conv.1.0              Y      1728       872       850       850       22      (0.455,0.545)      (0.455,0.545)      1659
  features.5.conv.2                Y      6144      3101      3023      3023       78      (0.486,0.514)      (0.486,0.514)      5869
  features.6.conv.0.0              Y      6144      3101      3023      3023       78      (0.466,0.534)      (0.466,0.534)      5934
  features.6.conv.1.0              Y      1728       872       850       850       22      (0.438,0.562)      (0.438,0.562)      1655
  features.6.conv.2                Y      6144      3101      3023      3023       78      (0.483,0.517)      (0.483,0.517)      5923
  features.7.conv.0.0              Y      6144      3101      3023      3023       78      (0.466,0.534)      (0.466,0.534)      5915
  features.7.conv.1.0              Y      1728       872       850       850       22      (0.469,0.531)      (0.469,0.531)      1651
  features.7.conv.2                Y     12288      6203      6047      6047      156      (0.471,0.529)      (0.471,0.529)     11761
  features.8.conv.0.0              Y     24576     12406     12095     12095      311      (0.462,0.538)      (0.462,0.538)     23719
  features.8.conv.1.0              Y      3456      1744      1700      1700       44      (0.466,0.534)      (0.466,0.534)      3328
  features.8.conv.2                Y     24576     12406     12095     12095      311      (0.462,0.538)      (0.462,0.538)     23646
  features.9.conv.0.0              Y     24576     12406     12095     12095      311      (0.460,0.540)      (0.460,0.540)     23613
  features.9.conv.1.0              Y      3456      1744      1700      1700       44      (0.473,0.527)      (0.473,0.527)      3323
  features.9.conv.2                Y     24576     12406     12095     12095      311      (0.467,0.533)      (0.467,0.533)     23643
  features.10.conv.0.0             Y     24576     12406     12095     12095      311      (0.454,0.546)      (0.454,0.546)     23625
  features.10.conv.1.0             Y      3456      1744      1700      1700       44      (0.467,0.533)      (0.467,0.533)      3309
  features.10.conv.2               Y     24576     12406     12095     12095      311      (0.472,0.528)      (0.472,0.528)     23658
  features.11.conv.0.0             Y     24576     12406     12095     12095      311      (0.459,0.541)      (0.459,0.541)     23661
  features.11.conv.1.0             Y      3456      1744      1700      1700       44      (0.475,0.525)      (0.475,0.525)      3334
  features.11.conv.2               Y     36864     18609     18143     18143      466      (0.472,0.528)      (0.472,0.528)     35474
  features.12.conv.0.0             Y     55296     27913     27215     27215      698      (0.454,0.546)      (0.454,0.546)     53333
  features.12.conv.1.0             Y      5184      2616      2551      2551       65      (0.479,0.521)      (0.479,0.521)      4949
  features.12.conv.2               Y     55296     27913     27215     27215      698      (0.479,0.521)      (0.479,0.521)     52910
  features.13.conv.0.0             Y     55296     27913     27215     27215      698      (0.457,0.543)      (0.457,0.543)     53182
  features.13.conv.1.0             Y      5184      2616      2551      2551       65      (0.476,0.524)      (0.476,0.524)      4974
  features.13.conv.2               Y     55296     27913     27215     27215      698      (0.475,0.525)      (0.475,0.525)     53058
  features.14.conv.0.0             Y     55296     27913     27215     27215      698      (0.454,0.546)      (0.454,0.546)     53245
  features.14.conv.1.0             Y      5184      2616      2551      2551       65      (0.467,0.533)      (0.467,0.533)      4941
  features.14.conv.2               Y     92160     46522     45359     45359     1163      (0.471,0.529)      (0.471,0.529)     88758
  features.15.conv.0.0             Y    153600     77538     75599     75599     1939      (0.448,0.552)      (0.448,0.552)    148203
  features.15.conv.1.0             Y      8640      4361      4252      4252      109      (0.467,0.533)      (0.467,0.533)      8271
  features.15.conv.2               Y    153600     77538     75599     75599     1939      (0.465,0.535)      (0.465,0.535)    147510
  features.16.conv.0.0             Y    153600     77538     75599     75599     1939      (0.445,0.555)      (0.445,0.555)    148251
  features.16.conv.1.0             Y      8640      4361      4252      4252      109      (0.474,0.526)      (0.474,0.526)      8277
  features.16.conv.2               Y    153600     77538     75599     75599     1939      (0.468,0.532)      (0.468,0.532)    148112
  features.17.conv.0.0             Y    153600     77538     75599     75599     1939      (0.460,0.540)      (0.460,0.540)    149412
  features.17.conv.1.0             Y      8640      4361      4252      4252      109      (0.477,0.523)      (0.477,0.523)      8387
  features.17.conv.2               Y    307200    155076    151199    151199     3877      (0.475,0.525)      (0.475,0.525)    297533
  features.18.0                    N    409600    409600    409600    409600        0      (0.443,0.557)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.470,0.530)                  -         0
