================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 85
  prune_ratio  : 0.883750 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 02:49:32
  t_score      : 61.7s (그룹별 점수 pass)
  t_greedy     : 3.0s (greedy 선택)
  total_params        : 2192320
  active_before/after : 625152 / 619835
  sparsity_all        : 71.73% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 88.38% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.419,0.581)                  -         0
  features.1.conv.0.0              Y       288        34        33        33        1      (0.454,0.546)      (0.454,0.546)        65
  features.1.conv.1                Y       512        61        59        59        2      (0.447,0.553)      (0.447,0.553)       108
  features.2.conv.0.0              Y      1536       183       178       178        5      (0.436,0.564)      (0.436,0.564)       350
  features.2.conv.1.0              Y       864       103       100       100        3      (0.443,0.557)      (0.443,0.557)       180
  features.2.conv.2                Y      2304       274       267       267        7      (0.449,0.551)      (0.449,0.551)       511
  features.3.conv.0.0              Y      3456       412       401       401       11      (0.449,0.551)      (0.449,0.551)       798
  features.3.conv.1.0              Y      1296       154       150       150        4      (0.444,0.556)      (0.444,0.556)       292
  features.3.conv.2                Y      3456       412       401       401       11      (0.439,0.561)      (0.439,0.561)       796
  features.4.conv.0.0              Y      3456       412       401       401       11      (0.451,0.549)      (0.451,0.549)       792
  features.4.conv.1.0              Y      1296       154       150       150        4      (0.443,0.557)      (0.443,0.557)       297
  features.4.conv.2                Y      4608       549       535       535       14      (0.446,0.554)      (0.446,0.554)      1058
  features.5.conv.0.0              Y      6144       732       714       714       18      (0.455,0.545)      (0.455,0.545)      1386
  features.5.conv.1.0              Y      1728       206       200       200        6      (0.445,0.555)      (0.445,0.555)       389
  features.5.conv.2                Y      6144       732       714       714       18      (0.448,0.552)      (0.448,0.552)      1412
  features.6.conv.0.0              Y      6144       732       714       714       18      (0.451,0.549)      (0.451,0.549)      1410
  features.6.conv.1.0              Y      1728       206       200       200        6      (0.441,0.559)      (0.441,0.559)       388
  features.6.conv.2                Y      6144       732       714       714       18      (0.450,0.550)      (0.450,0.550)      1378
  features.7.conv.0.0              Y      6144       732       714       714       18      (0.450,0.550)      (0.450,0.550)      1413
  features.7.conv.1.0              Y      1728       206       200       200        6      (0.446,0.554)      (0.446,0.554)       368
