================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 59
  prune_ratio  : 0.775471 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:26:52
  t_score      : 60.5s (그룹별 점수 pass)
  t_greedy     : 4.5s (greedy 선택)
  total_params        : 2192320
  active_before/after : 822734 / 812496
  sparsity_all        : 62.94% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 77.55% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.435,0.565)                  -         0
  features.1.conv.0.0              Y       288        66        64        64        2      (0.426,0.574)      (0.426,0.574)       120
  features.1.conv.1                Y       512       117       114       114        3      (0.410,0.590)      (0.410,0.590)       218
  features.2.conv.0.0              Y      1536       353       344       344        9      (0.405,0.595)      (0.405,0.595)       661
  features.2.conv.1.0              Y       864       198       193       193        5      (0.419,0.581)      (0.419,0.581)       373
  features.2.conv.2                Y      2304       530       517       517       13      (0.420,0.580)      (0.420,0.580)       613
  features.3.conv.0.0              Y      3456       795       775       775       20      (0.427,0.573)      (0.427,0.573)      1541
  features.3.conv.1.0              Y      1296       298       290       290        8      (0.421,0.579)      (0.421,0.579)       560
  features.3.conv.2                Y      3456       795       775       775       20      (0.414,0.586)      (0.414,0.586)      1462
  features.4.conv.0.0              Y      3456       795       775       775       20      (0.418,0.582)      (0.418,0.582)      1516
  features.4.conv.1.0              Y      1296       298       290       290        8      (0.409,0.591)      (0.409,0.591)       566
  features.4.conv.2                Y      4608      1061      1034      1034       27      (0.400,0.600)      (0.400,0.600)      2002
  features.5.conv.0.0              Y      6144      1414      1379      1379       35      (0.408,0.592)      (0.408,0.592)      2666
  features.5.conv.1.0              Y      1728       397       387       387       10      (0.402,0.598)      (0.402,0.598)       731
  features.5.conv.2                Y      6144      1414      1379      1379       35      (0.403,0.597)      (0.403,0.597)      2688
  features.6.conv.0.0              Y      6144      1414      1379      1379       35      (0.406,0.594)      (0.406,0.594)      2670
  features.6.conv.1.0              Y      1728       397       387       387       10      (0.397,0.603)      (0.397,0.603)       721
  features.6.conv.2                Y      6144      1414      1379      1379       35      (0.404,0.596)      (0.404,0.596)      2711
  features.7.conv.0.0              Y      6144      1414      1379      1379       35      (0.409,0.591)      (0.409,0.591)      2590
  features.7.conv.1.0              Y      1728       397       387       387       10      (0.401,0.599)      (0.401,0.599)       389
  features.7.conv.2                Y     12288      2829      2759      2759       70      (0.403,0.597)      (0.403,0.597)      2779
  features.8.conv.0.0              Y     24576      5659      5518      5518      141      (0.421,0.579)      (0.421,0.579)     10830
  features.8.conv.1.0              Y      3456       795       775       775       20      (0.405,0.595)      (0.405,0.595)      1476
  features.8.conv.2                Y     24576      5659      5518      5518      141      (0.409,0.591)      (0.409,0.591)     10802
  features.9.conv.0.0              Y     24576      5659      5518      5518      141      (0.422,0.578)      (0.422,0.578)     10789
  features.9.conv.1.0              Y      3456       795       775       775       20      (0.402,0.598)      (0.402,0.598)      1464
  features.9.conv.2                Y     24576      5659      5518      5518      141      (0.405,0.595)      (0.405,0.595)     10713
  features.10.conv.0.0             Y     24576      5659      5518      5518      141      (0.417,0.583)      (0.417,0.583)     10779
  features.10.conv.1.0             Y      3456       795       775       775       20      (0.415,0.585)      (0.415,0.585)      1478
  features.10.conv.2               Y     24576      5659      5518      5518      141      (0.409,0.591)      (0.409,0.591)     10520
  features.11.conv.0.0             Y     24576      5659      5518      5518      141      (0.414,0.586)      (0.414,0.586)     10824
  features.11.conv.1.0             Y      3456       795       775       775       20      (0.410,0.590)      (0.410,0.590)      1472
  features.11.conv.2               Y     36864      8489      8277      8277      212      (0.407,0.593)      (0.407,0.593)     16078
  features.12.conv.0.0             Y     55296     12733     12415     12415      318      (0.416,0.584)      (0.416,0.584)     24299
  features.12.conv.1.0             Y      5184      1193      1163      1163       30      (0.412,0.588)      (0.412,0.588)      2296
  features.12.conv.2               Y     55296     12733     12415     12415      318      (0.408,0.592)      (0.408,0.592)     24408
  features.13.conv.0.0             Y     55296     12733     12415     12415      318      (0.407,0.593)      (0.407,0.593)     24029
  features.13.conv.1.0             Y      5184      1193      1163      1163       30      (0.408,0.592)      (0.408,0.592)      2285
  features.13.conv.2               Y     55296     12733     12415     12415      318      (0.407,0.593)      (0.407,0.593)     24308
  features.14.conv.0.0             Y     55296     12733     12415     12415      318      (0.408,0.592)      (0.408,0.592)     24307
  features.14.conv.1.0             Y      5184      1193      1163      1163       30      (0.407,0.593)      (0.407,0.593)      2281
  features.14.conv.2               Y     92160     21223     20692     20692      531      (0.408,0.592)      (0.408,0.592)     40904
  features.15.conv.0.0             Y    153600     35371     34487     34487      884      (0.409,0.591)      (0.409,0.591)     68028
  features.15.conv.1.0             Y      8640      1989      1939      1939       50      (0.403,0.597)      (0.403,0.597)      3833
  features.15.conv.2               Y    153600     35371     34487     34487      884      (0.403,0.597)      (0.403,0.597)     67531
  features.16.conv.0.0             Y    153600     35371     34487     34487      884      (0.404,0.596)      (0.404,0.596)     67833
  features.16.conv.1.0             Y      8640      1989      1939      1939       50      (0.400,0.600)      (0.400,0.600)      3812
  features.16.conv.2               Y    153600     35371     34487     34487      884      (0.407,0.593)      (0.407,0.593)     68270
  features.17.conv.0.0             Y    153600     35371     34487     34487      884      (0.409,0.591)      (0.409,0.591)     68315
  features.17.conv.1.0             Y      8640      1989      1939      1939       50      (0.405,0.595)      (0.405,0.595)      3850
  features.17.conv.2               Y    307200     70743     68975     68975     1768      (0.402,0.598)      (0.402,0.598)    135906
  features.18.0                    N    409600    409600    409600    409600        0      (0.424,0.576)                  -         0
