================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 51
  prune_ratio  : 0.725062 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:00:56
  t_score      : 60.1s (그룹별 점수 pass)
  t_greedy     : 5.1s (greedy 선택)
  total_params        : 2192320
  active_before/after : 914742 / 902197
  sparsity_all        : 58.85% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 72.51% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.430,0.570)                  -         0
  features.1.conv.0.0              Y       288        81        79        79        2      (0.474,0.526)      (0.474,0.526)       155
  features.1.conv.1                Y       512       144       140       140        4      (0.454,0.546)      (0.454,0.546)       275
  features.2.conv.0.0              Y      1536       433       422       422       11      (0.439,0.561)      (0.439,0.561)       826
  features.2.conv.1.0              Y       864       243       237       237        6      (0.478,0.522)      (0.478,0.522)       237
  features.2.conv.2                Y      2304       649       633       633       16      (0.454,0.546)      (0.454,0.546)      1204
  features.3.conv.0.0              Y      3456       974       950       950       24      (0.446,0.554)      (0.446,0.554)      1865
  features.3.conv.1.0              Y      1296       365       356       356        9      (0.451,0.549)      (0.451,0.549)       704
  features.3.conv.2                Y      3456       974       950       950       24      (0.450,0.550)      (0.450,0.550)      1842
  features.4.conv.0.0              Y      3456       974       950       950       24      (0.454,0.546)      (0.454,0.546)      1869
  features.4.conv.1.0              Y      1296       365       356       356        9      (0.448,0.552)      (0.448,0.552)       693
  features.4.conv.2                Y      4608      1299      1266      1266       33      (0.446,0.554)      (0.446,0.554)      2512
  features.5.conv.0.0              Y      6144      1732      1689      1689       43      (0.448,0.552)      (0.448,0.552)      3299
  features.5.conv.1.0              Y      1728       487       475       475       12      (0.450,0.550)      (0.450,0.550)       928
  features.5.conv.2                Y      6144      1732      1689      1689       43      (0.444,0.556)      (0.444,0.556)      3302
  features.6.conv.0.0              Y      6144      1732      1689      1689       43      (0.431,0.569)      (0.431,0.569)      3324
  features.6.conv.1.0              Y      1728       487       475       475       12      (0.452,0.548)      (0.452,0.548)       936
  features.6.conv.2                Y      6144      1732      1689      1689       43      (0.441,0.559)      (0.441,0.559)      3307
  features.7.conv.0.0              Y      6144      1732      1689      1689       43      (0.438,0.562)      (0.438,0.562)      3321
  features.7.conv.1.0              Y      1728       487       475       475       12      (0.445,0.555)      (0.445,0.555)       895
  features.7.conv.2                Y     12288      3465      3378      3378       87      (0.446,0.554)      (0.446,0.554)      6601
  features.8.conv.0.0              Y     24576      6930      6756      6756      174      (0.447,0.553)      (0.447,0.553)     13323
  features.8.conv.1.0              Y      3456       974       950       950       24      (0.446,0.554)      (0.446,0.554)      1804
  features.8.conv.2                Y     24576      6930      6756      6756      174      (0.446,0.554)      (0.446,0.554)     13216
  features.9.conv.0.0              Y     24576      6930      6756      6756      174      (0.442,0.558)      (0.442,0.558)     13222
  features.9.conv.1.0              Y      3456       974       950       950       24      (0.453,0.547)      (0.453,0.547)      1852
  features.9.conv.2                Y     24576      6930      6756      6756      174      (0.452,0.548)      (0.452,0.548)     13156
  features.10.conv.0.0             Y     24576      6930      6756      6756      174      (0.446,0.554)      (0.446,0.554)     13220
  features.10.conv.1.0             Y      3456       974       950       950       24      (0.455,0.545)      (0.455,0.545)      1809
  features.10.conv.2               Y     24576      6930      6756      6756      174      (0.454,0.546)      (0.454,0.546)     13145
  features.11.conv.0.0             Y     24576      6930      6756      6756      174      (0.440,0.560)      (0.440,0.560)     13273
  features.11.conv.1.0             Y      3456       974       950       950       24      (0.458,0.542)      (0.458,0.542)      1837
  features.11.conv.2               Y     36864     10395     10135     10135      260      (0.453,0.547)      (0.453,0.547)     19687
  features.12.conv.0.0             Y     55296     15592     15202     15202      390      (0.443,0.557)      (0.443,0.557)     30043
  features.12.conv.1.0             Y      5184      1461      1425      1425       36      (0.451,0.549)      (0.451,0.549)      2691
  features.12.conv.2               Y     55296     15592     15202     15202      390      (0.457,0.543)      (0.457,0.543)     29691
  features.13.conv.0.0             Y     55296     15592     15202     15202      390      (0.442,0.558)      (0.442,0.558)     29892
  features.13.conv.1.0             Y      5184      1461      1425      1425       36      (0.453,0.547)      (0.453,0.547)      2797
  features.13.conv.2               Y     55296     15592     15202     15202      390      (0.456,0.544)      (0.456,0.544)     29814
  features.14.conv.0.0             Y     55296     15592     15202     15202      390      (0.436,0.564)      (0.436,0.564)     29952
  features.14.conv.1.0             Y      5184      1461      1425      1425       36      (0.442,0.558)      (0.442,0.558)      2787
  features.14.conv.2               Y     92160     25988     25338     25338      650      (0.449,0.551)      (0.449,0.551)     49830
  features.15.conv.0.0             Y    153600     43313     42230     42230     1083      (0.431,0.569)      (0.431,0.569)     83529
  features.15.conv.1.0             Y      8640      2436      2375      2375       61      (0.442,0.558)      (0.442,0.558)      4674
  features.15.conv.2               Y    153600     43313     42230     42230     1083      (0.440,0.560)      (0.440,0.560)     82765
  features.16.conv.0.0             Y    153600     43313     42230     42230     1083      (0.428,0.572)      (0.428,0.572)     83413
  features.16.conv.1.0             Y      8640      2436      2375      2375       61      (0.435,0.565)      (0.435,0.565)      4678
  features.16.conv.2               Y    153600     43313     42230     42230     1083      (0.441,0.559)      (0.441,0.559)     82922
  features.17.conv.0.0             Y    153600     43313     42230     42230     1083      (0.441,0.559)      (0.441,0.559)     83180
  features.17.conv.1.0             Y      8640      2436      2375      2375       61      (0.444,0.556)      (0.444,0.556)      4709
  features.17.conv.2               Y    307200     86626     84461     84461     2165      (0.440,0.560)      (0.440,0.560)    167414
  features.18.0                    N    409600    409600    409600    409600        0      (0.427,0.573)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.440,0.560)                  -         0
