================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 24
  prune_ratio  : 0.455358 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 23:33:35
  t_score      : 60.5s (그룹별 점수 pass)
  t_greedy     : 9.4s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1406926 / 1382079
  sparsity_all        : 36.96% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 45.54% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.388,0.612)                  -         0
  features.1.conv.0.0              Y       288       160       156       156        4      (0.356,0.644)      (0.356,0.644)       303
  features.1.conv.1                Y       512       286       278       278        8      (0.403,0.597)      (0.403,0.597)       548
  features.2.conv.0.0              Y      1536       858       836       836       22      (0.428,0.572)      (0.428,0.572)      1638
  features.2.conv.1.0              Y       864       482       470       470       12      (0.427,0.573)      (0.427,0.573)       920
  features.2.conv.2                Y      2304      1287      1254      1254       33      (0.417,0.583)      (0.417,0.583)      2457
  features.3.conv.0.0              Y      3456      1930      1882      1882       48      (0.408,0.592)      (0.408,0.592)      3661
  features.3.conv.1.0              Y      1296       723       705       705       18      (0.409,0.591)      (0.409,0.591)      1361
  features.3.conv.2                Y      3456      1930      1882      1882       48      (0.409,0.591)      (0.409,0.591)      3677
  features.4.conv.0.0              Y      3456      1930      1882      1882       48      (0.424,0.576)      (0.424,0.576)      3694
  features.4.conv.1.0              Y      1296       723       705       705       18      (0.424,0.576)      (0.424,0.576)      1356
  features.4.conv.2                Y      4608      2574      2509      2509       65      (0.430,0.570)      (0.430,0.570)      4913
  features.5.conv.0.0              Y      6144      3432      3346      3346       86      (0.410,0.590)      (0.410,0.590)      6570
  features.5.conv.1.0              Y      1728       965       941       941       24      (0.417,0.583)      (0.417,0.583)      1813
  features.5.conv.2                Y      6144      3432      3346      3346       86      (0.423,0.577)      (0.423,0.577)      6554
  features.6.conv.0.0              Y      6144      3432      3346      3346       86      (0.412,0.588)      (0.412,0.588)      6573
  features.6.conv.1.0              Y      1728       965       941       941       24      (0.414,0.586)      (0.414,0.586)      1833
  features.6.conv.2                Y      6144      3432      3346      3346       86      (0.417,0.583)      (0.417,0.583)      6541
  features.7.conv.0.0              Y      6144      3432      3346      3346       86      (0.411,0.589)      (0.411,0.589)      6559
  features.7.conv.1.0              Y      1728       965       941       941       24      (0.426,0.574)      (0.426,0.574)      1807
  features.7.conv.2                Y     12288      6864      6692      6692      172      (0.406,0.594)      (0.406,0.594)     13092
  features.8.conv.0.0              Y     24576     13728     13385     13385      343      (0.413,0.587)      (0.413,0.587)     26277
  features.8.conv.1.0              Y      3456      1930      1882      1882       48      (0.385,0.615)      (0.385,0.615)      3682
  features.8.conv.2                Y     24576     13728     13385     13385      343      (0.406,0.594)      (0.406,0.594)     26209
  features.9.conv.0.0              Y     24576     13728     13385     13385      343      (0.409,0.591)      (0.409,0.591)     26157
  features.9.conv.1.0              Y      3456      1930      1882      1882       48      (0.400,0.600)      (0.400,0.600)      3645
  features.9.conv.2                Y     24576     13728     13385     13385      343      (0.404,0.596)      (0.404,0.596)     26119
  features.10.conv.0.0             Y     24576     13728     13385     13385      343      (0.407,0.593)      (0.407,0.593)     26208
  features.10.conv.1.0             Y      3456      1930      1882      1882       48      (0.415,0.585)      (0.415,0.585)      3662
  features.10.conv.2               Y     24576     13728     13385     13385      343      (0.409,0.591)      (0.409,0.591)     26203
  features.11.conv.0.0             Y     24576     13728     13385     13385      343      (0.410,0.590)      (0.410,0.590)     26200
  features.11.conv.1.0             Y      3456      1930      1882      1882       48      (0.402,0.598)      (0.402,0.598)      3664
  features.11.conv.2               Y     36864     20592     20077     20077      515      (0.404,0.596)      (0.404,0.596)     39269
  features.12.conv.0.0             Y     55296     30888     30116     30116      772      (0.402,0.598)      (0.402,0.598)     58863
  features.12.conv.1.0             Y      5184      2895      2823      2823       72      (0.415,0.585)      (0.415,0.585)      5488
  features.12.conv.2               Y     55296     30888     30116     30116      772      (0.409,0.591)      (0.409,0.591)     58941
  features.13.conv.0.0             Y     55296     30888     30116     30116      772      (0.404,0.596)      (0.404,0.596)     58891
  features.13.conv.1.0             Y      5184      2895      2823      2823       72      (0.396,0.604)      (0.396,0.604)      5492
  features.13.conv.2               Y     55296     30888     30116     30116      772      (0.412,0.588)      (0.412,0.588)     58803
  features.14.conv.0.0             Y     55296     30888     30116     30116      772      (0.402,0.598)      (0.402,0.598)     59058
  features.14.conv.1.0             Y      5184      2895      2823      2823       72      (0.388,0.612)      (0.388,0.612)      5440
  features.14.conv.2               Y     92160     51481     50194     50194     1287      (0.407,0.593)      (0.407,0.593)     98389
  features.15.conv.0.0             Y    153600     85801     83656     83656     2145      (0.398,0.602)      (0.398,0.602)    164007
  features.15.conv.1.0             Y      8640      4826      4705      4705      121      (0.415,0.585)      (0.415,0.585)      9146
  features.15.conv.2               Y    153600     85801     83656     83656     2145      (0.410,0.590)      (0.410,0.590)    163856
  features.16.conv.0.0             Y    153600     85801     83656     83656     2145      (0.392,0.608)      (0.392,0.608)    163415
  features.16.conv.1.0             Y      8640      4826      4705      4705      121      (0.418,0.582)      (0.418,0.582)      9173
  features.16.conv.2               Y    153600     85801     83656     83656     2145      (0.416,0.584)      (0.416,0.584)    164131
  features.17.conv.0.0             Y    153600     85801     83656     83656     2145      (0.411,0.589)      (0.411,0.589)    165416
  features.17.conv.1.0             Y      8640      4826      4705      4705      121      (0.418,0.582)      (0.418,0.582)      9260
  features.17.conv.2               Y    307200    171603    167313    167313     4290      (0.411,0.589)      (0.411,0.589)    328510
  features.18.0                    N    409600    409600    409600    409600        0      (0.405,0.595)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.410,0.590)                  -         0
