================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 77
  prune_ratio  : 0.857651 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 02:24:13
  t_score      : 61.3s (그룹별 점수 pass)
  t_greedy     : 3.6s (greedy 선택)
  total_params        : 2192320
  active_before/after : 672783 / 666270
  sparsity_all        : 69.61% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 85.77% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.456,0.544)                  -         0
  features.1.conv.0.0              Y       288        42        40        40        2      (0.422,0.578)      (0.422,0.578)        78
  features.1.conv.1                Y       512        74        72        72        2      (0.421,0.579)      (0.421,0.579)       126
  features.2.conv.0.0              Y      1536       224       218       218        6      (0.418,0.582)      (0.418,0.582)       412
  features.2.conv.1.0              Y       864       126       122       122        4      (0.444,0.556)      (0.444,0.556)       210
  features.2.conv.2                Y      2304       336       327       327        9      (0.431,0.569)      (0.431,0.569)       629
  features.3.conv.0.0              Y      3456       504       491       491       13      (0.429,0.571)      (0.429,0.571)       981
  features.3.conv.1.0              Y      1296       189       184       184        5      (0.410,0.590)      (0.410,0.590)       363
  features.3.conv.2                Y      3456       504       491       491       13      (0.416,0.584)      (0.416,0.584)       956
  features.4.conv.0.0              Y      3456       504       491       491       13      (0.429,0.571)      (0.429,0.571)       981
  features.4.conv.1.0              Y      1296       189       184       184        5      (0.424,0.576)      (0.424,0.576)       364
  features.4.conv.2                Y      4608       672       655       655       17      (0.424,0.576)      (0.424,0.576)      1296
  features.5.conv.0.0              Y      6144       897       874       874       23      (0.426,0.574)      (0.426,0.574)      1709
  features.5.conv.1.0              Y      1728       252       245       245        7      (0.431,0.569)      (0.431,0.569)       473
  features.5.conv.2                Y      6144       897       874       874       23      (0.428,0.572)      (0.428,0.572)      1720
  features.6.conv.0.0              Y      6144       897       874       874       23      (0.435,0.565)      (0.435,0.565)      1731
  features.6.conv.1.0              Y      1728       252       245       245        7      (0.433,0.567)      (0.433,0.567)       476
  features.6.conv.2                Y      6144       897       874       874       23      (0.429,0.571)      (0.429,0.571)      1725
