================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 14
  prune_ratio  : 0.298440 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 23:00:41
  t_score      : 60.4s (그룹별 점수 pass)
  t_greedy     : 11.2s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1693285 / 1661282
  sparsity_all        : 24.22% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 29.85% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.451,0.549)                  -         0
  features.1.conv.0.0              Y       288       207       202       202        5      (0.373,0.627)      (0.373,0.627)       204
  features.1.conv.1                Y       512       368       359       359        9      (0.413,0.587)      (0.413,0.587)       710
  features.2.conv.0.0              Y      1536      1105      1077      1077       28      (0.439,0.561)      (0.439,0.561)      2115
  features.2.conv.1.0              Y       864       621       606       606       15      (0.469,0.531)      (0.469,0.531)      1151
  features.2.conv.2                Y      2304      1657      1616      1616       41      (0.430,0.570)      (0.430,0.570)      3123
  features.3.conv.0.0              Y      3456      2486      2424      2424       62      (0.432,0.568)      (0.432,0.568)      4755
  features.3.conv.1.0              Y      1296       932       909       909       23      (0.427,0.573)      (0.427,0.573)      1781
  features.3.conv.2                Y      3456      2486      2424      2424       62      (0.447,0.553)      (0.447,0.553)      4778
  features.4.conv.0.0              Y      3456      2486      2424      2424       62      (0.445,0.555)      (0.445,0.555)      4785
  features.4.conv.1.0              Y      1296       932       909       909       23      (0.432,0.568)      (0.432,0.568)      1777
  features.4.conv.2                Y      4608      3315      3232      3232       83      (0.452,0.548)      (0.452,0.548)      6362
  features.5.conv.0.0              Y      6144      4420      4310      4310      110      (0.431,0.569)      (0.431,0.569)      8461
  features.5.conv.1.0              Y      1728      1243      1212      1212       31      (0.439,0.561)      (0.439,0.561)      2382
  features.5.conv.2                Y      6144      4420      4310      4310      110      (0.437,0.563)      (0.437,0.563)      8482
  features.6.conv.0.0              Y      6144      4420      4310      4310      110      (0.437,0.563)      (0.437,0.563)      8488
  features.6.conv.1.0              Y      1728      1243      1212      1212       31      (0.419,0.581)      (0.419,0.581)      2382
  features.6.conv.2                Y      6144      4420      4310      4310      110      (0.438,0.562)      (0.438,0.562)      8471
  features.7.conv.0.0              Y      6144      4420      4310      4310      110      (0.435,0.565)      (0.435,0.565)      8454
  features.7.conv.1.0              Y      1728      1243      1212      1212       31      (0.448,0.552)      (0.448,0.552)      2366
  features.7.conv.2                Y     12288      8841      8620      8620      221      (0.439,0.561)      (0.439,0.561)     16976
  features.8.conv.0.0              Y     24576     17683     17241     17241      442      (0.433,0.567)      (0.433,0.567)     33902
  features.8.conv.1.0              Y      3456      2486      2424      2424       62      (0.434,0.566)      (0.434,0.566)      4743
  features.8.conv.2                Y     24576     17683     17241     17241      442      (0.440,0.560)      (0.440,0.560)     33879
  features.9.conv.0.0              Y     24576     17683     17241     17241      442      (0.437,0.563)      (0.437,0.563)     33953
  features.9.conv.1.0              Y      3456      2486      2424      2424       62      (0.441,0.559)      (0.441,0.559)      4750
  features.9.conv.2                Y     24576     17683     17241     17241      442      (0.442,0.558)      (0.442,0.558)     33882
  features.10.conv.0.0             Y     24576     17683     17241     17241      442      (0.440,0.560)      (0.440,0.560)     33947
  features.10.conv.1.0             Y      3456      2486      2424      2424       62      (0.435,0.565)      (0.435,0.565)      4743
  features.10.conv.2               Y     24576     17683     17241     17241      442      (0.444,0.556)      (0.444,0.556)     33911
  features.11.conv.0.0             Y     24576     17683     17241     17241      442      (0.432,0.568)      (0.432,0.568)     33990
  features.11.conv.1.0             Y      3456      2486      2424      2424       62      (0.440,0.560)      (0.440,0.560)      4785
  features.11.conv.2               Y     36864     26525     25862     25862      663      (0.434,0.566)      (0.434,0.566)     50948
  features.12.conv.0.0             Y     55296     39788     38793     38793      995      (0.428,0.572)      (0.428,0.572)     76370
  features.12.conv.1.0             Y      5184      3730      3636      3636       94      (0.445,0.555)      (0.445,0.555)      7119
  features.12.conv.2               Y     55296     39788     38793     38793      995      (0.442,0.558)      (0.442,0.558)     76280
  features.13.conv.0.0             Y     55296     39788     38793     38793      995      (0.431,0.569)      (0.431,0.569)     76363
  features.13.conv.1.0             Y      5184      3730      3636      3636       94      (0.432,0.568)      (0.432,0.568)      7121
  features.13.conv.2               Y     55296     39788     38793     38793      995      (0.441,0.559)      (0.441,0.559)     76241
  features.14.conv.0.0             Y     55296     39788     38793     38793      995      (0.432,0.568)      (0.432,0.568)     76288
  features.14.conv.1.0             Y      5184      3730      3636      3636       94      (0.423,0.577)      (0.423,0.577)      7077
  features.14.conv.2               Y     92160     66313     64655     64655     1658      (0.427,0.573)      (0.427,0.573)    127365
  features.15.conv.0.0             Y    153600    110522    107759    107759     2763      (0.426,0.574)      (0.426,0.574)    211754
  features.15.conv.1.0             Y      8640      6216      6061      6061      155      (0.436,0.564)      (0.436,0.564)     11837
  features.15.conv.2               Y    153600    110522    107759    107759     2763      (0.428,0.572)      (0.428,0.572)    211566
  features.16.conv.0.0             Y    153600    110522    107759    107759     2763      (0.424,0.576)      (0.424,0.576)    211486
  features.16.conv.1.0             Y      8640      6216      6061      6061      155      (0.426,0.574)      (0.426,0.574)     11866
  features.16.conv.2               Y    153600    110522    107759    107759     2763      (0.429,0.571)      (0.429,0.571)    211460
  features.17.conv.0.0             Y    153600    110522    107759    107759     2763      (0.425,0.575)      (0.425,0.575)    213492
  features.17.conv.1.0             Y      8640      6216      6061      6061      155      (0.411,0.589)      (0.411,0.589)     11847
  features.17.conv.2               Y    307200    221045    215519    215519     5526      (0.422,0.578)      (0.422,0.578)    424937
  features.18.0                    N    409600    409600    409600    409600        0      (0.417,0.583)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.418,0.582)                  -         0
