================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 70
  prune_ratio  : 0.830049 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 02:01:57
  t_score      : 61.1s (그룹별 점수 pass)
  t_greedy     : 3.8s (greedy 선택)
  total_params        : 2192320
  active_before/after : 723141 / 715395
  sparsity_all        : 67.37% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 83.01% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.409,0.591)                  -         0
  features.1.conv.0.0              Y       288        50        48        48        2      (0.398,0.602)      (0.398,0.602)        94
  features.1.conv.1                Y       512        89        87        87        2      (0.399,0.601)      (0.399,0.601)       170
  features.2.conv.0.0              Y      1536       267       261       261        6      (0.418,0.582)      (0.418,0.582)       513
  features.2.conv.1.0              Y       864       150       146       146        4      (0.376,0.624)      (0.376,0.624)       148
  features.2.conv.2                Y      2304       401       391       391       10      (0.419,0.581)      (0.419,0.581)       769
  features.3.conv.0.0              Y      3456       602       587       587       15      (0.426,0.574)      (0.426,0.574)      1166
  features.3.conv.1.0              Y      1296       225       220       220        5      (0.439,0.561)      (0.439,0.561)       423
  features.3.conv.2                Y      3456       602       587       587       15      (0.427,0.573)      (0.427,0.573)      1154
  features.4.conv.0.0              Y      3456       602       587       587       15      (0.424,0.576)      (0.424,0.576)      1138
  features.4.conv.1.0              Y      1296       225       220       220        5      (0.434,0.566)      (0.434,0.566)       220
  features.4.conv.2                Y      4608       803       783       783       20      (0.417,0.583)      (0.417,0.583)      1541
  features.5.conv.0.0              Y      6144      1070      1044      1044       26      (0.430,0.570)      (0.430,0.570)      2053
  features.5.conv.1.0              Y      1728       301       293       293        8      (0.432,0.568)      (0.432,0.568)       577
  features.5.conv.2                Y      6144      1070      1044      1044       26      (0.420,0.580)      (0.420,0.580)      2047
  features.6.conv.0.0              Y      6144      1070      1044      1044       26      (0.413,0.587)      (0.413,0.587)      2017
  features.6.conv.1.0              Y      1728       301       293       293        8      (0.424,0.576)      (0.424,0.576)       568
  features.6.conv.2                Y      6144      1070      1044      1044       26      (0.417,0.583)      (0.417,0.583)      2056
  features.7.conv.0.0              Y      6144      1070      1044      1044       26      (0.416,0.584)      (0.416,0.584)      2055
  features.7.conv.1.0              Y      1728       301       293       293        8      (0.414,0.586)      (0.414,0.586)       576
  features.7.conv.2                Y     12288      2141      2088      2088       53      (0.414,0.586)      (0.414,0.586)      4126
  features.8.conv.0.0              Y     24576      4283      4176      4176      107      (0.419,0.581)      (0.419,0.581)      8241
  features.8.conv.1.0              Y      3456       602       587       587       15      (0.406,0.594)      (0.406,0.594)      1154
  features.8.conv.2                Y     24576      4283      4176      4176      107      (0.414,0.586)      (0.414,0.586)      8208
  features.9.conv.0.0              Y     24576      4283      4176      4176      107      (0.417,0.583)      (0.417,0.583)      8247
  features.9.conv.1.0              Y      3456       602       587       587       15      (0.412,0.588)      (0.412,0.588)      1148
  features.9.conv.2                Y     24576      4283      4176      4176      107      (0.414,0.586)      (0.414,0.586)      8234
  features.10.conv.0.0             Y     24576      4283      4176      4176      107      (0.414,0.586)      (0.414,0.586)      8234
  features.10.conv.1.0             Y      3456       602       587       587       15      (0.413,0.587)      (0.413,0.587)      1149
  features.10.conv.2               Y     24576      4283      4176      4176      107      (0.413,0.587)      (0.413,0.587)      8228
  features.11.conv.0.0             Y     24576      4283      4176      4176      107      (0.407,0.593)      (0.407,0.593)      8231
  features.11.conv.1.0             Y      3456       602       587       587       15      (0.404,0.596)      (0.404,0.596)      1152
  features.11.conv.2               Y     36864      6425      6265      6265      160      (0.401,0.599)      (0.401,0.599)     12308
  features.12.conv.0.0             Y     55296      9638      9397      9397      241      (0.409,0.591)      (0.409,0.591)     18490
  features.12.conv.1.0             Y      5184       903       881       881       22      (0.404,0.596)      (0.404,0.596)      1692
  features.12.conv.2               Y     55296      9638      9397      9397      241      (0.400,0.600)      (0.400,0.600)     18534
  features.13.conv.0.0             Y     55296      9638      9397      9397      241      (0.404,0.596)      (0.404,0.596)     18415
