================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 38
  prune_ratio  : 0.617901 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 00:18:53
  t_score      : 61.7s (그룹별 점수 pass)
  t_greedy     : 6.7s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1110298 / 1092867
  sparsity_all        : 50.15% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 61.79% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.431,0.569)                  -         0
  features.1.conv.0.0              Y       288       112       110       110        2      (0.475,0.525)      (0.475,0.525)       110
  features.1.conv.1                Y       512       200       195       195        5      (0.464,0.536)      (0.464,0.536)       375
  features.2.conv.0.0              Y      1536       601       586       586       15      (0.444,0.556)      (0.444,0.556)      1144
  features.2.conv.1.0              Y       864       338       330       330        8      (0.439,0.561)      (0.439,0.561)       647
  features.2.conv.2                Y      2304       902       880       880       22      (0.437,0.563)      (0.437,0.563)      1666
  features.3.conv.0.0              Y      3456      1354      1320      1320       34      (0.452,0.548)      (0.452,0.548)      2595
  features.3.conv.1.0              Y      1296       507       495       495       12      (0.443,0.557)      (0.443,0.557)       972
  features.3.conv.2                Y      3456      1354      1320      1320       34      (0.444,0.556)      (0.444,0.556)      2566
  features.4.conv.0.0              Y      3456      1354      1320      1320       34      (0.453,0.547)      (0.453,0.547)      2577
  features.4.conv.1.0              Y      1296       507       495       495       12      (0.453,0.547)      (0.453,0.547)       932
  features.4.conv.2                Y      4608      1805      1760      1760       45      (0.451,0.549)      (0.451,0.549)      3446
  features.5.conv.0.0              Y      6144      2407      2347      2347       60      (0.452,0.548)      (0.452,0.548)      4610
  features.5.conv.1.0              Y      1728       677       660       660       17      (0.443,0.557)      (0.443,0.557)      1286
  features.5.conv.2                Y      6144      2407      2347      2347       60      (0.442,0.558)      (0.442,0.558)      4503
  features.6.conv.0.0              Y      6144      2407      2347      2347       60      (0.451,0.549)      (0.451,0.549)      4601
  features.6.conv.1.0              Y      1728       677       660       660       17      (0.445,0.555)      (0.445,0.555)      1295
  features.6.conv.2                Y      6144      2407      2347      2347       60      (0.440,0.560)      (0.440,0.560)      4524
  features.7.conv.0.0              Y      6144      2407      2347      2347       60      (0.443,0.557)      (0.443,0.557)      4593
  features.7.conv.1.0              Y      1728       677       660       660       17      (0.446,0.554)      (0.446,0.554)      1285
  features.7.conv.2                Y     12288      4815      4695      4695      120      (0.449,0.551)      (0.449,0.551)      9211
  features.8.conv.0.0              Y     24576      9631      9390      9390      241      (0.450,0.550)      (0.450,0.550)     18505
  features.8.conv.1.0              Y      3456      1354      1320      1320       34      (0.446,0.554)      (0.446,0.554)      2593
  features.8.conv.2                Y     24576      9631      9390      9390      241      (0.443,0.557)      (0.443,0.557)     18365
  features.9.conv.0.0              Y     24576      9631      9390      9390      241      (0.448,0.552)      (0.448,0.552)     18375
  features.9.conv.1.0              Y      3456      1354      1320      1320       34      (0.451,0.549)      (0.451,0.549)      2580
  features.9.conv.2                Y     24576      9631      9390      9390      241      (0.446,0.554)      (0.446,0.554)     18387
  features.10.conv.0.0             Y     24576      9631      9390      9390      241      (0.451,0.549)      (0.451,0.549)     18373
  features.10.conv.1.0             Y      3456      1354      1320      1320       34      (0.446,0.554)      (0.446,0.554)      2582
  features.10.conv.2               Y     24576      9631      9390      9390      241      (0.448,0.552)      (0.448,0.552)     18376
  features.11.conv.0.0             Y     24576      9631      9390      9390      241      (0.447,0.553)      (0.447,0.553)     18407
  features.11.conv.1.0             Y      3456      1354      1320      1320       34      (0.455,0.545)      (0.455,0.545)      2591
  features.11.conv.2               Y     36864     14446     14085     14085      361      (0.453,0.547)      (0.453,0.547)     27632
  features.12.conv.0.0             Y     55296     21670     21128     21128      542      (0.446,0.554)      (0.446,0.554)     41395
  features.12.conv.1.0             Y      5184      2031      1980      1980       51      (0.455,0.545)      (0.455,0.545)      3868
  features.12.conv.2               Y     55296     21670     21128     21128      542      (0.456,0.544)      (0.456,0.544)     41382
  features.13.conv.0.0             Y     55296     21670     21128     21128      542      (0.444,0.556)      (0.444,0.556)     41346
  features.13.conv.1.0             Y      5184      2031      1980      1980       51      (0.460,0.540)      (0.460,0.540)      3877
  features.13.conv.2               Y     55296     21670     21128     21128      542      (0.456,0.544)      (0.456,0.544)     41383
  features.14.conv.0.0             Y     55296     21670     21128     21128      542      (0.438,0.562)      (0.438,0.562)     41405
  features.14.conv.1.0             Y      5184      2031      1980      1980       51      (0.451,0.549)      (0.451,0.549)      3859
  features.14.conv.2               Y     92160     36117     35214     35214      903      (0.450,0.550)      (0.450,0.550)     69172
  features.15.conv.0.0             Y    153600     60195     58690     58690     1505      (0.437,0.563)      (0.437,0.563)    115618
  features.15.conv.1.0             Y      8640      3385      3301      3301       84      (0.448,0.552)      (0.448,0.552)      6435
  features.15.conv.2               Y    153600     60195     58690     58690     1505      (0.447,0.553)      (0.447,0.553)    115246
  features.16.conv.0.0             Y    153600     60195     58690     58690     1505      (0.431,0.569)      (0.431,0.569)    115396
  features.16.conv.1.0             Y      8640      3385      3301      3301       84      (0.442,0.558)      (0.442,0.558)      6459
  features.16.conv.2               Y    153600     60195     58690     58690     1505      (0.444,0.556)      (0.444,0.556)    115603
  features.17.conv.0.0             Y    153600     60195     58690     58690     1505      (0.442,0.558)      (0.442,0.558)    116357
  features.17.conv.1.0             Y      8640      3385      3301      3301       84      (0.443,0.557)      (0.443,0.557)      6501
  features.17.conv.2               Y    307200    120390    117380    117380     3010      (0.431,0.569)      (0.431,0.569)    230374
  features.18.0                    N    409600    409600    409600    409600        0      (0.435,0.565)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.436,0.564)                  -         0
