================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 41
  prune_ratio  : 0.645848 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 00:28:47
  t_score      : 60.8s (그룹별 점수 pass)
  t_greedy     : 6.5s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1059293 / 1043127
  sparsity_all        : 52.42% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 64.59% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.447,0.553)                  -         0
  features.1.conv.0.0              Y       288       104       101       101        3      (0.475,0.525)      (0.475,0.525)       195
  features.1.conv.1                Y       512       185       181       181        4      (0.484,0.516)      (0.484,0.516)       329
  features.2.conv.0.0              Y      1536       557       543       543       14      (0.464,0.536)      (0.464,0.536)      1062
  features.2.conv.1.0              Y       864       313       305       305        8      (0.476,0.524)      (0.476,0.524)       590
  features.2.conv.2                Y      2304       836       815       815       21      (0.457,0.543)      (0.457,0.543)      1587
  features.3.conv.0.0              Y      3456      1255      1223      1223       32      (0.455,0.545)      (0.455,0.545)      2369
  features.3.conv.1.0              Y      1296       470       458       458       12      (0.468,0.532)      (0.468,0.532)       895
  features.3.conv.2                Y      3456      1255      1223      1223       32      (0.469,0.531)      (0.469,0.531)      2388
  features.4.conv.0.0              Y      3456      1255      1223      1223       32      (0.454,0.546)      (0.454,0.546)      2401
  features.4.conv.1.0              Y      1296       470       458       458       12      (0.460,0.540)      (0.460,0.540)       889
  features.4.conv.2                Y      4608      1673      1631      1631       42      (0.460,0.540)      (0.460,0.540)      3192
  features.5.conv.0.0              Y      6144      2231      2175      2175       56      (0.453,0.547)      (0.453,0.547)      4261
  features.5.conv.1.0              Y      1728       627       611       611       16      (0.457,0.543)      (0.457,0.543)      1137
  features.5.conv.2                Y      6144      2231      2175      2175       56      (0.460,0.540)      (0.460,0.540)      4214
