================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 27
  prune_ratio  : 0.495194 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 23:43:21
  t_score      : 61.6s (그룹별 점수 pass)
  t_greedy     : 8.4s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1334238 / 1311202
  sparsity_all        : 40.19% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 49.52% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.462,0.538)                  -         0
  features.1.conv.0.0              Y       288       149       145       145        4      (0.387,0.613)      (0.387,0.613)       273
  features.1.conv.1                Y       512       265       258       258        7      (0.457,0.543)      (0.457,0.543)       501
  features.2.conv.0.0              Y      1536       795       775       775       20      (0.449,0.551)      (0.449,0.551)      1515
  features.2.conv.1.0              Y       864       447       436       436       11      (0.443,0.557)      (0.443,0.557)       854
  features.2.conv.2                Y      2304      1192      1163      1163       29      (0.457,0.543)      (0.457,0.543)      2277
  features.3.conv.0.0              Y      3456      1789      1744      1744       45      (0.456,0.544)      (0.456,0.544)      3423
  features.3.conv.1.0              Y      1296       671       654       654       17      (0.443,0.557)      (0.443,0.557)      1280
  features.3.conv.2                Y      3456      1789      1744      1744       45      (0.441,0.559)      (0.441,0.559)      3398
  features.4.conv.0.0              Y      3456      1789      1744      1744       45      (0.459,0.541)      (0.459,0.541)      3409
  features.4.conv.1.0              Y      1296       671       654       654       17      (0.454,0.546)      (0.454,0.546)      1257
  features.4.conv.2                Y      4608      2385      2326      2326       59      (0.465,0.535)      (0.465,0.535)      4530
  features.5.conv.0.0              Y      6144      3181      3101      3101       80      (0.444,0.556)      (0.444,0.556)      6083
  features.5.conv.1.0              Y      1728       894       872       872       22      (0.461,0.539)      (0.461,0.539)      1702
  features.5.conv.2                Y      6144      3181      3101      3101       80      (0.460,0.540)      (0.460,0.540)      6026
  features.6.conv.0.0              Y      6144      3181      3101      3101       80      (0.450,0.550)      (0.450,0.550)      6064
  features.6.conv.1.0              Y      1728       894       872       872       22      (0.474,0.526)      (0.474,0.526)      1695
  features.6.conv.2                Y      6144      3181      3101      3101       80      (0.460,0.540)      (0.460,0.540)      6028
  features.7.conv.0.0              Y      6144      3181      3101      3101       80      (0.451,0.549)      (0.451,0.549)      6061
  features.7.conv.1.0              Y      1728       894       872       872       22      (0.455,0.545)      (0.455,0.545)      1682
  features.7.conv.2                Y     12288      6362      6203      6203      159      (0.450,0.550)      (0.450,0.550)     12064
