================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 62
  prune_ratio  : 0.791893 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:36:20
  t_score      : 61.8s (그룹별 점수 pass)
  t_greedy     : 4.3s (greedy 선택)
  total_params        : 2192320
  active_before/after : 792773 / 783285
  sparsity_all        : 64.27% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 79.19% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.468,0.532)                  -         0
  features.1.conv.0.0              Y       288        61        59        59        2      (0.489,0.511)      (0.489,0.511)       117
  features.1.conv.1                Y       512       109       106       106        3      (0.470,0.530)      (0.471,0.529)       176
  features.2.conv.0.0              Y      1536       327       319       319        8      (0.457,0.543)      (0.457,0.543)       622
  features.2.conv.1.0              Y       864       184       179       179        5      (0.481,0.519)      (0.481,0.519)       349
  features.2.conv.2                Y      2304       491       479       479       12      (0.486,0.514)      (0.486,0.514)       934
  features.3.conv.0.0              Y      3456       737       719       719       18      (0.459,0.541)      (0.459,0.541)      1415
  features.3.conv.1.0              Y      1296       276       269       269        7      (0.486,0.514)      (0.486,0.514)       524
  features.3.conv.2                Y      3456       737       719       719       18      (0.480,0.520)      (0.480,0.520)      1421
  features.4.conv.0.0              Y      3456       737       719       719       18      (0.470,0.530)      (0.470,0.530)      1397
  features.4.conv.1.0              Y      1296       276       269       269        7      (0.478,0.522)      (0.478,0.522)       528
  features.4.conv.2                Y      4608       983       958       958       25      (0.470,0.530)      (0.470,0.530)      1890
  features.5.conv.0.0              Y      6144      1311      1278      1278       33      (0.465,0.535)      (0.465,0.535)      2516
  features.5.conv.1.0              Y      1728       368       359       359        9      (0.477,0.523)      (0.477,0.523)       687
  features.5.conv.2                Y      6144      1311      1278      1278       33      (0.474,0.526)      (0.474,0.526)      2506
  features.6.conv.0.0              Y      6144      1311      1278      1278       33      (0.451,0.549)      (0.451,0.549)      2535
  features.6.conv.1.0              Y      1728       368       359       359        9      (0.474,0.526)      (0.474,0.526)       359
