================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 90
  prune_ratio  : 0.897573 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 03:05:17
  t_score      : 61.9s (그룹별 점수 pass)
  t_greedy     : 2.5s (greedy 선택)
  total_params        : 2192320
  active_before/after : 599925 / 595237
  sparsity_all        : 72.85% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 89.76% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.395,0.605)                  -         0
  features.1.conv.0.0              Y       288        30        29        29        1      (0.411,0.589)      (0.411,0.589)        33
  features.1.conv.1                Y       512        53        52        52        1      (0.418,0.582)      (0.418,0.582)       100
  features.2.conv.0.0              Y      1536       161       157       157        4      (0.393,0.607)      (0.393,0.607)       281
  features.2.conv.1.0              Y       864        90        88        88        2      (0.407,0.593)      (0.407,0.593)       166
  features.2.conv.2                Y      2304       242       235       235        7      (0.398,0.602)      (0.397,0.603)       463
  features.3.conv.0.0              Y      3456       363       353       353       10      (0.394,0.606)      (0.394,0.606)       697
  features.3.conv.1.0              Y      1296       136       132       132        4      (0.405,0.595)      (0.405,0.595)       258
  features.3.conv.2                Y      3456       363       353       353       10      (0.384,0.616)      (0.384,0.616)       355
  features.4.conv.0.0              Y      3456       363       353       353       10      (0.406,0.594)      (0.406,0.594)       668
  features.4.conv.1.0              Y      1296       136       132       132        4      (0.390,0.610)      (0.390,0.610)       254
  features.4.conv.2                Y      4608       484       471       471       13      (0.386,0.614)      (0.386,0.614)       928
  features.5.conv.0.0              Y      6144       645       629       629       16      (0.407,0.593)      (0.407,0.593)      1195
  features.5.conv.1.0              Y      1728       181       176       176        5      (0.393,0.607)      (0.393,0.607)       178
  features.5.conv.2                Y      6144       645       629       629       16      (0.388,0.612)      (0.388,0.612)      1241
  features.6.conv.0.0              Y      6144       645       629       629       16      (0.401,0.599)      (0.401,0.599)      1245
  features.6.conv.1.0              Y      1728       181       176       176        5      (0.393,0.607)      (0.393,0.607)       347
  features.6.conv.2                Y      6144       645       629       629       16      (0.389,0.611)      (0.389,0.611)      1244
  features.7.conv.0.0              Y      6144       645       629       629       16      (0.405,0.595)      (0.405,0.595)      1039
  features.7.conv.1.0              Y      1728       181       176       176        5      (0.391,0.609)      (0.391,0.609)       345
  features.7.conv.2                Y     12288      1290      1258      1258       32      (0.384,0.616)      (0.384,0.616)      2496
  features.8.conv.0.0              Y     24576      2581      2517      2517       64      (0.406,0.594)      (0.406,0.594)      4986
  features.8.conv.1.0              Y      3456       363       353       353       10      (0.387,0.613)      (0.387,0.613)       613
  features.8.conv.2                Y     24576      2581      2517      2517       64      (0.388,0.612)      (0.388,0.612)      2521
  features.9.conv.0.0              Y     24576      2581      2517      2517       64      (0.412,0.588)      (0.412,0.588)      5021
  features.9.conv.1.0              Y      3456       363       353       353       10      (0.394,0.606)      (0.394,0.606)       680
  features.9.conv.2                Y     24576      2581      2517      2517       64      (0.390,0.610)      (0.390,0.610)      2519
  features.10.conv.0.0             Y     24576      2581      2517      2517       64      (0.418,0.582)      (0.418,0.582)      5004
  features.10.conv.1.0             Y      3456       363       353       353       10      (0.394,0.606)      (0.394,0.606)       690
  features.10.conv.2               Y     24576      2581      2517      2517       64      (0.391,0.609)      (0.391,0.609)      4999
  features.11.conv.0.0             Y     24576      2581      2517      2517       64      (0.408,0.592)      (0.408,0.592)      4938
  features.11.conv.1.0             Y      3456       363       353       353       10      (0.392,0.608)      (0.392,0.608)       695
  features.11.conv.2               Y     36864      3872      3775      3775       97      (0.389,0.611)      (0.389,0.611)      3777
  features.12.conv.0.0             Y     55296      5809      5663      5663      146      (0.412,0.588)      (0.412,0.588)     11185
  features.12.conv.1.0             Y      5184       544       530       530       14      (0.398,0.602)      (0.398,0.602)      1036
  features.12.conv.2               Y     55296      5809      5663      5663      146      (0.393,0.607)      (0.393,0.607)      5689
  features.13.conv.0.0             Y     55296      5809      5663      5663      146      (0.409,0.591)      (0.409,0.591)     11151
  features.13.conv.1.0             Y      5184       544       530       530       14      (0.389,0.611)      (0.389,0.611)       532
  features.13.conv.2               Y     55296      5809      5663      5663      146      (0.391,0.609)      (0.391,0.609)     11215
  features.14.conv.0.0             Y     55296      5809      5663      5663      146      (0.406,0.594)      (0.406,0.594)     10853
  features.14.conv.1.0             Y      5184       544       530       530       14      (0.401,0.599)      (0.401,0.599)      1046
  features.14.conv.2               Y     92160      9681      9439      9439      242      (0.396,0.604)      (0.396,0.604)     18680
  features.15.conv.0.0             Y    153600     16136     15732     15732      404      (0.411,0.589)      (0.411,0.589)     31103
  features.15.conv.1.0             Y      8640       907       884       884       23      (0.401,0.599)      (0.401,0.599)      1742
  features.15.conv.2               Y    153600     16136     15732     15732      404      (0.397,0.603)      (0.397,0.603)     15734
  features.16.conv.0.0             Y    153600     16136     15732     15732      404      (0.407,0.593)      (0.407,0.593)     30815
  features.16.conv.1.0             Y      8640       907       884       884       23      (0.405,0.595)      (0.405,0.595)      1755
  features.16.conv.2               Y    153600     16136     15732     15732      404      (0.394,0.606)      (0.394,0.606)     15736
  features.17.conv.0.0             Y    153600     16136     15732     15732      404      (0.393,0.607)      (0.393,0.607)     15742
  features.17.conv.1.0             Y      8640       907       884       884       23      (0.388,0.612)      (0.388,0.612)      1737
  features.17.conv.2               Y    307200     32272     31465     31465      807      (0.386,0.614)      (0.386,0.614)     59329
  features.18.0                    N    409600    409600    409600    409600        0      (0.403,0.597)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.389,0.611)                  -         0
