================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 63
  prune_ratio  : 0.797096 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:39:33
  t_score      : 62.6s (그룹별 점수 pass)
  t_greedy     : 4.6s (greedy 선택)
  total_params        : 2192320
  active_before/after : 783285 / 774025
  sparsity_all        : 64.69% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 79.71% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.389,0.611)                  -         0
  features.1.conv.0.0              Y       288        59        58        58        1      (0.447,0.553)      (0.447,0.553)       112
  features.1.conv.1                Y       512       106       103       103        3      (0.417,0.583)      (0.417,0.583)       195
  features.2.conv.0.0              Y      1536       319       311       311        8      (0.430,0.570)      (0.430,0.570)       605
  features.2.conv.1.0              Y       864       179       175       175        4      (0.448,0.552)      (0.448,0.552)       311
  features.2.conv.2                Y      2304       479       467       467       12      (0.453,0.547)      (0.453,0.547)       891
  features.3.conv.0.0              Y      3456       719       701       701       18      (0.444,0.556)      (0.444,0.556)      1370
  features.3.conv.1.0              Y      1296       269       262       262        7      (0.459,0.541)      (0.459,0.541)       262
  features.3.conv.2                Y      3456       719       701       701       18      (0.453,0.547)      (0.453,0.547)      1377
  features.4.conv.0.0              Y      3456       719       701       701       18      (0.445,0.555)      (0.445,0.555)      1370
  features.4.conv.1.0              Y      1296       269       262       262        7      (0.440,0.560)      (0.440,0.560)       498
  features.4.conv.2                Y      4608       958       934       934       24      (0.437,0.563)      (0.437,0.563)      1834
  features.5.conv.0.0              Y      6144      1278      1246      1246       32      (0.456,0.544)      (0.456,0.544)      2418
  features.5.conv.1.0              Y      1728       359       350       350        9      (0.447,0.553)      (0.447,0.553)       650
  features.5.conv.2                Y      6144      1278      1246      1246       32      (0.439,0.561)      (0.439,0.561)      2449
  features.6.conv.0.0              Y      6144      1278      1246      1246       32      (0.435,0.565)      (0.435,0.565)      2459
  features.6.conv.1.0              Y      1728       359       350       350        9      (0.465,0.535)      (0.465,0.535)       350
  features.6.conv.2                Y      6144      1278      1246      1246       32      (0.437,0.563)      (0.437,0.563)      2440
  features.7.conv.0.0              Y      6144      1278      1246      1246       32      (0.442,0.558)      (0.442,0.558)      2458
  features.7.conv.1.0              Y      1728       359       350       350        9      (0.436,0.564)      (0.436,0.564)       685
  features.7.conv.2                Y     12288      2557      2493      2493       64      (0.437,0.563)      (0.437,0.563)      4939
  features.8.conv.0.0              Y     24576      5114      4986      4986      128      (0.443,0.557)      (0.443,0.557)      9863
  features.8.conv.1.0              Y      3456       719       701       701       18      (0.439,0.561)      (0.439,0.561)      1383
  features.8.conv.2                Y     24576      5114      4986      4986      128      (0.439,0.561)      (0.439,0.561)      9829
  features.9.conv.0.0              Y     24576      5114      4986      4986      128      (0.438,0.562)      (0.438,0.562)      9847
  features.9.conv.1.0              Y      3456       719       701       701       18      (0.448,0.552)      (0.448,0.552)      1374
  features.9.conv.2                Y     24576      5114      4986      4986      128      (0.442,0.558)      (0.442,0.558)      9849
  features.10.conv.0.0             Y     24576      5114      4986      4986      128      (0.439,0.561)      (0.439,0.561)      9780
  features.10.conv.1.0             Y      3456       719       701       701       18      (0.449,0.551)      (0.449,0.551)      1368
  features.10.conv.2               Y     24576      5114      4986      4986      128      (0.445,0.555)      (0.445,0.555)      9794
  features.11.conv.0.0             Y     24576      5114      4986      4986      128      (0.436,0.564)      (0.436,0.564)      9757
  features.11.conv.1.0             Y      3456       719       701       701       18      (0.443,0.557)      (0.443,0.557)      1384
  features.11.conv.2               Y     36864      7671      7479      7479      192      (0.443,0.557)      (0.443,0.557)     14760
  features.12.conv.0.0             Y     55296     11507     11219     11219      288      (0.433,0.567)      (0.433,0.567)     22043
