================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 72
  prune_ratio  : 0.838441 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 02:08:24
  t_score      : 61.3s (그룹별 점수 pass)
  t_greedy     : 3.7s (greedy 선택)
  total_params        : 2192320
  active_before/after : 707830 / 700462
  sparsity_all        : 68.05% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 83.85% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.432,0.568)                  -         0
  features.1.conv.0.0              Y       288        47        46        46        1      (0.421,0.579)      (0.421,0.579)        88
  features.1.conv.1                Y       512        84        82        82        2      (0.420,0.580)      (0.420,0.580)       159
  features.2.conv.0.0              Y      1536       254       248       248        6      (0.414,0.586)      (0.414,0.586)       470
  features.2.conv.1.0              Y       864       143       139       139        4      (0.433,0.567)      (0.433,0.567)       249
  features.2.conv.2                Y      2304       381       372       372        9      (0.418,0.582)      (0.418,0.582)       731
  features.3.conv.0.0              Y      3456       572       558       558       14      (0.413,0.587)      (0.413,0.587)      1092
  features.3.conv.1.0              Y      1296       214       209       209        5      (0.430,0.570)      (0.430,0.570)       412
  features.3.conv.2                Y      3456       572       558       558       14      (0.425,0.575)      (0.425,0.575)      1095
  features.4.conv.0.0              Y      3456       572       558       558       14      (0.405,0.595)      (0.405,0.595)      1105
  features.4.conv.1.0              Y      1296       214       209       209        5      (0.413,0.587)      (0.413,0.587)       412
  features.4.conv.2                Y      4608       763       744       744       19      (0.405,0.595)      (0.405,0.595)      1430
  features.5.conv.0.0              Y      6144      1018       992       992       26      (0.440,0.560)      (0.440,0.560)      1955
  features.5.conv.1.0              Y      1728       286       279       279        7      (0.425,0.575)      (0.425,0.575)       547
  features.5.conv.2                Y      6144      1018       992       992       26      (0.415,0.585)      (0.415,0.585)      1964
  features.6.conv.0.0              Y      6144      1018       992       992       26      (0.398,0.602)      (0.398,0.602)      1916
