================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 50
  prune_ratio  : 0.718012 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 00:57:45
  t_score      : 61.3s (그룹별 점수 pass)
  t_greedy     : 5.4s (greedy 선택)
  total_params        : 2192320
  active_before/after : 927594 / 914742
  sparsity_all        : 58.28% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 71.80% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.441,0.559)                  -         0
  features.1.conv.0.0              Y       288        83        81        81        2      (0.460,0.540)      (0.460,0.540)       158
  features.1.conv.1                Y       512       148       144       144        4      (0.465,0.535)      (0.465,0.535)       281
  features.2.conv.0.0              Y      1536       444       433       433       11      (0.452,0.548)      (0.453,0.547)       849
  features.2.conv.1.0              Y       864       249       243       243        6      (0.454,0.546)      (0.454,0.546)       476
  features.2.conv.2                Y      2304       666       649       649       17      (0.454,0.546)      (0.454,0.546)      1266
  features.3.conv.0.0              Y      3456       999       974       974       25      (0.450,0.550)      (0.450,0.550)      1903
  features.3.conv.1.0              Y      1296       374       365       365        9      (0.455,0.545)      (0.455,0.545)       721
  features.3.conv.2                Y      3456       999       974       974       25      (0.463,0.537)      (0.463,0.537)      1907
  features.4.conv.0.0              Y      3456       999       974       974       25      (0.441,0.559)      (0.441,0.559)      1926
  features.4.conv.1.0              Y      1296       374       365       365        9      (0.453,0.547)      (0.453,0.547)       711
  features.4.conv.2                Y      4608      1332      1299      1299       33      (0.449,0.551)      (0.449,0.551)      2561
  features.5.conv.0.0              Y      6144      1776      1732      1732       44      (0.440,0.560)      (0.440,0.560)      3417
  features.5.conv.1.0              Y      1728       499       487       487       12      (0.447,0.553)      (0.447,0.553)       954
  features.5.conv.2                Y      6144      1776      1732      1732       44      (0.451,0.549)      (0.451,0.549)      3416
  features.6.conv.0.0              Y      6144      1776      1732      1732       44      (0.434,0.566)      (0.434,0.566)      3397
  features.6.conv.1.0              Y      1728       499       487       487       12      (0.472,0.528)      (0.472,0.528)       487
  features.6.conv.2                Y      6144      1776      1732      1732       44      (0.445,0.555)      (0.445,0.555)      3405
  features.7.conv.0.0              Y      6144      1776      1732      1732       44      (0.432,0.568)      (0.432,0.568)      3392
  features.7.conv.1.0              Y      1728       499       487       487       12      (0.437,0.563)      (0.437,0.563)       950
  features.7.conv.2                Y     12288      3553      3465      3465       88      (0.439,0.561)      (0.439,0.561)      6782
  features.8.conv.0.0              Y     24576      7107      6930      6930      177      (0.436,0.564)      (0.436,0.564)     13602
  features.8.conv.1.0              Y      3456       999       974       974       25      (0.433,0.567)      (0.433,0.567)      1927
  features.8.conv.2                Y     24576      7107      6930      6930      177      (0.437,0.563)      (0.437,0.563)     13594
  features.9.conv.0.0              Y     24576      7107      6930      6930      177      (0.434,0.566)      (0.434,0.566)     13580
  features.9.conv.1.0              Y      3456       999       974       974       25      (0.451,0.549)      (0.451,0.549)      1863
  features.9.conv.2                Y     24576      7107      6930      6930      177      (0.442,0.558)      (0.442,0.558)     13623
  features.10.conv.0.0             Y     24576      7107      6930      6930      177      (0.436,0.564)      (0.436,0.564)     13597
  features.10.conv.1.0             Y      3456       999       974       974       25      (0.443,0.557)      (0.443,0.557)      1908
  features.10.conv.2               Y     24576      7107      6930      6930      177      (0.443,0.557)      (0.443,0.557)     13578
  features.11.conv.0.0             Y     24576      7107      6930      6930      177      (0.431,0.569)      (0.431,0.569)     13604
  features.11.conv.1.0             Y      3456       999       974       974       25      (0.443,0.557)      (0.443,0.557)      1808
  features.11.conv.2               Y     36864     10661     10395     10395      266      (0.437,0.563)      (0.437,0.563)     20443
  features.12.conv.0.0             Y     55296     15992     15592     15592      400      (0.431,0.569)      (0.431,0.569)     30648
  features.12.conv.1.0             Y      5184      1499      1461      1461       38      (0.435,0.565)      (0.435,0.565)      2853
  features.12.conv.2               Y     55296     15992     15592     15592      400      (0.442,0.558)      (0.442,0.558)     30509
  features.13.conv.0.0             Y     55296     15992     15592     15592      400      (0.429,0.571)      (0.429,0.571)     30672
  features.13.conv.1.0             Y      5184      1499      1461      1461       38      (0.442,0.558)      (0.442,0.558)      2862
  features.13.conv.2               Y     55296     15992     15592     15592      400      (0.440,0.560)      (0.440,0.560)     30644
  features.14.conv.0.0             Y     55296     15992     15592     15592      400      (0.425,0.575)      (0.425,0.575)     30776
  features.14.conv.1.0             Y      5184      1499      1461      1461       38      (0.435,0.565)      (0.435,0.565)      2827
  features.14.conv.2               Y     92160     26654     25988     25988      666      (0.436,0.564)      (0.436,0.564)     51065
  features.15.conv.0.0             Y    153600     44423     43313     43313     1110      (0.422,0.578)      (0.422,0.578)     85612
  features.15.conv.1.0             Y      8640      2498      2436      2436       62      (0.429,0.571)      (0.429,0.571)      4795
  features.15.conv.2               Y    153600     44423     43313     43313     1110      (0.430,0.570)      (0.430,0.570)     85201
  features.16.conv.0.0             Y    153600     44423     43313     43313     1110      (0.414,0.586)      (0.414,0.586)     85314
  features.16.conv.1.0             Y      8640      2498      2436      2436       62      (0.426,0.574)      (0.426,0.574)      4800
  features.16.conv.2               Y    153600     44423     43313     43313     1110      (0.430,0.570)      (0.430,0.570)     85372
