================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 64
  prune_ratio  : 0.802169 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:42:43
  t_score      : 60.1s (그룹별 점수 pass)
  t_greedy     : 4.2s (greedy 선택)
  total_params        : 2192320
  active_before/after : 774025 / 764992
  sparsity_all        : 65.11% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 80.22% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.426,0.574)                  -         0
  features.1.conv.0.0              Y       288        58        56        56        2      (0.453,0.547)      (0.453,0.547)       102
  features.1.conv.1                Y       512       103       101       101        2      (0.467,0.533)      (0.467,0.533)       101
  features.2.conv.0.0              Y      1536       311       303       303        8      (0.443,0.557)      (0.443,0.557)       591
  features.2.conv.1.0              Y       864       175       170       170        5      (0.418,0.582)      (0.418,0.582)       333
  features.2.conv.2                Y      2304       467       455       455       12      (0.437,0.563)      (0.437,0.563)       874
  features.3.conv.0.0              Y      3456       701       683       683       18      (0.439,0.561)      (0.439,0.561)      1343
  features.3.conv.1.0              Y      1296       262       256       256        6      (0.436,0.564)      (0.436,0.564)       499
  features.3.conv.2                Y      3456       701       683       683       18      (0.441,0.559)      (0.441,0.559)      1329
  features.4.conv.0.0              Y      3456       701       683       683       18      (0.438,0.562)      (0.438,0.562)      1341
  features.4.conv.1.0              Y      1296       262       256       256        6      (0.441,0.559)      (0.441,0.559)       501
  features.4.conv.2                Y      4608       934       911       911       23      (0.429,0.571)      (0.429,0.571)      1763
  features.5.conv.0.0              Y      6144      1246      1215      1215       31      (0.440,0.560)      (0.440,0.560)      2412
  features.5.conv.1.0              Y      1728       350       341       341        9      (0.435,0.565)      (0.435,0.565)       660
  features.5.conv.2                Y      6144      1246      1215      1215       31      (0.434,0.566)      (0.434,0.566)      2408
  features.6.conv.0.0              Y      6144      1246      1215      1215       31      (0.431,0.569)      (0.431,0.569)      2391
  features.6.conv.1.0              Y      1728       350       341       341        9      (0.434,0.566)      (0.434,0.566)       672
  features.6.conv.2                Y      6144      1246      1215      1215       31      (0.428,0.572)      (0.428,0.572)      2410
  features.7.conv.0.0              Y      6144      1246      1215      1215       31      (0.436,0.564)      (0.436,0.564)      2391
  features.7.conv.1.0              Y      1728       350       341       341        9      (0.428,0.572)      (0.428,0.572)       668
  features.7.conv.2                Y     12288      2493      2430      2430       63      (0.432,0.568)      (0.432,0.568)      4776
  features.8.conv.0.0              Y     24576      4986      4861      4861      125      (0.436,0.564)      (0.436,0.564)      9637
  features.8.conv.1.0              Y      3456       701       683       683       18      (0.425,0.575)      (0.425,0.575)      1299
  features.8.conv.2                Y     24576      4986      4861      4861      125      (0.430,0.570)      (0.430,0.570)      9584
  features.9.conv.0.0              Y     24576      4986      4861      4861      125      (0.436,0.564)      (0.436,0.564)      9564
  features.9.conv.1.0              Y      3456       701       683       683       18      (0.432,0.568)      (0.432,0.568)      1339
  features.9.conv.2                Y     24576      4986      4861      4861      125      (0.428,0.572)      (0.428,0.572)      9602
  features.10.conv.0.0             Y     24576      4986      4861      4861      125      (0.430,0.570)      (0.430,0.570)      9524
  features.10.conv.1.0             Y      3456       701       683       683       18      (0.434,0.566)      (0.434,0.566)      1342
  features.10.conv.2               Y     24576      4986      4861      4861      125      (0.428,0.572)      (0.428,0.572)      9599
  features.11.conv.0.0             Y     24576      4986      4861      4861      125      (0.432,0.568)      (0.432,0.568)      9583
  features.11.conv.1.0             Y      3456       701       683       683       18      (0.433,0.567)      (0.433,0.567)      1345
  features.11.conv.2               Y     36864      7479      7292      7292      187      (0.428,0.572)      (0.428,0.572)     14432
  features.12.conv.0.0             Y     55296     11219     10939     10939      280      (0.429,0.571)      (0.429,0.571)     21569
  features.12.conv.1.0             Y      5184      1051      1025      1025       26      (0.424,0.576)      (0.424,0.576)      2030
  features.12.conv.2               Y     55296     11219     10939     10939      280      (0.427,0.573)      (0.427,0.573)     21561
  features.13.conv.0.0             Y     55296     11219     10939     10939      280      (0.426,0.574)      (0.426,0.574)     21622
  features.13.conv.1.0             Y      5184      1051      1025      1025       26      (0.427,0.573)      (0.427,0.573)      2025
  features.13.conv.2               Y     55296     11219     10939     10939      280      (0.431,0.569)      (0.431,0.569)     21629
  features.14.conv.0.0             Y     55296     11219     10939     10939      280      (0.425,0.575)      (0.425,0.575)     21596
