================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 36
  prune_ratio  : 0.598055 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 00:12:27
  t_score      : 60.2s (그룹별 점수 pass)
  t_greedy     : 7.0s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1146511 / 1128178
  sparsity_all        : 48.54% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 59.81% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.449,0.551)                  -         0
  features.1.conv.0.0              Y       288       118       115       115        3      (0.404,0.596)      (0.404,0.596)       223
  features.1.conv.1                Y       512       211       205       205        6      (0.411,0.589)      (0.411,0.589)       388
  features.2.conv.0.0              Y      1536       633       617       617       16      (0.407,0.593)      (0.407,0.593)      1196
  features.2.conv.1.0              Y       864       356       347       347        9      (0.393,0.607)      (0.393,0.607)       677
  features.2.conv.2                Y      2304       949       926       926       23      (0.398,0.602)      (0.398,0.602)      1797
  features.3.conv.0.0              Y      3456      1424      1389      1389       35      (0.424,0.576)      (0.424,0.576)      2700
  features.3.conv.1.0              Y      1296       534       520       520       14      (0.396,0.604)      (0.396,0.604)      1015
  features.3.conv.2                Y      3456      1424      1389      1389       35      (0.392,0.608)      (0.392,0.608)      1391
  features.4.conv.0.0              Y      3456      1424      1389      1389       35      (0.418,0.582)      (0.418,0.582)      2718
  features.4.conv.1.0              Y      1296       534       520       520       14      (0.410,0.590)      (0.410,0.590)      1003
