================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 80
  prune_ratio  : 0.868062 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 02:33:38
  t_score      : 61.0s (그룹별 점수 pass)
  t_greedy     : 3.2s (greedy 선택)
  total_params        : 2192320
  active_before/after : 653772 / 647743
  sparsity_all        : 70.45% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 86.81% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.419,0.581)                  -         0
  features.1.conv.0.0              Y       288        38        37        37        1      (0.432,0.568)      (0.432,0.568)        73
  features.1.conv.1                Y       512        69        67        67        2      (0.406,0.594)      (0.406,0.594)       127
  features.2.conv.0.0              Y      1536       207       202       202        5      (0.441,0.559)      (0.441,0.559)       400
  features.2.conv.1.0              Y       864       116       113       113        3      (0.473,0.527)      (0.473,0.527)       209
  features.2.conv.2                Y      2304       311       303       303        8      (0.458,0.542)      (0.458,0.542)       597
  features.3.conv.0.0              Y      3456       467       455       455       12      (0.468,0.532)      (0.468,0.532)       904
  features.3.conv.1.0              Y      1296       175       170       170        5      (0.449,0.551)      (0.449,0.551)       336
  features.3.conv.2                Y      3456       467       455       455       12      (0.457,0.543)      (0.457,0.543)       871
  features.4.conv.0.0              Y      3456       467       455       455       12      (0.458,0.542)      (0.458,0.542)       896
  features.4.conv.1.0              Y      1296       175       170       170        5      (0.472,0.528)      (0.472,0.528)       328
  features.4.conv.2                Y      4608       623       607       607       16      (0.455,0.545)      (0.455,0.545)      1203
  features.5.conv.0.0              Y      6144       831       810       810       21      (0.470,0.530)      (0.470,0.530)      1550
  features.5.conv.1.0              Y      1728       233       227       227        6      (0.451,0.549)      (0.451,0.549)       445
  features.5.conv.2                Y      6144       831       810       810       21      (0.457,0.543)      (0.457,0.543)      1595
  features.6.conv.0.0              Y      6144       831       810       810       21      (0.454,0.546)      (0.454,0.546)      1593
  features.6.conv.1.0              Y      1728       233       227       227        6      (0.451,0.549)      (0.451,0.549)       439
  features.6.conv.2                Y      6144       831       810       810       21      (0.455,0.545)      (0.455,0.545)      1611
  features.7.conv.0.0              Y      6144       831       810       810       21      (0.453,0.547)      (0.453,0.547)      1598
  features.7.conv.1.0              Y      1728       233       227       227        6      (0.455,0.545)      (0.455,0.545)       440
