================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 86
  prune_ratio  : 0.886656 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 02:52:42
  t_score      : 61.8s (그룹별 점수 pass)
  t_greedy     : 3.0s (greedy 선택)
  total_params        : 2192320
  active_before/after : 619835 / 614669
  sparsity_all        : 71.96% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 88.67% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.419,0.581)                  -         0
  features.1.conv.0.0              Y       288        33        32        32        1      (0.463,0.537)      (0.463,0.537)        48
  features.1.conv.1                Y       512        59        58        58        1      (0.431,0.569)      (0.431,0.569)       108
  features.2.conv.0.0              Y      1536       178       174       174        4      (0.435,0.565)      (0.435,0.565)       344
  features.2.conv.1.0              Y       864       100        97        97        3      (0.447,0.553)      (0.447,0.553)       175
  features.2.conv.2                Y      2304       267       261       261        6      (0.449,0.551)      (0.449,0.551)       283
  features.3.conv.0.0              Y      3456       401       391       391       10      (0.437,0.563)      (0.437,0.563)       771
  features.3.conv.1.0              Y      1296       150       146       146        4      (0.451,0.549)      (0.451,0.549)       146
  features.3.conv.2                Y      3456       401       391       391       10      (0.446,0.554)      (0.446,0.554)       391
  features.4.conv.0.0              Y      3456       401       391       391       10      (0.447,0.553)      (0.447,0.553)       773
  features.4.conv.1.0              Y      1296       150       146       146        4      (0.442,0.558)      (0.442,0.558)       280
  features.4.conv.2                Y      4608       535       522       522       13      (0.449,0.551)      (0.449,0.551)      1034
  features.5.conv.0.0              Y      6144       714       696       696       18      (0.455,0.545)      (0.455,0.545)      1388
  features.5.conv.1.0              Y      1728       200       195       195        5      (0.457,0.543)      (0.457,0.543)       388
  features.5.conv.2                Y      6144       714       696       696       18      (0.451,0.549)      (0.451,0.549)      1335
  features.6.conv.0.0              Y      6144       714       696       696       18      (0.449,0.551)      (0.449,0.551)      1364
  features.6.conv.1.0              Y      1728       200       195       195        5      (0.442,0.558)      (0.442,0.558)       379
  features.6.conv.2                Y      6144       714       696       696       18      (0.454,0.546)      (0.454,0.546)       702
  features.7.conv.0.0              Y      6144       714       696       696       18      (0.447,0.553)      (0.447,0.553)      1348
  features.7.conv.1.0              Y      1728       200       195       195        5      (0.449,0.551)      (0.449,0.551)       379
