================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 88
  prune_ratio  : 0.892253 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 02:59:00
  t_score      : 59.5s (그룹별 점수 pass)
  t_greedy     : 2.8s (greedy 선택)
  total_params        : 2192320
  active_before/after : 609616 / 604702
  sparsity_all        : 72.42% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 89.23% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.459,0.541)                  -         0
  features.1.conv.0.0              Y       288        31        31        31        0      (0.483,0.517)      (0.483,0.517)        59
  features.1.conv.1                Y       512        56        55        55        1      (0.496,0.504)      (0.496,0.504)        55
  features.2.conv.0.0              Y      1536       169       165       165        4      (0.435,0.565)      (0.435,0.565)       315
  features.2.conv.1.0              Y       864        95        93        93        2      (0.435,0.565)      (0.435,0.565)       167
  features.2.conv.2                Y      2304       254       248       248        6      (0.436,0.564)      (0.436,0.564)       466
  features.3.conv.0.0              Y      3456       381       372       372        9      (0.440,0.560)      (0.440,0.560)       732
  features.3.conv.1.0              Y      1296       143       139       139        4      (0.442,0.558)      (0.442,0.558)       273
  features.3.conv.2                Y      3456       381       372       372        9      (0.435,0.565)      (0.435,0.565)       374
  features.4.conv.0.0              Y      3456       381       372       372        9      (0.444,0.556)      (0.444,0.556)       732
  features.4.conv.1.0              Y      1296       143       139       139        4      (0.422,0.578)      (0.422,0.578)       141
  features.4.conv.2                Y      4608       509       496       496       13      (0.435,0.565)      (0.435,0.565)       980
  features.5.conv.0.0              Y      6144       678       661       661       17      (0.451,0.549)      (0.451,0.549)      1267
  features.5.conv.1.0              Y      1728       190       186       186        4      (0.445,0.555)      (0.445,0.555)       362
  features.5.conv.2                Y      6144       678       661       661       17      (0.435,0.565)      (0.435,0.565)      1273
  features.6.conv.0.0              Y      6144       678       661       661       17      (0.443,0.557)      (0.443,0.557)      1315
  features.6.conv.1.0              Y      1728       190       186       186        4      (0.444,0.556)      (0.444,0.556)       366
  features.6.conv.2                Y      6144       678       661       661       17      (0.434,0.566)      (0.434,0.566)      1311
  features.7.conv.0.0              Y      6144       678       661       661       17      (0.440,0.560)      (0.440,0.560)      1315
  features.7.conv.1.0              Y      1728       190       186       186        4      (0.431,0.569)      (0.431,0.569)       352
  features.7.conv.2                Y     12288      1357      1323      1323       34      (0.432,0.568)      (0.432,0.568)      2601
  features.8.conv.0.0              Y     24576      2715      2647      2647       68      (0.439,0.561)      (0.439,0.561)      5243
  features.8.conv.1.0              Y      3456       381       372       372        9      (0.426,0.574)      (0.426,0.574)       739
  features.8.conv.2                Y     24576      2715      2647      2647       68      (0.430,0.570)      (0.430,0.570)      5246
  features.9.conv.0.0              Y     24576      2715      2647      2647       68      (0.438,0.562)      (0.438,0.562)      5231
  features.9.conv.1.0              Y      3456       381       372       372        9      (0.437,0.563)      (0.437,0.563)       712
  features.9.conv.2                Y     24576      2715      2647      2647       68      (0.433,0.567)      (0.433,0.567)      5241
  features.10.conv.0.0             Y     24576      2715      2647      2647       68      (0.446,0.554)      (0.446,0.554)      5234
  features.10.conv.1.0             Y      3456       381       372       372        9      (0.433,0.567)      (0.433,0.567)       708
  features.10.conv.2               Y     24576      2715      2647      2647       68      (0.435,0.565)      (0.435,0.565)      5198
  features.11.conv.0.0             Y     24576      2715      2647      2647       68      (0.436,0.564)      (0.436,0.564)      5243
  features.11.conv.1.0             Y      3456       381       372       372        9      (0.434,0.566)      (0.434,0.566)       736
  features.11.conv.2               Y     36864      4073      3971      3971      102      (0.433,0.567)      (0.433,0.567)      7135
  features.12.conv.0.0             Y     55296      6110      5957      5957      153      (0.440,0.560)      (0.440,0.560)     11838
  features.12.conv.1.0             Y      5184       572       558       558       14      (0.437,0.563)      (0.437,0.563)      1099
  features.12.conv.2               Y     55296      6110      5957      5957      153      (0.437,0.563)      (0.437,0.563)     11812
  features.13.conv.0.0             Y     55296      6110      5957      5957      153      (0.437,0.563)      (0.437,0.563)     11790
  features.13.conv.1.0             Y      5184       572       558       558       14      (0.436,0.564)      (0.436,0.564)      1108
  features.13.conv.2               Y     55296      6110      5957      5957      153      (0.435,0.565)      (0.435,0.565)     11776
  features.14.conv.0.0             Y     55296      6110      5957      5957      153      (0.431,0.569)      (0.431,0.569)     11845
  features.14.conv.1.0             Y      5184       572       558       558       14      (0.431,0.569)      (0.431,0.569)      1105
  features.14.conv.2               Y     92160     10184      9929      9929      255      (0.429,0.571)      (0.429,0.571)     19571
  features.15.conv.0.0             Y    153600     16974     16549     16549      425      (0.429,0.571)      (0.429,0.571)     32873
  features.15.conv.1.0             Y      8640       954       930       930       24      (0.430,0.570)      (0.430,0.570)      1843
  features.15.conv.2               Y    153600     16974     16549     16549      425      (0.429,0.571)      (0.429,0.571)     32896
  features.16.conv.0.0             Y    153600     16974     16549     16549      425      (0.428,0.572)      (0.428,0.572)     32779
  features.16.conv.1.0             Y      8640       954       930       930       24      (0.429,0.571)      (0.429,0.571)      1847
  features.16.conv.2               Y    153600     16974     16549     16549      425      (0.432,0.568)      (0.432,0.568)     32692
  features.17.conv.0.0             Y    153600     16974     16549     16549      425      (0.424,0.576)      (0.424,0.576)     32905
  features.17.conv.1.0             Y      8640       954       930       930       24      (0.425,0.575)      (0.425,0.575)      1841
  features.17.conv.2               Y    307200     33948     33099     33099      849      (0.428,0.572)      (0.429,0.571)     33107
  features.18.0                    N    409600    409600    409600    409600        0      (0.423,0.577)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.426,0.574)                  -         0
