================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 52
  prune_ratio  : 0.731935 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:04:06
  t_score      : 60.1s (그룹별 점수 pass)
  t_greedy     : 5.1s (greedy 선택)
  total_params        : 2192320
  active_before/after : 902197 / 889958
  sparsity_all        : 59.41% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 73.20% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.409,0.591)                  -         0
  features.1.conv.0.0              Y       288        79        77        77        2      (0.427,0.573)      (0.427,0.573)       149
  features.1.conv.1                Y       512       140       137       137        3      (0.420,0.580)      (0.420,0.580)       267
  features.2.conv.0.0              Y      1536       422       411       411       11      (0.431,0.569)      (0.431,0.569)       807
  features.2.conv.1.0              Y       864       237       231       231        6      (0.401,0.599)      (0.401,0.599)       233
  features.2.conv.2                Y      2304       633       617       617       16      (0.423,0.577)      (0.423,0.577)      1200
  features.3.conv.0.0              Y      3456       950       926       926       24      (0.428,0.572)      (0.428,0.572)      1833
  features.3.conv.1.0              Y      1296       356       347       347        9      (0.446,0.554)      (0.446,0.554)       679
  features.3.conv.2                Y      3456       950       926       926       24      (0.422,0.578)      (0.422,0.578)      1815
  features.4.conv.0.0              Y      3456       950       926       926       24      (0.430,0.570)      (0.430,0.570)      1820
  features.4.conv.1.0              Y      1296       356       347       347        9      (0.419,0.581)      (0.419,0.581)       690
  features.4.conv.2                Y      4608      1266      1235      1235       31      (0.416,0.584)      (0.416,0.584)      2419
  features.5.conv.0.0              Y      6144      1689      1646      1646       43      (0.431,0.569)      (0.431,0.569)      3232
  features.5.conv.1.0              Y      1728       475       463       463       12      (0.410,0.590)      (0.410,0.590)       465
  features.5.conv.2                Y      6144      1689      1646      1646       43      (0.416,0.584)      (0.416,0.584)      3226
  features.6.conv.0.0              Y      6144      1689      1646      1646       43      (0.420,0.580)      (0.420,0.580)      3233
  features.6.conv.1.0              Y      1728       475       463       463       12      (0.406,0.594)      (0.406,0.594)       875
  features.6.conv.2                Y      6144      1689      1646      1646       43      (0.416,0.584)      (0.416,0.584)      3226
  features.7.conv.0.0              Y      6144      1689      1646      1646       43      (0.421,0.579)      (0.421,0.579)      3216
  features.7.conv.1.0              Y      1728       475       463       463       12      (0.417,0.583)      (0.417,0.583)       903
  features.7.conv.2                Y     12288      3378      3293      3293       85      (0.417,0.583)      (0.417,0.583)      6461
  features.8.conv.0.0              Y     24576      6756      6587      6587      169      (0.427,0.573)      (0.427,0.573)     12931
  features.8.conv.1.0              Y      3456       950       926       926       24      (0.418,0.582)      (0.418,0.582)      1819
  features.8.conv.2                Y     24576      6756      6587      6587      169      (0.418,0.582)      (0.418,0.582)     12995
  features.9.conv.0.0              Y     24576      6756      6587      6587      169      (0.426,0.574)      (0.426,0.574)     12943
  features.9.conv.1.0              Y      3456       950       926       926       24      (0.421,0.579)      (0.421,0.579)      1824
  features.9.conv.2                Y     24576      6756      6587      6587      169      (0.417,0.583)      (0.417,0.583)     12953
  features.10.conv.0.0             Y     24576      6756      6587      6587      169      (0.430,0.570)      (0.430,0.570)     12956
  features.10.conv.1.0             Y      3456       950       926       926       24      (0.422,0.578)      (0.422,0.578)      1830
  features.10.conv.2               Y     24576      6756      6587      6587      169      (0.419,0.581)      (0.419,0.581)     13011
  features.11.conv.0.0             Y     24576      6756      6587      6587      169      (0.419,0.581)      (0.419,0.581)     12926
  features.11.conv.1.0             Y      3456       950       926       926       24      (0.419,0.581)      (0.419,0.581)      1833
  features.11.conv.2               Y     36864     10135      9881      9881      254      (0.414,0.586)      (0.414,0.586)     19449
  features.12.conv.0.0             Y     55296     15202     14822     14822      380      (0.421,0.579)      (0.421,0.579)     29173
  features.12.conv.1.0             Y      5184      1425      1389      1389       36      (0.411,0.589)      (0.411,0.589)      2736
  features.12.conv.2               Y     55296     15202     14822     14822      380      (0.417,0.583)      (0.417,0.583)     29176
  features.13.conv.0.0             Y     55296     15202     14822     14822      380      (0.418,0.582)      (0.418,0.582)     29123
