================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 15
  prune_ratio  : 0.315979 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 23:03:59
  t_score      : 60.3s (그룹별 점수 pass)
  t_greedy     : 10.5s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1661282 / 1630064
  sparsity_all        : 25.65% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 31.60% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.376,0.624)                  -         0
  features.1.conv.0.0              Y       288       202       196       196        6      (0.481,0.519)      (0.481,0.519)       202
  features.1.conv.1                Y       512       359       350       350        9      (0.452,0.548)      (0.452,0.548)       504
  features.2.conv.0.0              Y      1536      1077      1050      1050       27      (0.398,0.602)      (0.398,0.602)      2062
  features.2.conv.1.0              Y       864       606       590       590       16      (0.417,0.583)      (0.417,0.583)      1134
  features.2.conv.2                Y      2304      1616      1575      1575       41      (0.415,0.585)      (0.415,0.585)      3088
  features.3.conv.0.0              Y      3456      2424      2363      2363       61      (0.412,0.588)      (0.412,0.588)      4634
  features.3.conv.1.0              Y      1296       909       886       886       23      (0.406,0.594)      (0.406,0.594)      1701
  features.3.conv.2                Y      3456      2424      2363      2363       61      (0.427,0.573)      (0.427,0.573)      4631
  features.4.conv.0.0              Y      3456      2424      2363      2363       61      (0.417,0.583)      (0.417,0.583)      4649
  features.4.conv.1.0              Y      1296       909       886       886       23      (0.392,0.608)      (0.392,0.608)      1655
  features.4.conv.2                Y      4608      3232      3151      3151       81      (0.415,0.585)      (0.415,0.585)      6204
  features.5.conv.0.0              Y      6144      4310      4202      4202      108      (0.409,0.591)      (0.409,0.591)      8265
  features.5.conv.1.0              Y      1728      1212      1181      1181       31      (0.393,0.607)      (0.393,0.607)      2306
  features.5.conv.2                Y      6144      4310      4202      4202      108      (0.398,0.602)      (0.398,0.602)      8225
