================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 60
  prune_ratio  : 0.781084 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:30:02
  t_score      : 60.6s (그룹별 점수 pass)
  t_greedy     : 4.8s (greedy 선택)
  total_params        : 2192320
  active_before/after : 812496 / 802523
  sparsity_all        : 63.39% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 78.11% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.424,0.576)                  -         0
  features.1.conv.0.0              Y       288        64        63        63        1      (0.456,0.544)      (0.456,0.544)       124
  features.1.conv.1                Y       512       114       112       112        2      (0.419,0.581)      (0.419,0.581)       210
  features.2.conv.0.0              Y      1536       344       336       336        8      (0.418,0.582)      (0.418,0.582)       661
  features.2.conv.1.0              Y       864       193       189       189        4      (0.422,0.578)      (0.422,0.578)       373
  features.2.conv.2                Y      2304       517       504       504       13      (0.431,0.569)      (0.431,0.569)       991
  features.3.conv.0.0              Y      3456       775       756       756       19      (0.429,0.571)      (0.429,0.571)      1489
  features.3.conv.1.0              Y      1296       290       283       283        7      (0.423,0.577)      (0.423,0.577)       555
  features.3.conv.2                Y      3456       775       756       756       19      (0.431,0.569)      (0.431,0.569)      1473
  features.4.conv.0.0              Y      3456       775       756       756       19      (0.425,0.575)      (0.425,0.575)      1492
  features.4.conv.1.0              Y      1296       290       283       283        7      (0.436,0.564)      (0.436,0.564)       560
  features.4.conv.2                Y      4608      1034      1008      1008       26      (0.423,0.577)      (0.423,0.577)      1010
  features.5.conv.0.0              Y      6144      1379      1345      1345       34      (0.430,0.570)      (0.430,0.570)      2643
  features.5.conv.1.0              Y      1728       387       378       378        9      (0.425,0.575)      (0.425,0.575)       744
  features.5.conv.2                Y      6144      1379      1345      1345       34      (0.426,0.574)      (0.426,0.574)      2611
  features.6.conv.0.0              Y      6144      1379      1345      1345       34      (0.431,0.569)      (0.431,0.569)      2644
  features.6.conv.1.0              Y      1728       387       378       378        9      (0.423,0.577)      (0.423,0.577)       739
  features.6.conv.2                Y      6144      1379      1345      1345       34      (0.419,0.581)      (0.419,0.581)      2591
  features.7.conv.0.0              Y      6144      1379      1345      1345       34      (0.427,0.573)      (0.427,0.573)      2645
  features.7.conv.1.0              Y      1728       387       378       378        9      (0.424,0.576)      (0.424,0.576)       582
  features.7.conv.2                Y     12288      2759      2690      2690       69      (0.420,0.580)      (0.420,0.580)      5304
  features.8.conv.0.0              Y     24576      5518      5380      5380      138      (0.437,0.563)      (0.437,0.563)     10530
  features.8.conv.1.0              Y      3456       775       756       756       19      (0.425,0.575)      (0.425,0.575)      1473
  features.8.conv.2                Y     24576      5518      5380      5380      138      (0.426,0.574)      (0.426,0.574)     10527
  features.9.conv.0.0              Y     24576      5518      5380      5380      138      (0.431,0.569)      (0.431,0.569)     10552
  features.9.conv.1.0              Y      3456       775       756       756       19      (0.424,0.576)      (0.424,0.576)      1489
  features.9.conv.2                Y     24576      5518      5380      5380      138      (0.426,0.574)      (0.426,0.574)     10589
  features.10.conv.0.0             Y     24576      5518      5380      5380      138      (0.430,0.570)      (0.430,0.570)     10586
  features.10.conv.1.0             Y      3456       775       756       756       19      (0.439,0.561)      (0.439,0.561)      1484
  features.10.conv.2               Y     24576      5518      5380      5380      138      (0.424,0.576)      (0.424,0.576)     10484
  features.11.conv.0.0             Y     24576      5518      5380      5380      138      (0.430,0.570)      (0.430,0.570)     10571
  features.11.conv.1.0             Y      3456       775       756       756       19      (0.420,0.580)      (0.420,0.580)      1493
  features.11.conv.2               Y     36864      8277      8070      8070      207      (0.420,0.580)      (0.420,0.580)     15792
  features.12.conv.0.0             Y     55296     12415     12105     12105      310      (0.427,0.573)      (0.427,0.573)     23827
  features.12.conv.1.0             Y      5184      1163      1134      1134       29      (0.422,0.578)      (0.422,0.578)      2242
  features.12.conv.2               Y     55296     12415     12105     12105      310      (0.422,0.578)      (0.422,0.578)     23859
  features.13.conv.0.0             Y     55296     12415     12105     12105      310      (0.425,0.575)      (0.425,0.575)     23836
  features.13.conv.1.0             Y      5184      1163      1134      1134       29      (0.422,0.578)      (0.422,0.578)      2251
  features.13.conv.2               Y     55296     12415     12105     12105      310      (0.425,0.575)      (0.425,0.575)     23923
  features.14.conv.0.0             Y     55296     12415     12105     12105      310      (0.424,0.576)      (0.424,0.576)     23774
  features.14.conv.1.0             Y      5184      1163      1134      1134       29      (0.426,0.574)      (0.426,0.574)      2230
  features.14.conv.2               Y     92160     20692     20175     20175      517      (0.426,0.574)      (0.426,0.574)     39935
  features.15.conv.0.0             Y    153600     34487     33625     33625      862      (0.425,0.575)      (0.425,0.575)     66613
  features.15.conv.1.0             Y      8640      1939      1891      1891       48      (0.422,0.578)      (0.422,0.578)      3724
  features.15.conv.2               Y    153600     34487     33625     33625      862      (0.423,0.577)      (0.423,0.577)     66486
  features.16.conv.0.0             Y    153600     34487     33625     33625      862      (0.422,0.578)      (0.422,0.578)     66631
  features.16.conv.1.0             Y      8640      1939      1891      1891       48      (0.425,0.575)      (0.425,0.575)      3732
  features.16.conv.2               Y    153600     34487     33625     33625      862      (0.422,0.578)      (0.422,0.578)     66686
  features.17.conv.0.0             Y    153600     34487     33625     33625      862      (0.418,0.582)      (0.418,0.582)     66745
  features.17.conv.1.0             Y      8640      1939      1891      1891       48      (0.416,0.584)      (0.416,0.584)      3727
  features.17.conv.2               Y    307200     68975     67250     67250     1725      (0.415,0.585)      (0.415,0.585)    130229
  features.18.0                    N    409600    409600    409600    409600        0      (0.421,0.579)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.411,0.589)                  -         0
