================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 3
  prune_ratio  : 0.073141 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 22:24:17
  t_score      : 62.8s (그룹별 점수 pass)
  t_greedy     : 14.6s (greedy 선택)
  total_params        : 2192320
  active_before/after : 2104446 / 2062156
  sparsity_all        : 5.94% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 7.32% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.367,0.633)                  -         0
  features.1.conv.0.0              Y       288       273       266       266        7      (0.374,0.626)      (0.374,0.626)       472
  features.1.conv.1                Y       512       486       474       474       12      (0.388,0.612)      (0.388,0.612)       860
  features.2.conv.0.0              Y      1536      1460      1423      1423       37      (0.384,0.616)      (0.384,0.616)      2829
  features.2.conv.1.0              Y       864       821       800       800       21      (0.353,0.647)      (0.353,0.647)      1583
  features.2.conv.2                Y      2304      2190      2135      2135       55      (0.384,0.616)      (0.384,0.616)      4214
  features.3.conv.0.0              Y      3456      3285      3203      3203       82      (0.396,0.604)      (0.396,0.604)      6325
  features.3.conv.1.0              Y      1296      1232      1201      1201       31      (0.385,0.615)      (0.385,0.615)      2389
  features.3.conv.2                Y      3456      3285      3203      3203       82      (0.390,0.610)      (0.390,0.610)      6339
  features.4.conv.0.0              Y      3456      3285      3203      3203       82      (0.386,0.614)      (0.386,0.614)      6275
  features.4.conv.1.0              Y      1296      1232      1201      1201       31      (0.355,0.645)      (0.355,0.645)      1203
  features.4.conv.2                Y      4608      4380      4270      4270      110      (0.385,0.615)      (0.385,0.615)      8502
  features.5.conv.0.0              Y      6144      5840      5694      5694      146      (0.388,0.612)      (0.388,0.612)     11350
  features.5.conv.1.0              Y      1728      1642      1601      1601       41      (0.395,0.605)      (0.395,0.605)      3183
  features.5.conv.2                Y      6144      5840      5694      5694      146      (0.385,0.615)      (0.385,0.615)     11336
  features.6.conv.0.0              Y      6144      5840      5694      5694      146      (0.387,0.613)      (0.387,0.613)     11341
  features.6.conv.1.0              Y      1728      1642      1601      1601       41      (0.355,0.645)      (0.355,0.645)      1603
  features.6.conv.2                Y      6144      5840      5694      5694      146      (0.383,0.617)      (0.383,0.617)     11352
  features.7.conv.0.0              Y      6144      5840      5694      5694      146      (0.377,0.623)      (0.377,0.623)     11308
  features.7.conv.1.0              Y      1728      1642      1601      1601       41      (0.386,0.614)      (0.386,0.614)      3168
  features.7.conv.2                Y     12288     11681     11389     11389      292      (0.377,0.623)      (0.377,0.623)     22669
  features.8.conv.0.0              Y     24576     23362     22778     22778      584      (0.390,0.610)      (0.390,0.610)     45338
  features.8.conv.1.0              Y      3456      3285      3203      3203       82      (0.375,0.625)      (0.375,0.625)      6371
  features.8.conv.2                Y     24576     23362     22778     22778      584      (0.380,0.620)      (0.380,0.620)     45338
  features.9.conv.0.0              Y     24576     23362     22778     22778      584      (0.383,0.617)      (0.383,0.617)     45184
  features.9.conv.1.0              Y      3456      3285      3203      3203       82      (0.386,0.614)      (0.386,0.614)      6377
  features.9.conv.2                Y     24576     23362     22778     22778      584      (0.378,0.622)      (0.378,0.622)     45364
  features.10.conv.0.0             Y     24576     23362     22778     22778      584      (0.382,0.618)      (0.382,0.618)     45365
  features.10.conv.1.0             Y      3456      3285      3203      3203       82      (0.374,0.626)      (0.374,0.626)      6369
  features.10.conv.2               Y     24576     23362     22778     22778      584      (0.381,0.619)      (0.381,0.619)     45385
  features.11.conv.0.0             Y     24576     23362     22778     22778      584      (0.378,0.622)      (0.378,0.622)     45345
  features.11.conv.1.0             Y      3456      3285      3203      3203       82      (0.384,0.616)      (0.384,0.616)      6390
  features.11.conv.2               Y     36864     35043     34167     34167      876      (0.379,0.621)      (0.379,0.621)     68065
  features.12.conv.0.0             Y     55296     52565     51251     51251     1314      (0.379,0.621)      (0.379,0.621)    102106
  features.12.conv.1.0             Y      5184      4928      4804      4804      124      (0.395,0.605)      (0.395,0.605)      8738
  features.12.conv.2               Y     55296     52565     51251     51251     1314      (0.388,0.612)      (0.388,0.612)    101986
  features.13.conv.0.0             Y     55296     52565     51251     51251     1314      (0.379,0.621)      (0.379,0.621)    102058
  features.13.conv.1.0             Y      5184      4928      4804      4804      124      (0.386,0.614)      (0.386,0.614)      9530
  features.13.conv.2               Y     55296     52565     51251     51251     1314      (0.386,0.614)      (0.386,0.614)    101951
  features.14.conv.0.0             Y     55296     52565     51251     51251     1314      (0.376,0.624)      (0.376,0.624)    102125
  features.14.conv.1.0             Y      5184      4928      4804      4804      124      (0.367,0.633)      (0.367,0.633)      9509
  features.14.conv.2               Y     92160     87609     85419     85419     2190      (0.375,0.625)      (0.375,0.625)    170153
  features.15.conv.0.0             Y    153600    146016    142365    142365     3651      (0.368,0.632)      (0.368,0.632)    283354
  features.15.conv.1.0             Y      8640      8213      8008      8008      205      (0.370,0.630)      (0.370,0.630)     15918
  features.15.conv.2               Y    153600    146016    142365    142365     3651      (0.372,0.628)      (0.372,0.628)    283310
  features.16.conv.0.0             Y    153600    146016    142365    142365     3651      (0.366,0.634)      (0.366,0.634)    283216
  features.16.conv.1.0             Y      8640      8213      8008      8008      205      (0.364,0.636)      (0.364,0.636)     15923
  features.16.conv.2               Y    153600    146016    142365    142365     3651      (0.372,0.628)      (0.372,0.628)    282935
  features.17.conv.0.0             Y    153600    146016    142365    142365     3651      (0.375,0.625)      (0.375,0.625)    283328
  features.17.conv.1.0             Y      8640      8213      8008      8008      205      (0.360,0.640)      (0.360,0.640)     15813
  features.17.conv.2               Y    307200    292032    284731    284731     7301      (0.368,0.632)      (0.368,0.632)    565947
  features.18.0                    N    409600    409600    409600    409600        0      (0.363,0.637)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.364,0.636)                  -         0
