================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 20
  prune_ratio  : 0.397312 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 23:20:26
  t_score      : 60.4s (그룹별 점수 pass)
  t_greedy     : 9.9s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1512856 / 1485354
  sparsity_all        : 32.25% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 39.73% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.342,0.658)                  -         0
  features.1.conv.0.0              Y       288       178       173       173        5      (0.440,0.560)      (0.440,0.560)       343
  features.1.conv.1                Y       512       316       308       308        8      (0.409,0.591)      (0.409,0.591)       606
  features.2.conv.0.0              Y      1536       949       925       925       24      (0.409,0.591)      (0.409,0.591)      1816
  features.2.conv.1.0              Y       864       534       520       520       14      (0.413,0.587)      (0.413,0.587)      1019
  features.2.conv.2                Y      2304      1424      1388      1388       36      (0.403,0.597)      (0.403,0.597)      2727
  features.3.conv.0.0              Y      3456      2136      2082      2082       54      (0.402,0.598)      (0.402,0.598)      4079
  features.3.conv.1.0              Y      1296       801       781       781       20      (0.393,0.607)      (0.393,0.607)      1540
  features.3.conv.2                Y      3456      2136      2082      2082       54      (0.408,0.592)      (0.408,0.592)      4085
  features.4.conv.0.0              Y      3456      2136      2082      2082       54      (0.409,0.591)      (0.409,0.591)      4094
  features.4.conv.1.0              Y      1296       801       781       781       20      (0.398,0.602)      (0.398,0.602)      1525
  features.4.conv.2                Y      4608      2848      2777      2777       71      (0.407,0.593)      (0.407,0.593)      5454
  features.5.conv.0.0              Y      6144      3797      3702      3702       95      (0.413,0.587)      (0.413,0.587)      7231
  features.5.conv.1.0              Y      1728      1068      1041      1041       27      (0.397,0.603)      (0.397,0.603)      2055
  features.5.conv.2                Y      6144      3797      3702      3702       95      (0.407,0.593)      (0.407,0.593)      7268
  features.6.conv.0.0              Y      6144      3797      3702      3702       95      (0.405,0.595)      (0.405,0.595)      7269
  features.6.conv.1.0              Y      1728      1068      1041      1041       27      (0.384,0.616)      (0.384,0.616)      2043
  features.6.conv.2                Y      6144      3797      3702      3702       95      (0.400,0.600)      (0.400,0.600)      7261
  features.7.conv.0.0              Y      6144      3797      3702      3702       95      (0.400,0.600)      (0.400,0.600)      7248
  features.7.conv.1.0              Y      1728      1068      1041      1041       27      (0.405,0.595)      (0.405,0.595)      2031
  features.7.conv.2                Y     12288      7595      7405      7405      190      (0.398,0.602)      (0.398,0.602)     14471
  features.8.conv.0.0              Y     24576     15191     14811     14811      380      (0.412,0.588)      (0.412,0.588)     29058
  features.8.conv.1.0              Y      3456      2136      2082      2082       54      (0.382,0.618)      (0.382,0.618)      4080
  features.8.conv.2                Y     24576     15191     14811     14811      380      (0.398,0.602)      (0.398,0.602)     28970
  features.9.conv.0.0              Y     24576     15191     14811     14811      380      (0.409,0.591)      (0.409,0.591)     29087
  features.9.conv.1.0              Y      3456      2136      2082      2082       54      (0.393,0.607)      (0.393,0.607)      4068
  features.9.conv.2                Y     24576     15191     14811     14811      380      (0.395,0.605)      (0.395,0.605)     28990
