================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 58
  prune_ratio  : 0.769714 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:23:42
  t_score      : 61.0s (그룹별 점수 pass)
  t_greedy     : 4.6s (greedy 선택)
  total_params        : 2192320
  active_before/after : 833255 / 822734
  sparsity_all        : 62.47% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 76.97% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.426,0.574)                  -         0
  features.1.conv.0.0              Y       288        68        66        66        2      (0.397,0.603)      (0.397,0.603)       125
  features.1.conv.1                Y       512       120       117       117        3      (0.397,0.603)      (0.397,0.603)       223
  features.2.conv.0.0              Y      1536       362       353       353        9      (0.388,0.612)      (0.388,0.612)       355
  features.2.conv.1.0              Y       864       204       198       198        6      (0.421,0.579)      (0.421,0.579)       356
  features.2.conv.2                Y      2304       544       530       530       14      (0.406,0.594)      (0.406,0.594)      1013
  features.3.conv.0.0              Y      3456       816       795       795       21      (0.406,0.594)      (0.406,0.594)      1577
  features.3.conv.1.0              Y      1296       306       298       298        8      (0.407,0.593)      (0.407,0.593)       585
  features.3.conv.2                Y      3456       816       795       795       21      (0.400,0.600)      (0.400,0.600)      1533
  features.4.conv.0.0              Y      3456       816       795       795       21      (0.398,0.602)      (0.398,0.602)      1555
  features.4.conv.1.0              Y      1296       306       298       298        8      (0.393,0.607)      (0.393,0.607)       540
  features.4.conv.2                Y      4608      1088      1061      1061       27      (0.379,0.621)      (0.379,0.621)      1063
  features.5.conv.0.0              Y      6144      1451      1414      1414       37      (0.398,0.602)      (0.398,0.602)      2745
  features.5.conv.1.0              Y      1728       408       397       397       11      (0.385,0.615)      (0.385,0.615)       782
  features.5.conv.2                Y      6144      1451      1414      1414       37      (0.378,0.622)      (0.378,0.622)      2781
  features.6.conv.0.0              Y      6144      1451      1414      1414       37      (0.400,0.600)      (0.400,0.600)      2754
  features.6.conv.1.0              Y      1728       408       397       397       11      (0.402,0.598)      (0.402,0.598)       772
  features.6.conv.2                Y      6144      1451      1414      1414       37      (0.377,0.623)      (0.377,0.623)      1416
  features.7.conv.0.0              Y      6144      1451      1414      1414       37      (0.396,0.604)      (0.396,0.604)      2731
  features.7.conv.1.0              Y      1728       408       397       397       11      (0.373,0.627)      (0.373,0.627)       399
  features.7.conv.2                Y     12288      2902      2829      2829       73      (0.375,0.625)      (0.375,0.625)      5328
  features.8.conv.0.0              Y     24576      5804      5659      5659      145      (0.405,0.595)      (0.405,0.595)     11056
  features.8.conv.1.0              Y      3456       816       795       795       21      (0.378,0.622)      (0.378,0.622)      1549
  features.8.conv.2                Y     24576      5804      5659      5659      145      (0.379,0.621)      (0.379,0.621)     11038
  features.9.conv.0.0              Y     24576      5804      5659      5659      145      (0.403,0.597)      (0.403,0.597)     11132
  features.9.conv.1.0              Y      3456       816       795       795       21      (0.375,0.625)      (0.375,0.625)      1543
  features.9.conv.2                Y     24576      5804      5659      5659      145      (0.377,0.623)      (0.377,0.623)     11083
  features.10.conv.0.0             Y     24576      5804      5659      5659      145      (0.395,0.605)      (0.395,0.605)     10855
  features.10.conv.1.0             Y      3456       816       795       795       21      (0.384,0.616)      (0.384,0.616)      1532
  features.10.conv.2               Y     24576      5804      5659      5659      145      (0.378,0.622)      (0.378,0.622)     11007
  features.11.conv.0.0             Y     24576      5804      5659      5659      145      (0.394,0.606)      (0.394,0.606)     11039
  features.11.conv.1.0             Y      3456       816       795       795       21      (0.372,0.628)      (0.372,0.628)      1554
  features.11.conv.2               Y     36864      8706      8489      8489      217      (0.376,0.624)      (0.376,0.624)     16596
  features.12.conv.0.0             Y     55296     13060     12733     12733      327      (0.392,0.608)      (0.392,0.608)     24872
  features.12.conv.1.0             Y      5184      1224      1193      1193       31      (0.374,0.626)      (0.374,0.626)      2325
  features.12.conv.2               Y     55296     13060     12733     12733      327      (0.372,0.628)      (0.372,0.628)     24866
  features.13.conv.0.0             Y     55296     13060     12733     12733      327      (0.383,0.617)      (0.383,0.617)     24723
  features.13.conv.1.0             Y      5184      1224      1193      1193       31      (0.372,0.628)      (0.372,0.628)      2356
  features.13.conv.2               Y     55296     13060     12733     12733      327      (0.373,0.627)      (0.373,0.627)     25050
  features.14.conv.0.0             Y     55296     13060     12733     12733      327      (0.382,0.618)      (0.382,0.618)     24613
